02/08/2018 14:30 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 02/08/2018 14:30
02/08/2018 14:35 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2018 14:35
02/08/2018 14:37 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/08/2018 14:37
02/08/2018 14:38 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 02/08/2018 14:38
02/08/2018 14:43 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2018 14:43
02/08/2018 14:48 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2018 14:48
02/08/2018 15:21 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2018 15:21
02/08/2018 15:30 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/08/2018 15:30
02/08/2018 15:35 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2018 15:35
02/08/2018 16:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 16:14
02/08/2018 16:18 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 16:18
02/08/2018 16:20 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 02/08/2018 16:20
02/08/2018 16:50 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 16:50
02/08/2018 16:50 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2018 16:50
02/08/2018 17:21 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/08/2018 17:21
02/08/2018 17:31 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/08/2018 17:31
02/08/2018 17:51 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/08/2018 17:51
02/08/2018 19:20 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/08/2018 19:20
03/08/2018 05:19 - JAQUELINEFERREIRA | ID_USUARIO = 6902 | DATA_LOGIN = 03/08/2018 5:19
03/08/2018 06:21 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2018 6:21
03/08/2018 06:24 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2018 6:24
03/08/2018 07:05 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/08/2018 7:05
03/08/2018 07:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 7:13
03/08/2018 07:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2018 7:14
03/08/2018 07:17 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2018 7:17
03/08/2018 07:21 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2018 7:21
03/08/2018 07:34 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/08/2018 7:34
03/08/2018 07:57 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2018 7:57
03/08/2018 07:57 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 03/08/2018 7:57
03/08/2018 08:03 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 03/08/2018 8:03
03/08/2018 08:30 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 03/08/2018 8:30
03/08/2018 08:30 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2018 8:30
03/08/2018 08:36 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2018 8:36
03/08/2018 09:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 9:21
03/08/2018 09:29 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/08/2018 9:29
03/08/2018 09:31 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 03/08/2018 9:31
03/08/2018 09:36 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2018 9:36
03/08/2018 09:41 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2018 9:41
03/08/2018 09:54 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2018 9:54
03/08/2018 09:55 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/08/2018 9:55
03/08/2018 09:55 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 03/08/2018 9:55
03/08/2018 09:58 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2018 9:58
03/08/2018 10:35 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 03/08/2018 10:35
03/08/2018 10:47 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 03/08/2018 10:47
03/08/2018 10:47 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/08/2018 10:47
03/08/2018 10:53 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2018 10:53
03/08/2018 10:57 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 10:57
03/08/2018 11:04 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2018 11:04
03/08/2018 11:33 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2018 11:33
03/08/2018 11:46 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 03/08/2018 11:46
