08/02/2016 08:57 - ACIR | USUARIO = 10839 | CI = 14798 | STATUS = 3 | DATA = 08/02/2016 8:57 | MOTIVO_CANCELAMENTO = 
08/02/2016 08:57 - ACIR | USUARIO = 10839 | CI = 14797 | STATUS = 3 | DATA = 08/02/2016 8:57 | MOTIVO_CANCELAMENTO = 
08/02/2016 08:57 - ACIR | USUARIO = 10839 | CI = 14803 | STATUS = 3 | DATA = 08/02/2016 8:57 | MOTIVO_CANCELAMENTO = 
08/02/2016 15:45 - CAMARA | USUARIO = 10841 | CI = 14819 | STATUS = 3 | DATA = 08/02/2016 15:45 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:19 - ACIR | USUARIO = 10839 | CI = 14822 | STATUS = 3 | DATA = 08/02/2016 16:19 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:19 - ACIR | USUARIO = 10839 | CI = 14821 | STATUS = 3 | DATA = 08/02/2016 16:19 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:19 - ACIR | USUARIO = 10839 | CI = 14820 | STATUS = 3 | DATA = 08/02/2016 16:19 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:19 - ACIR | USUARIO = 10839 | CI = 14818 | STATUS = 3 | DATA = 08/02/2016 16:19 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:20 - ACIR | USUARIO = 10839 | CI = 14817 | STATUS = 7 | DATA = 08/02/2016 16:20 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:20 - ACIR | USUARIO = 10839 | CI = 14817 | STATUS = 3 | DATA = 08/02/2016 16:20 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:20 - ACIR | USUARIO = 10839 | CI = 14815 | STATUS = 7 | DATA = 08/02/2016 16:20 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:20 - ACIR | USUARIO = 10839 | CI = 14815 | STATUS = 3 | DATA = 08/02/2016 16:20 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:21 - ACIR | USUARIO = 10839 | CI = 14814 | STATUS = 7 | DATA = 08/02/2016 16:21 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:21 - ACIR | USUARIO = 10839 | CI = 14814 | STATUS = 3 | DATA = 08/02/2016 16:21 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:21 - ACIR | USUARIO = 10839 | CI = 14813 | STATUS = 7 | DATA = 08/02/2016 16:21 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:21 - ACIR | USUARIO = 10839 | CI = 14813 | STATUS = 3 | DATA = 08/02/2016 16:21 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:21 - ACIR | USUARIO = 10839 | CI = 14812 | STATUS = 7 | DATA = 08/02/2016 16:21 | MOTIVO_CANCELAMENTO = 
08/02/2016 16:21 - ACIR | USUARIO = 10839 | CI = 14812 | STATUS = 3 | DATA = 08/02/2016 16:21 | MOTIVO_CANCELAMENTO = 
08/02/2016 21:51 - JT | USUARIO = 10823 | CI = 14796 | STATUS = 3 | DATA = 08/02/2016 21:51 | MOTIVO_CANCELAMENTO = 
08/02/2016 21:52 - JT | USUARIO = 10823 | CI = 14809 | STATUS = 7 | DATA = 08/02/2016 21:52 | MOTIVO_CANCELAMENTO = 
08/02/2016 21:52 - JT | USUARIO = 10823 | CI = 14810 | STATUS = 7 | DATA = 08/02/2016 21:52 | MOTIVO_CANCELAMENTO = 
08/02/2016 21:52 - JT | USUARIO = 10823 | CI = 14810 | STATUS = 3 | DATA = 08/02/2016 21:52 | MOTIVO_CANCELAMENTO = 
08/02/2016 21:52 - JT | USUARIO = 10823 | CI = 14816 | STATUS = 7 | DATA = 08/02/2016 21:52 | MOTIVO_CANCELAMENTO = 
08/02/2016 21:52 - JT | USUARIO = 10823 | CI = 14816 | STATUS = 3 | DATA = 08/02/2016 21:52 | MOTIVO_CANCELAMENTO = 
08/02/2016 22:36 - ACIR | USUARIO = 10839 | CI = 14809 | STATUS = 3 | DATA = 08/02/2016 22:36 | MOTIVO_CANCELAMENTO = 
09/02/2016 21:53 - JT | USUARIO = 10823 | CI = 14824 | STATUS = 7 | DATA = 09/02/2016 21:53 | MOTIVO_CANCELAMENTO = 
09/02/2016 21:53 - JT | USUARIO = 10823 | CI = 14824 | STATUS = 3 | DATA = 09/02/2016 21:53 | MOTIVO_CANCELAMENTO = 
10/02/2016 08:17 - ROBERTA | USUARIO = 10935 | CI = 14826 | STATUS = 7 | DATA = 10/02/2016 8:17 | MOTIVO_CANCELAMENTO = 
10/02/2016 08:17 - ROBERTA | USUARIO = 10935 | CI = 14826 | STATUS = 3 | DATA = 10/02/2016 8:17 | MOTIVO_CANCELAMENTO = 
10/02/2016 08:38 - ZEZE | USUARIO = 10931 | CI = 14825 | STATUS = 3 | DATA = 10/02/2016 8:38 | MOTIVO_CANCELAMENTO = 
10/02/2016 10:14 - LUIDE | USUARIO = 10836 | CI = 14768 | STATUS = 3 | DATA = 10/02/2016 10:14 | MOTIVO_CANCELAMENTO = 
10/02/2016 10:14 - LUIDE | USUARIO = 10836 | CI = 14793 | STATUS = 3 | DATA = 10/02/2016 10:14 | MOTIVO_CANCELAMENTO = 
10/02/2016 10:14 - LUIDE | USUARIO = 10836 | CI = 14828 | STATUS = 3 | DATA = 10/02/2016 10:14 | MOTIVO_CANCELAMENTO = 
10/02/2016 10:15 - ZEZE | USUARIO = 10931 | CI = 14827 | STATUS = 7 | DATA = 10/02/2016 10:15 | MOTIVO_CANCELAMENTO = 
10/02/2016 10:15 - ZEZE | USUARIO = 10931 | CI = 14827 | STATUS = 3 | DATA = 10/02/2016 10:15 | MOTIVO_CANCELAMENTO = 
10/02/2016 10:55 - ZEZE | USUARIO = 10931 | CI = 14832 | STATUS = 3 | DATA = 10/02/2016 10:55 | MOTIVO_CANCELAMENTO = 
10/02/2016 11:52 - AREIAS | USUARIO = 10997 | CI = 14831 | STATUS = 7 | DATA = 10/02/2016 11:52 | MOTIVO_CANCELAMENTO = 
10/02/2016 11:52 - AREIAS | USUARIO = 10997 | CI = 14831 | STATUS = 3 | DATA = 10/02/2016 11:52 | MOTIVO_CANCELAMENTO = 
10/02/2016 13:02 - MARTA | USUARIO = 10847 | CI = 14833 | STATUS = 3 | DATA = 10/02/2016 13:02 | MOTIVO_CANCELAMENTO = aprovado.
10/02/2016 13:10 - ZEZE | USUARIO = 10931 | CI = 14835 | STATUS = 7 | DATA = 10/02/2016 13:10 | MOTIVO_CANCELAMENTO = 
10/02/2016 13:10 - ZEZE | USUARIO = 10931 | CI = 14835 | STATUS = 3 | DATA = 10/02/2016 13:10 | MOTIVO_CANCELAMENTO = 
10/02/2016 13:10 - ZEZE | USUARIO = 10931 | CI = 14836 | STATUS = 7 | DATA = 10/02/2016 13:10 | MOTIVO_CANCELAMENTO = 
10/02/2016 13:10 - ZEZE | USUARIO = 10931 | CI = 14837 | STATUS = 7 | DATA = 10/02/2016 13:10 | MOTIVO_CANCELAMENTO = 
10/02/2016 13:10 - ZEZE | USUARIO = 10931 | CI = 14837 | STATUS = 3 | DATA = 10/02/2016 13:10 | MOTIVO_CANCELAMENTO = 
