05/05/2015 14:22 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 05/05/2015 14:22
05/05/2015 14:28 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 05/05/2015 14:28
05/05/2015 14:30 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 05/05/2015 14:30
05/05/2015 14:33 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/05/2015 14:33
05/05/2015 14:33 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 05/05/2015 14:33
05/05/2015 14:34 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 05/05/2015 14:34
05/05/2015 15:18 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/05/2015 15:18
05/05/2015 15:33 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/05/2015 15:33
05/05/2015 15:38 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/05/2015 15:38
05/05/2015 15:53 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 05/05/2015 15:53
05/05/2015 15:57 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/05/2015 15:57
05/05/2015 16:07 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 05/05/2015 16:07
05/05/2015 16:08 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 05/05/2015 16:08
05/05/2015 16:13 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/05/2015 16:13
05/05/2015 16:13 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 05/05/2015 16:13
05/05/2015 16:18 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 05/05/2015 16:18
05/05/2015 16:26 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 05/05/2015 16:26
05/05/2015 16:35 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 05/05/2015 16:35
05/05/2015 16:38 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 05/05/2015 16:38
05/05/2015 17:04 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/05/2015 17:04
05/05/2015 17:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/05/2015 17:05
05/05/2015 17:59 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 05/05/2015 17:59
06/05/2015 01:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2015 1:05
06/05/2015 05:20 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 06/05/2015 5:20
06/05/2015 05:22 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 06/05/2015 5:22
06/05/2015 07:01 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/05/2015 7:01
06/05/2015 07:22 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/05/2015 7:22
06/05/2015 07:23 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 06/05/2015 7:23
06/05/2015 07:24 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/05/2015 7:24
06/05/2015 07:24 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/05/2015 7:24
06/05/2015 07:41 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/05/2015 7:41
06/05/2015 07:54 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/05/2015 7:54
06/05/2015 07:56 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/05/2015 7:56
06/05/2015 08:00 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 06/05/2015 8:00
06/05/2015 08:05 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/05/2015 8:05
06/05/2015 08:16 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/05/2015 8:16
