17/05/2019 13:05 - NORIVAL | ID =  | CI = 27354 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 24.75
20/05/2019 07:14 - SANDRA | ID =  | CI = 27358 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 130.99
20/05/2019 13:20 - NORIVAL | ID =  | CI = 27370 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
20/05/2019 13:28 - CINTIAFERREIRA | ID =  | CI = 27371 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 178.50
20/05/2019 13:28 - CINTIAFERREIRA | ID =  | CI = 27371 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 39.80
20/05/2019 13:28 - CINTIAFERREIRA | ID =  | CI = 27371 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
20/05/2019 13:28 - CINTIAFERREIRA | ID =  | CI = 27371 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
20/05/2019 13:28 - CINTIAFERREIRA | ID =  | CI = 27371 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
20/05/2019 13:28 - CINTIAFERREIRA | ID =  | CI = 27371 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
20/05/2019 15:44 - LUZMARINA | ID =  | CI = 27372 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 81.26
20/05/2019 15:44 - LUZMARINA | ID =  | CI = 27372 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 101.15
21/05/2019 09:09 - DENISESANTOS | ID =  | CI = 27378 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.90
21/05/2019 09:09 - DENISESANTOS | ID =  | CI = 27378 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
21/05/2019 09:09 - DENISESANTOS | ID =  | CI = 27378 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
21/05/2019 09:53 - STEFANIAESTEVO | ID =  | CI = 27379 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 43.50
21/05/2019 13:57 - OSVALDOFLORES | ID =  | CI = 27381 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 220.85
21/05/2019 13:57 - OSVALDOFLORES | ID =  | CI = 27381 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
22/05/2019 07:50 - DENISESANTOS | ID =  | CI = 27383 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.90
22/05/2019 14:58 - OTAVIOGIRO | ID =  | CI = 27393 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 16.17
22/05/2019 15:06 - OTAVIOGIRO | ID =  | CI = 27394 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 124.00
