04/10/2016 13:48 - CHRISTIANO | USUARIO = 11570 | CI = 17685 | STATUS = 3 | DATA = 04/10/2016 13:48 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:49 - CHRISTIANO | USUARIO = 11570 | CI = 17690 | STATUS = 3 | DATA = 04/10/2016 13:49 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:49 - CHRISTIANO | USUARIO = 11570 | CI = 17686 | STATUS = 3 | DATA = 04/10/2016 13:49 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:58 - MICHELAAUGUSTO | USUARIO = 6893 | CI = 17691 | STATUS = 5 | DATA = 04/10/2016 13:58 | MOTIVO_CANCELAMENTO = Foi retido indevidamente. As notas serão pagas em 10/2016.
04/10/2016 15:25 - ZEZE | USUARIO = 10931 | CI = 17694 | STATUS = 3 | DATA = 04/10/2016 15:25 | MOTIVO_CANCELAMENTO = 
05/10/2016 07:26 - CAMARA | USUARIO = 10841 | CI = 17693 | STATUS = 3 | DATA = 05/10/2016 7:26 | MOTIVO_CANCELAMENTO = 
05/10/2016 07:40 - MARCELOGODOI | USUARIO = 11316 | CI = 17698 | STATUS = 7 | DATA = 05/10/2016 7:40 | MOTIVO_CANCELAMENTO = 
05/10/2016 07:42 - CAMARA | USUARIO = 10841 | CI = 17697 | STATUS = 3 | DATA = 05/10/2016 7:42 | MOTIVO_CANCELAMENTO = 
05/10/2016 07:45 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17692 | STATUS = 7 | DATA = 05/10/2016 7:45 | MOTIVO_CANCELAMENTO = 
05/10/2016 07:45 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17692 | STATUS = 3 | DATA = 05/10/2016 7:45 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:16 - AREIAS | USUARIO = 10997 | CI = 17666 | STATUS = 7 | DATA = 05/10/2016 9:16 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:16 - AREIAS | USUARIO = 10997 | CI = 17667 | STATUS = 7 | DATA = 05/10/2016 9:16 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:17 - AREIAS | USUARIO = 10997 | CI = 17668 | STATUS = 7 | DATA = 05/10/2016 9:17 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:17 - AREIAS | USUARIO = 10997 | CI = 17669 | STATUS = 7 | DATA = 05/10/2016 9:17 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:17 - AREIAS | USUARIO = 10997 | CI = 17670 | STATUS = 7 | DATA = 05/10/2016 9:17 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:17 - AREIAS | USUARIO = 10997 | CI = 17671 | STATUS = 7 | DATA = 05/10/2016 9:17 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:18 - AREIAS | USUARIO = 10997 | CI = 17696 | STATUS = 7 | DATA = 05/10/2016 9:18 | MOTIVO_CANCELAMENTO = 
05/10/2016 09:18 - AREIAS | USUARIO = 10997 | CI = 17696 | STATUS = 3 | DATA = 05/10/2016 9:18 | MOTIVO_CANCELAMENTO = 
