05/10/2017 07:54 - TADEUMACHADO | USUARIO = 11594 | CI = 22185 | STATUS = 7 | DATA = 05/10/2017 7:54 | MOTIVO_CANCELAMENTO = 
05/10/2017 07:54 - TADEUMACHADO | USUARIO = 11594 | CI = 22185 | STATUS = 3 | DATA = 05/10/2017 7:54 | MOTIVO_CANCELAMENTO = 
05/10/2017 07:55 - TADEUMACHADO | USUARIO = 11594 | CI = 22184 | STATUS = 7 | DATA = 05/10/2017 7:55 | MOTIVO_CANCELAMENTO = 
05/10/2017 07:55 - TADEUMACHADO | USUARIO = 11594 | CI = 22184 | STATUS = 3 | DATA = 05/10/2017 7:55 | MOTIVO_CANCELAMENTO = 
05/10/2017 07:55 - TADEUMACHADO | USUARIO = 11594 | CI = 22180 | STATUS = 7 | DATA = 05/10/2017 7:55 | MOTIVO_CANCELAMENTO = 
05/10/2017 07:55 - TADEUMACHADO | USUARIO = 11594 | CI = 22180 | STATUS = 3 | DATA = 05/10/2017 7:55 | MOTIVO_CANCELAMENTO = 
05/10/2017 09:02 - TADEUMACHADO | USUARIO = 11594 | CI = 22186 | STATUS = 7 | DATA = 05/10/2017 9:02 | MOTIVO_CANCELAMENTO = 
05/10/2017 09:02 - TADEUMACHADO | USUARIO = 11594 | CI = 22186 | STATUS = 3 | DATA = 05/10/2017 9:02 | MOTIVO_CANCELAMENTO = 
05/10/2017 10:32 - TADEUMACHADO | USUARIO = 11594 | CI = 22187 | STATUS = 3 | DATA = 05/10/2017 10:32 | MOTIVO_CANCELAMENTO = 
05/10/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 22188 | STATUS = 7 | DATA = 05/10/2017 10:40 | MOTIVO_CANCELAMENTO = 
05/10/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 22188 | STATUS = 3 | DATA = 05/10/2017 10:40 | MOTIVO_CANCELAMENTO = 
05/10/2017 11:17 - TADEUMACHADO | USUARIO = 11594 | CI = 22189 | STATUS = 7 | DATA = 05/10/2017 11:17 | MOTIVO_CANCELAMENTO = 
