04/05/2016 10:14 - TADEUMACHADO | USUARIO = 11594 | CI = 15748 | STATUS = 3 | DATA = 04/05/2016 10:14 | MOTIVO_CANCELAMENTO = Aprovado.
04/05/2016 10:46 - MARCELOGODOI | USUARIO = 11316 | CI = 15751 | STATUS = 7 | DATA = 04/05/2016 10:46 | MOTIVO_CANCELAMENTO = 
04/05/2016 11:00 - ZEZE | USUARIO = 10931 | CI = 15755 | STATUS = 3 | DATA = 04/05/2016 11:00 | MOTIVO_CANCELAMENTO = 
04/05/2016 11:26 - CHRISTIANO | USUARIO = 11570 | CI = 15731 | STATUS = 3 | DATA = 04/05/2016 11:26 | MOTIVO_CANCELAMENTO = 
04/05/2016 11:26 - CHRISTIANO | USUARIO = 11570 | CI = 15737 | STATUS = 3 | DATA = 04/05/2016 11:26 | MOTIVO_CANCELAMENTO = 
04/05/2016 11:27 - CHRISTIANO | USUARIO = 11570 | CI = 15750 | STATUS = 3 | DATA = 04/05/2016 11:27 | MOTIVO_CANCELAMENTO = 
04/05/2016 11:27 - CHRISTIANO | USUARIO = 11570 | CI = 15751 | STATUS = 3 | DATA = 04/05/2016 11:27 | MOTIVO_CANCELAMENTO = 
04/05/2016 12:13 - DOUGLAS | USUARIO = 11530 | CI = 15737 | STATUS = 3 | DATA = 04/05/2016 12:13 | MOTIVO_CANCELAMENTO = 
04/05/2016 12:13 - DOUGLAS | USUARIO = 11530 | CI = 15750 | STATUS = 3 | DATA = 04/05/2016 12:13 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:05 - ZEZE | USUARIO = 10931 | CI = 15759 | STATUS = 7 | DATA = 04/05/2016 13:05 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:05 - ZEZE | USUARIO = 10931 | CI = 15760 | STATUS = 7 | DATA = 04/05/2016 13:05 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:05 - ZEZE | USUARIO = 10931 | CI = 15760 | STATUS = 3 | DATA = 04/05/2016 13:05 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:05 - ZEZE | USUARIO = 10931 | CI = 15761 | STATUS = 7 | DATA = 04/05/2016 13:05 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:07 - DORACI | USUARIO = 10886 | CI = 15758 | STATUS = 7 | DATA = 04/05/2016 13:07 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:07 - DORACI | USUARIO = 10886 | CI = 15758 | STATUS = 3 | DATA = 04/05/2016 13:07 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:42 - CHRISTIANO | USUARIO = 11570 | CI = 15759 | STATUS = 3 | DATA = 04/05/2016 13:42 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:42 - CHRISTIANO | USUARIO = 11570 | CI = 15761 | STATUS = 3 | DATA = 04/05/2016 13:42 | MOTIVO_CANCELAMENTO = 
04/05/2016 13:42 - CHRISTIANO | USUARIO = 11570 | CI = 15766 | STATUS = 3 | DATA = 04/05/2016 13:42 | MOTIVO_CANCELAMENTO = 
04/05/2016 14:06 - DORACI | USUARIO = 10886 | CI = 15769 | STATUS = 7 | DATA = 04/05/2016 14:06 | MOTIVO_CANCELAMENTO = 
