02/12/2016 08:03 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/12/2016 8:03
02/12/2016 08:09 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/12/2016 8:09
02/12/2016 08:19 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/12/2016 8:19
02/12/2016 08:30 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/12/2016 8:30
02/12/2016 08:32 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/12/2016 8:32
02/12/2016 08:38 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/12/2016 8:38
02/12/2016 08:47 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/12/2016 8:47
02/12/2016 08:49 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/12/2016 8:49
02/12/2016 08:50 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/12/2016 8:50
02/12/2016 08:52 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/12/2016 8:52
02/12/2016 09:00 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/12/2016 9:00
02/12/2016 09:03 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/12/2016 9:03
02/12/2016 09:08 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 02/12/2016 9:08
02/12/2016 09:22 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2016 9:22
02/12/2016 09:41 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/12/2016 9:41
02/12/2016 09:57 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/12/2016 9:57
02/12/2016 09:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2016 9:58
02/12/2016 10:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2016 10:01
02/12/2016 10:04 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/12/2016 10:04
02/12/2016 10:06 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/12/2016 10:06
02/12/2016 10:09 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 02/12/2016 10:09
02/12/2016 10:09 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/12/2016 10:09
02/12/2016 10:16 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/12/2016 10:16
02/12/2016 10:18 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/12/2016 10:18
02/12/2016 10:26 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/12/2016 10:26
02/12/2016 10:26 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/12/2016 10:26
02/12/2016 10:43 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/12/2016 10:43
02/12/2016 10:48 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/12/2016 10:48
02/12/2016 10:48 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/12/2016 10:48
02/12/2016 10:48 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/12/2016 10:48
