02/10/2015 09:41 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/10/2015 9:41
02/10/2015 09:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/10/2015 9:42
02/10/2015 09:46 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/10/2015 9:46
02/10/2015 09:48 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 02/10/2015 9:48
02/10/2015 10:02 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/10/2015 10:02
02/10/2015 10:02 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/10/2015 10:02
02/10/2015 10:03 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/10/2015 10:03
02/10/2015 10:03 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/10/2015 10:03
02/10/2015 10:46 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/10/2015 10:46
02/10/2015 10:51 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/10/2015 10:51
02/10/2015 11:08 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/10/2015 11:08
02/10/2015 11:10 - CAIOBUFARAH | ID_USUARIO = 11312 | DATA_LOGIN = 02/10/2015 11:10
02/10/2015 11:12 - CAIOBUFARAH | ID_USUARIO = 11312 | DATA_LOGIN = 02/10/2015 11:12
02/10/2015 12:40 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 02/10/2015 12:40
02/10/2015 12:41 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 02/10/2015 12:41
02/10/2015 13:10 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/10/2015 13:10
02/10/2015 13:24 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/10/2015 13:24
02/10/2015 13:31 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 02/10/2015 13:31
