10/07/2018 09:35 - ROBERTA | USUARIO = 10935 | CI = 24835 | STATUS = 3 | DATA = 10/07/2018 9:35 | MOTIVO_CANCELAMENTO = 
10/07/2018 09:35 - ROBERTA | USUARIO = 10935 | CI = 24843 | STATUS = 3 | DATA = 10/07/2018 9:35 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:12 - AREIAS | USUARIO = 10997 | CI = 24833 | STATUS = 7 | DATA = 10/07/2018 10:12 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:12 - AREIAS | USUARIO = 10997 | CI = 24834 | STATUS = 7 | DATA = 10/07/2018 10:12 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:13 - AREIAS | USUARIO = 10997 | CI = 24838 | STATUS = 7 | DATA = 10/07/2018 10:13 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:13 - AREIAS | USUARIO = 10997 | CI = 24839 | STATUS = 7 | DATA = 10/07/2018 10:13 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:13 - AREIAS | USUARIO = 10997 | CI = 24840 | STATUS = 7 | DATA = 10/07/2018 10:13 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:14 - AREIAS | USUARIO = 10997 | CI = 24841 | STATUS = 7 | DATA = 10/07/2018 10:14 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:14 - AREIAS | USUARIO = 10997 | CI = 24859 | STATUS = 7 | DATA = 10/07/2018 10:14 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:24 - DOUGLAS | USUARIO = 11530 | CI = 24833 | STATUS = 3 | DATA = 10/07/2018 10:24 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:24 - DOUGLAS | USUARIO = 11530 | CI = 24834 | STATUS = 3 | DATA = 10/07/2018 10:24 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:24 - DOUGLAS | USUARIO = 11530 | CI = 24838 | STATUS = 3 | DATA = 10/07/2018 10:24 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:24 - DOUGLAS | USUARIO = 11530 | CI = 24839 | STATUS = 3 | DATA = 10/07/2018 10:24 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:24 - DOUGLAS | USUARIO = 11530 | CI = 24840 | STATUS = 3 | DATA = 10/07/2018 10:24 | MOTIVO_CANCELAMENTO = 
10/07/2018 10:24 - DOUGLAS | USUARIO = 11530 | CI = 24841 | STATUS = 3 | DATA = 10/07/2018 10:24 | MOTIVO_CANCELAMENTO = 
10/07/2018 15:51 - CAMARA | USUARIO = 10841 | CI = 24846 | STATUS = 3 | DATA = 10/07/2018 15:51 | MOTIVO_CANCELAMENTO = 
10/07/2018 15:52 - CAMARA | USUARIO = 10841 | CI = 24859 | STATUS = 3 | DATA = 10/07/2018 15:52 | MOTIVO_CANCELAMENTO = 
10/07/2018 15:57 - ZEZE | USUARIO = 10931 | CI = 24861 | STATUS = 3 | DATA = 10/07/2018 15:57 | MOTIVO_CANCELAMENTO = 
10/07/2018 16:08 - AREIAS | USUARIO = 10997 | CI = 24862 | STATUS = 3 | DATA = 10/07/2018 16:08 | MOTIVO_CANCELAMENTO = 
10/07/2018 16:48 - TADEUMACHADO | USUARIO = 11594 | CI = 24863 | STATUS = 7 | DATA = 10/07/2018 16:48 | MOTIVO_CANCELAMENTO = 
10/07/2018 18:48 - ALEXANDRE | USUARIO = 10837 | CI = 24860 | STATUS = 3 | DATA = 10/07/2018 18:48 | MOTIVO_CANCELAMENTO = 
10/07/2018 18:49 - ALEXANDRE | USUARIO = 10837 | CI = 24863 | STATUS = 3 | DATA = 10/07/2018 18:49 | MOTIVO_CANCELAMENTO = 
11/07/2018 10:46 - TADEUMACHADO | USUARIO = 11594 | CI = 24865 | STATUS = 3 | DATA = 11/07/2018 10:46 | MOTIVO_CANCELAMENTO = 
11/07/2018 10:53 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 24805 | STATUS = 7 | DATA = 11/07/2018 10:53 | MOTIVO_CANCELAMENTO = 
11/07/2018 13:28 - OSNY | USUARIO = 10826 | CI = 24805 | STATUS = 3 | DATA = 11/07/2018 13:28 | MOTIVO_CANCELAMENTO = 
11/07/2018 15:49 - MARTA | USUARIO = 10847 | CI = 24867 | STATUS = 3 | DATA = 11/07/2018 15:49 | MOTIVO_CANCELAMENTO = Aprovado por se tratar de urgência devido os pais terem filhos falecidos em acidente de carro.
11/07/2018 16:07 - JT | USUARIO = 10823 | CI = 24864 | STATUS = 7 | DATA = 11/07/2018 16:07 | MOTIVO_CANCELAMENTO = 
