04/09/2017 16:03 - ZEZE | USUARIO = 10931 | CI = 21861 | STATUS = 3 | DATA = 04/09/2017 16:03 | MOTIVO_CANCELAMENTO = 
04/09/2017 17:25 - DOUGLAS | USUARIO = 11530 | CI = 21859 | STATUS = 3 | DATA = 04/09/2017 17:25 | MOTIVO_CANCELAMENTO = 
05/09/2017 08:41 - JOAOROGANTE | USUARIO = 6966 | CI = 21857 | STATUS = 7 | DATA = 05/09/2017 8:41 | MOTIVO_CANCELAMENTO = 
05/09/2017 08:41 - JOAOROGANTE | USUARIO = 6966 | CI = 21857 | STATUS = 3 | DATA = 05/09/2017 8:41 | MOTIVO_CANCELAMENTO = 
05/09/2017 08:55 - ZEZE | USUARIO = 10931 | CI = 21862 | STATUS = 3 | DATA = 05/09/2017 8:55 | MOTIVO_CANCELAMENTO = 
05/09/2017 08:55 - ZEZE | USUARIO = 10931 | CI = 21863 | STATUS = 3 | DATA = 05/09/2017 8:55 | MOTIVO_CANCELAMENTO = 
05/09/2017 09:27 - DOUGLAS | USUARIO = 11530 | CI = 21868 | STATUS = 3 | DATA = 05/09/2017 9:27 | MOTIVO_CANCELAMENTO = 
05/09/2017 09:27 - LUIDE | USUARIO = 10836 | CI = 21866 | STATUS = 3 | DATA = 05/09/2017 9:27 | MOTIVO_CANCELAMENTO = 
05/09/2017 09:54 - AMADEUBOVI | USUARIO = 6888 | CI = 21870 | STATUS = 7 | DATA = 05/09/2017 9:54 | MOTIVO_CANCELAMENTO = 
05/09/2017 09:54 - AMADEUBOVI | USUARIO = 6888 | CI = 21870 | STATUS = 3 | DATA = 05/09/2017 9:54 | MOTIVO_CANCELAMENTO = 
05/09/2017 09:54 - AMADEUBOVI | USUARIO = 6888 | CI = 21871 | STATUS = 7 | DATA = 05/09/2017 9:54 | MOTIVO_CANCELAMENTO = 
