24/11/2016 14:16 - MARTA | ID =  | CI = 18329 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
24/11/2016 14:16 - MARTA | ID =  | CI = 18329 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
28/11/2016 08:10 - CLEBERRONDI | ID =  | CI = 18354 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 38.00
28/11/2016 08:10 - CLEBERRONDI | ID =  | CI = 18354 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.40
28/11/2016 08:10 - CLEBERRONDI | ID =  | CI = 18354 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
28/11/2016 08:10 - CLEBERRONDI | ID =  | CI = 18354 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 423.50
28/11/2016 08:10 - CLEBERRONDI | ID =  | CI = 18354 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 450.00
28/11/2016 16:28 - DENISESANTOS | ID =  | CI = 18367 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.90
28/11/2016 17:12 - LARISSALIMA | ID =  | CI = 18369 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 39.00
28/11/2016 17:12 - LARISSALIMA | ID =  | CI = 18369 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 31.00
29/11/2016 14:50 - KLEBER | ID =  | CI = 18387 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
29/11/2016 14:50 - KLEBER | ID =  | CI = 18387 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
29/11/2016 14:50 - KLEBER | ID =  | CI = 18387 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 82.00
29/11/2016 14:50 - KLEBER | ID =  | CI = 18387 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
29/11/2016 14:50 - KLEBER | ID =  | CI = 18387 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
29/11/2016 14:50 - KLEBER | ID =  | CI = 18387 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
29/11/2016 15:37 - FRANCISCO | ID =  | CI = 18389 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.05
29/11/2016 15:37 - FRANCISCO | ID =  | CI = 18389 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 55.95
29/11/2016 15:44 - FRANCISCO | ID =  | CI = 18390 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 153.65
29/11/2016 15:44 - FRANCISCO | ID =  | CI = 18390 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 121.98
29/11/2016 16:28 - FRANCISCO | ID =  | CI = 18392 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 274.02
29/11/2016 16:28 - FRANCISCO | ID =  | CI = 18392 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 164.57
29/11/2016 16:28 - FRANCISCO | ID =  | CI = 18392 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 115.00
30/11/2016 07:19 - VELOSA | ID =  | CI = 18393 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 6.00
30/11/2016 07:34 - CLEBERRONDI | ID =  | CI = 18395 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
30/11/2016 07:34 - CLEBERRONDI | ID =  | CI = 18395 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 38.00
30/11/2016 07:34 - CLEBERRONDI | ID =  | CI = 18395 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.40
30/11/2016 07:34 - CLEBERRONDI | ID =  | CI = 18395 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
30/11/2016 07:34 - CLEBERRONDI | ID =  | CI = 18395 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 423.50
30/11/2016 07:34 - CLEBERRONDI | ID =  | CI = 18395 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 450.00
30/11/2016 16:43 - ROBSONMANFRIM | ID =  | CI = 18412 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 74.50
30/11/2016 16:43 - ROBSONMANFRIM | ID =  | CI = 18412 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 100.00
