02/03/2016 11:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2016 11:11
02/03/2016 11:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 11:14
02/03/2016 11:23 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2016 11:23
02/03/2016 11:31 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/03/2016 11:31
02/03/2016 11:37 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/03/2016 11:37
02/03/2016 11:39 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2016 11:39
02/03/2016 12:10 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/03/2016 12:10
02/03/2016 12:31 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 02/03/2016 12:31
02/03/2016 12:35 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2016 12:35
02/03/2016 12:50 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 12:50
02/03/2016 13:07 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2016 13:07
02/03/2016 13:09 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/03/2016 13:09
02/03/2016 13:32 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2016 13:32
02/03/2016 13:32 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2016 13:32
02/03/2016 13:34 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2016 13:34
02/03/2016 13:42 - MATHEUSUZELOTTO | ID_USUARIO = 11309 | DATA_LOGIN = 02/03/2016 13:42
02/03/2016 13:44 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 02/03/2016 13:44
02/03/2016 13:49 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 02/03/2016 13:49
02/03/2016 13:53 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/03/2016 13:53
02/03/2016 13:54 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/03/2016 13:54
02/03/2016 13:56 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/03/2016 13:56
02/03/2016 13:58 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 13:58
02/03/2016 14:02 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/03/2016 14:02
02/03/2016 14:13 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 14:13
02/03/2016 14:15 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 02/03/2016 14:15
02/03/2016 14:19 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/03/2016 14:19
02/03/2016 14:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 14:21
02/03/2016 14:25 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 02/03/2016 14:25
02/03/2016 14:26 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2016 14:26
02/03/2016 14:37 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/03/2016 14:37
02/03/2016 14:49 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 02/03/2016 14:49
02/03/2016 14:51 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2016 14:51
02/03/2016 14:53 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 02/03/2016 14:53
02/03/2016 14:55 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 02/03/2016 14:55
02/03/2016 14:55 - BRUNOFAZOLO | ID_USUARIO = 11372 | DATA_LOGIN = 02/03/2016 14:55
02/03/2016 14:57 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2016 14:57
02/03/2016 14:59 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2016 14:59
02/03/2016 14:59 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 02/03/2016 14:59
02/03/2016 15:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2016 15:15
02/03/2016 15:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2016 15:15
02/03/2016 15:26 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 15:26
02/03/2016 15:32 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 02/03/2016 15:32
02/03/2016 15:45 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2016 15:45
