05/10/2015 11:27 - TOM | USUARIO = 10831 | CI = 13414 | STATUS = 3 | DATA = 05/10/2015 11:27 | MOTIVO_CANCELAMENTO = 
05/10/2015 11:27 - TOM | USUARIO = 10831 | CI = 13415 | STATUS = 3 | DATA = 05/10/2015 11:27 | MOTIVO_CANCELAMENTO = 
05/10/2015 11:27 - TOM | USUARIO = 10831 | CI = 13416 | STATUS = 3 | DATA = 05/10/2015 11:27 | MOTIVO_CANCELAMENTO = 
05/10/2015 11:28 - TOM | USUARIO = 10831 | CI = 13429 | STATUS = 7 | DATA = 05/10/2015 11:28 | MOTIVO_CANCELAMENTO = 
05/10/2015 11:28 - TOM | USUARIO = 10831 | CI = 13429 | STATUS = 3 | DATA = 05/10/2015 11:28 | MOTIVO_CANCELAMENTO = 
05/10/2015 11:28 - TOM | USUARIO = 10831 | CI = 13413 | STATUS = 3 | DATA = 05/10/2015 11:28 | MOTIVO_CANCELAMENTO = 
05/10/2015 13:52 - JG | USUARIO = 10849 | CI = 13231 | STATUS = 3 | DATA = 05/10/2015 13:52 | MOTIVO_CANCELAMENTO = ok
05/10/2015 13:53 - JG | USUARIO = 10849 | CI = 13428 | STATUS = 3 | DATA = 05/10/2015 13:53 | MOTIVO_CANCELAMENTO = ok
05/10/2015 14:29 - JENS | USUARIO = 10895 | CI = 13443 | STATUS = 3 | DATA = 05/10/2015 14:29 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:07 - DORACI | USUARIO = 10886 | CI = 13445 | STATUS = 7 | DATA = 05/10/2015 15:07 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:07 - DORACI | USUARIO = 10886 | CI = 13445 | STATUS = 3 | DATA = 05/10/2015 15:07 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:07 - DORACI | USUARIO = 10886 | CI = 13446 | STATUS = 7 | DATA = 05/10/2015 15:07 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:07 - DORACI | USUARIO = 10886 | CI = 13446 | STATUS = 3 | DATA = 05/10/2015 15:07 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:35 - TOM | USUARIO = 10831 | CI = 13444 | STATUS = 3 | DATA = 05/10/2015 15:35 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:36 - TOM | USUARIO = 10831 | CI = 13437 | STATUS = 7 | DATA = 05/10/2015 15:36 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:36 - TOM | USUARIO = 10831 | CI = 13437 | STATUS = 3 | DATA = 05/10/2015 15:36 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:36 - TOM | USUARIO = 10831 | CI = 13440 | STATUS = 7 | DATA = 05/10/2015 15:36 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:36 - TOM | USUARIO = 10831 | CI = 13440 | STATUS = 3 | DATA = 05/10/2015 15:36 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:38 - TOM | USUARIO = 10831 | CI = 13441 | STATUS = 7 | DATA = 05/10/2015 15:38 | MOTIVO_CANCELAMENTO = 
