07/05/2015 16:37 - ROBERTO | USUARIO = 10845 | CI = 11787 | STATUS = 3 | DATA = 07/05/2015 16:37 | MOTIVO_CANCELAMENTO = 
07/05/2015 17:40 - FERNANDO | USUARIO = 10842 | CI = 11773 | STATUS = 3 | DATA = 07/05/2015 17:40 | MOTIVO_CANCELAMENTO = 
07/05/2015 17:40 - FERNANDO | USUARIO = 10842 | CI = 11771 | STATUS = 3 | DATA = 07/05/2015 17:40 | MOTIVO_CANCELAMENTO = 
07/05/2015 17:44 - FERNANDO | USUARIO = 10842 | CI = 11770 | STATUS = 3 | DATA = 07/05/2015 17:44 | MOTIVO_CANCELAMENTO = 
07/05/2015 17:44 - FERNANDO | USUARIO = 10842 | CI = 11752 | STATUS = 3 | DATA = 07/05/2015 17:44 | MOTIVO_CANCELAMENTO = 
07/05/2015 17:45 - FERNANDO | USUARIO = 10842 | CI = 11751 | STATUS = 3 | DATA = 07/05/2015 17:45 | MOTIVO_CANCELAMENTO = 
07/05/2015 17:46 - FERNANDO | USUARIO = 10842 | CI = 11749 | STATUS = 3 | DATA = 07/05/2015 17:46 | MOTIVO_CANCELAMENTO = 
07/05/2015 21:33 - TOM | USUARIO = 10831 | CI = 11782 | STATUS = 7 | DATA = 07/05/2015 21:33 | MOTIVO_CANCELAMENTO = 
07/05/2015 21:33 - TOM | USUARIO = 10831 | CI = 11782 | STATUS = 3 | DATA = 07/05/2015 21:33 | MOTIVO_CANCELAMENTO = 
08/05/2015 07:40 - MARTA | USUARIO = 10847 | CI = 11790 | STATUS = 3 | DATA = 08/05/2015 7:40 | MOTIVO_CANCELAMENTO = aprovado.
08/05/2015 09:20 - TOM | USUARIO = 10831 | CI = 11789 | STATUS = 3 | DATA = 08/05/2015 9:20 | MOTIVO_CANCELAMENTO = 
08/05/2015 09:21 - TOM | USUARIO = 10831 | CI = 11791 | STATUS = 7 | DATA = 08/05/2015 9:21 | MOTIVO_CANCELAMENTO = 
08/05/2015 09:21 - TOM | USUARIO = 10831 | CI = 11791 | STATUS = 3 | DATA = 08/05/2015 9:21 | MOTIVO_CANCELAMENTO = 
08/05/2015 09:22 - TOM | USUARIO = 10831 | CI = 11794 | STATUS = 7 | DATA = 08/05/2015 9:22 | MOTIVO_CANCELAMENTO = 
08/05/2015 09:22 - TOM | USUARIO = 10831 | CI = 11794 | STATUS = 3 | DATA = 08/05/2015 9:22 | MOTIVO_CANCELAMENTO = 
08/05/2015 09:54 - ACIR | USUARIO = 10839 | CI = 11793 | STATUS = 3 | DATA = 08/05/2015 9:54 | MOTIVO_CANCELAMENTO = 
08/05/2015 09:59 - JT | USUARIO = 10823 | CI = 11797 | STATUS = 7 | DATA = 08/05/2015 9:59 | MOTIVO_CANCELAMENTO = 
08/05/2015 10:00 - JT | USUARIO = 10823 | CI = 11775 | STATUS = 3 | DATA = 08/05/2015 10:00 | MOTIVO_CANCELAMENTO = 
08/05/2015 11:06 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11795 | STATUS = 3 | DATA = 08/05/2015 11:06 | MOTIVO_CANCELAMENTO = 
08/05/2015 12:58 - MARTA | USUARIO = 10847 | CI = 11798 | STATUS = 3 | DATA = 08/05/2015 12:58 | MOTIVO_CANCELAMENTO = aprovado.
08/05/2015 14:08 - AREIAS | USUARIO = 10997 | CI = 11788 | STATUS = 7 | DATA = 08/05/2015 14:08 | MOTIVO_CANCELAMENTO = 
08/05/2015 14:09 - AREIAS | USUARIO = 10997 | CI = 11792 | STATUS = 7 | DATA = 08/05/2015 14:09 | MOTIVO_CANCELAMENTO = 
08/05/2015 14:09 - AREIAS | USUARIO = 10997 | CI = 11796 | STATUS = 7 | DATA = 08/05/2015 14:09 | MOTIVO_CANCELAMENTO = 
08/05/2015 14:09 - AREIAS | USUARIO = 10997 | CI = 11796 | STATUS = 3 | DATA = 08/05/2015 14:09 | MOTIVO_CANCELAMENTO = 
08/05/2015 14:27 - DORACI | USUARIO = 10886 | CI = 11800 | STATUS = 7 | DATA = 08/05/2015 14:27 | MOTIVO_CANCELAMENTO = 
08/05/2015 14:47 - FERNANDO | USUARIO = 10842 | CI = 11800 | STATUS = 3 | DATA = 08/05/2015 14:47 | MOTIVO_CANCELAMENTO = 
08/05/2015 15:03 - ROBERTO | USUARIO = 10845 | CI = 11800 | STATUS = 3 | DATA = 08/05/2015 15:03 | MOTIVO_CANCELAMENTO = 
08/05/2015 16:29 - ACIR | USUARIO = 10839 | CI = 11799 | STATUS = 7 | DATA = 08/05/2015 16:29 | MOTIVO_CANCELAMENTO = 
