02/04/2015 11:24 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/04/2015 11:24
02/04/2015 11:31 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 11:31
02/04/2015 11:34 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 02/04/2015 11:34
02/04/2015 12:04 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/04/2015 12:04
02/04/2015 12:24 - CABRAL | ID_USUARIO = 10975 | DATA_LOGIN = 02/04/2015 12:24
02/04/2015 12:30 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/04/2015 12:30
02/04/2015 12:43 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/04/2015 12:43
02/04/2015 12:51 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 02/04/2015 12:51
02/04/2015 12:56 - LUCIMARA | ID_USUARIO = 10852 | DATA_LOGIN = 02/04/2015 12:56
02/04/2015 13:19 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/04/2015 13:19
02/04/2015 13:42 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/04/2015 13:42
02/04/2015 13:51 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 13:51
02/04/2015 14:03 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/04/2015 14:03
02/04/2015 14:04 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 02/04/2015 14:04
02/04/2015 14:11 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/04/2015 14:11
02/04/2015 14:20 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/04/2015 14:20
02/04/2015 14:39 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 14:39
02/04/2015 14:42 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2015 14:42
02/04/2015 14:42 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2015 14:42
02/04/2015 14:44 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/04/2015 14:44
02/04/2015 14:44 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/04/2015 14:44
02/04/2015 14:45 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/04/2015 14:45
02/04/2015 14:54 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 02/04/2015 14:54
02/04/2015 15:16 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/04/2015 15:16
02/04/2015 15:49 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2015 15:49
