02/08/2017 08:15 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2017 8:15
02/08/2017 08:32 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2017 8:32
02/08/2017 09:32 - RAQUEL | ID_USUARIO = 10882 | DATA_LOGIN = 02/08/2017 9:32
02/08/2017 09:49 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2017 9:49
02/08/2017 09:52 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2017 9:52
02/08/2017 09:53 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 02/08/2017 9:53
02/08/2017 10:06 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 02/08/2017 10:06
02/08/2017 10:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/08/2017 10:09
02/08/2017 10:26 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/08/2017 10:26
02/08/2017 10:29 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/08/2017 10:29
02/08/2017 10:30 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2017 10:30
02/08/2017 10:42 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/08/2017 10:42
02/08/2017 10:43 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/08/2017 10:43
02/08/2017 10:45 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2017 10:45
02/08/2017 10:59 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/08/2017 10:59
02/08/2017 11:01 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/08/2017 11:01
02/08/2017 11:02 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2017 11:02
02/08/2017 11:05 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2017 11:05
02/08/2017 11:14 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 02/08/2017 11:14
02/08/2017 11:16 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/08/2017 11:16
02/08/2017 11:25 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2017 11:25
02/08/2017 11:29 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/08/2017 11:29
02/08/2017 11:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2017 11:42
02/08/2017 11:57 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/08/2017 11:57
02/08/2017 12:01 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2017 12:01
02/08/2017 12:03 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/08/2017 12:03
02/08/2017 12:07 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/08/2017 12:07
02/08/2017 12:09 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/08/2017 12:09
02/08/2017 12:41 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/08/2017 12:41
02/08/2017 13:04 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2017 13:04
02/08/2017 13:14 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/08/2017 13:14
02/08/2017 13:14 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/08/2017 13:14
02/08/2017 13:16 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/08/2017 13:16
02/08/2017 13:18 - RAQUEL | ID_USUARIO = 10882 | DATA_LOGIN = 02/08/2017 13:18
02/08/2017 13:19 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2017 13:19
02/08/2017 13:19 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2017 13:19
02/08/2017 13:23 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 02/08/2017 13:23
02/08/2017 13:30 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2017 13:30
02/08/2017 13:59 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2017 13:59
02/08/2017 14:09 - ADEIR | ID_USUARIO = 10916 | DATA_LOGIN = 02/08/2017 14:09
02/08/2017 14:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2017 14:10
02/08/2017 14:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2017 14:12
02/08/2017 14:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2017 14:16
02/08/2017 14:17 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2017 14:17
02/08/2017 14:24 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/08/2017 14:24
