07/04/2015 09:15 - HEITOR | USUARIO = 10996 | CI = 11398 | STATUS = 3 | DATA = 07/04/2015 9:15 | MOTIVO_CANCELAMENTO = 
07/04/2015 09:16 - HEITOR | USUARIO = 10996 | CI = 11399 | STATUS = 3 | DATA = 07/04/2015 9:16 | MOTIVO_CANCELAMENTO = 
07/04/2015 09:16 - HEITOR | USUARIO = 10996 | CI = 11400 | STATUS = 3 | DATA = 07/04/2015 9:16 | MOTIVO_CANCELAMENTO = 
07/04/2015 09:31 - JT | USUARIO = 10823 | CI = 11396 | STATUS = 7 | DATA = 07/04/2015 9:31 | MOTIVO_CANCELAMENTO = 
07/04/2015 09:31 - JT | USUARIO = 10823 | CI = 11396 | STATUS = 3 | DATA = 07/04/2015 9:31 | MOTIVO_CANCELAMENTO = 
07/04/2015 14:20 - ZEZE | USUARIO = 10931 | CI = 11406 | STATUS = 7 | DATA = 07/04/2015 14:20 | MOTIVO_CANCELAMENTO = 
07/04/2015 14:20 - ZEZE | USUARIO = 10931 | CI = 11406 | STATUS = 3 | DATA = 07/04/2015 14:20 | MOTIVO_CANCELAMENTO = 
07/04/2015 14:42 - ZEZE | USUARIO = 10931 | CI = 11407 | STATUS = 7 | DATA = 07/04/2015 14:41 | MOTIVO_CANCELAMENTO = 
07/04/2015 14:42 - ZEZE | USUARIO = 10931 | CI = 11407 | STATUS = 3 | DATA = 07/04/2015 14:41 | MOTIVO_CANCELAMENTO = 
07/04/2015 14:55 - ZEZE | USUARIO = 10931 | CI = 11409 | STATUS = 7 | DATA = 07/04/2015 14:55 | MOTIVO_CANCELAMENTO = 
07/04/2015 14:55 - ZEZE | USUARIO = 10931 | CI = 11409 | STATUS = 3 | DATA = 07/04/2015 14:55 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:14 - TOM | USUARIO = 10831 | CI = 11389 | STATUS = 7 | DATA = 07/04/2015 15:14 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:14 - TOM | USUARIO = 10831 | CI = 11389 | STATUS = 3 | DATA = 07/04/2015 15:14 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:14 - TOM | USUARIO = 10831 | CI = 11408 | STATUS = 7 | DATA = 07/04/2015 15:14 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:14 - TOM | USUARIO = 10831 | CI = 11408 | STATUS = 3 | DATA = 07/04/2015 15:14 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:27 - AREIAS | USUARIO = 10997 | CI = 11403 | STATUS = 7 | DATA = 07/04/2015 15:27 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:27 - AREIAS | USUARIO = 10997 | CI = 11404 | STATUS = 7 | DATA = 07/04/2015 15:27 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:27 - AREIAS | USUARIO = 10997 | CI = 11404 | STATUS = 3 | DATA = 07/04/2015 15:27 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:27 - AREIAS | USUARIO = 10997 | CI = 11405 | STATUS = 7 | DATA = 07/04/2015 15:27 | MOTIVO_CANCELAMENTO = 
07/04/2015 15:27 - AREIAS | USUARIO = 10997 | CI = 11405 | STATUS = 3 | DATA = 07/04/2015 15:27 | MOTIVO_CANCELAMENTO = 
07/04/2015 18:18 - LUIDE | USUARIO = 10836 | CI = 11401 | STATUS = 3 | DATA = 07/04/2015 18:18 | MOTIVO_CANCELAMENTO = 
08/04/2015 10:49 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11395 | STATUS = 7 | DATA = 08/04/2015 10:49 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:11 - ZEZE | USUARIO = 10931 | CI = 11414 | STATUS = 7 | DATA = 08/04/2015 11:11 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:26 - FERNANDO | USUARIO = 10842 | CI = 11414 | STATUS = 3 | DATA = 08/04/2015 11:26 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:26 - FERNANDO | USUARIO = 10842 | CI = 11395 | STATUS = 3 | DATA = 08/04/2015 11:26 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:31 - TOM | USUARIO = 10831 | CI = 11411 | STATUS = 7 | DATA = 08/04/2015 11:31 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:31 - TOM | USUARIO = 10831 | CI = 11410 | STATUS = 7 | DATA = 08/04/2015 11:31 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:31 - TOM | USUARIO = 10831 | CI = 11412 | STATUS = 7 | DATA = 08/04/2015 11:31 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:31 - TOM | USUARIO = 10831 | CI = 11412 | STATUS = 3 | DATA = 08/04/2015 11:31 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:46 - SYLVIO | USUARIO = 10914 | CI = 11414 | STATUS = 3 | DATA = 08/04/2015 11:46 | MOTIVO_CANCELAMENTO = 
