11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 32 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 10 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 14 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 21 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 22 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 29 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 24 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 25 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 30 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 31 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:27 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:27 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 2 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:27 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:27 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 8 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:27 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
