06/07/2015 07:36 - ZEZE | USUARIO = 10931 | CI = 12437 | STATUS = 7 | DATA = 06/07/2015 7:36 | MOTIVO_CANCELAMENTO = 
06/07/2015 07:36 - ZEZE | USUARIO = 10931 | CI = 12437 | STATUS = 3 | DATA = 06/07/2015 7:36 | MOTIVO_CANCELAMENTO = 
06/07/2015 07:36 - ZEZE | USUARIO = 10931 | CI = 12438 | STATUS = 7 | DATA = 06/07/2015 7:36 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:07 - EDUARDO | USUARIO = 10844 | CI = 12429 | STATUS = 3 | DATA = 06/07/2015 8:07 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:07 - EDUARDO | USUARIO = 10844 | CI = 12438 | STATUS = 3 | DATA = 06/07/2015 8:07 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:07 - EDUARDO | USUARIO = 10844 | CI = 12428 | STATUS = 3 | DATA = 06/07/2015 8:07 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:08 - EDUARDO | USUARIO = 10844 | CI = 12423 | STATUS = 3 | DATA = 06/07/2015 8:08 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:08 - EDUARDO | USUARIO = 10844 | CI = 12409 | STATUS = 3 | DATA = 06/07/2015 8:08 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:08 - EDUARDO | USUARIO = 10844 | CI = 12403 | STATUS = 3 | DATA = 06/07/2015 8:08 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:09 - EDUARDO | USUARIO = 10844 | CI = 12382 | STATUS = 3 | DATA = 06/07/2015 8:09 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:15 - FERNANDO | USUARIO = 10842 | CI = 12438 | STATUS = 3 | DATA = 06/07/2015 8:15 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:15 - FERNANDO | USUARIO = 10842 | CI = 12403 | STATUS = 3 | DATA = 06/07/2015 8:15 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:59 - ZEZE | USUARIO = 10931 | CI = 12439 | STATUS = 7 | DATA = 06/07/2015 8:59 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:59 - ZEZE | USUARIO = 10931 | CI = 12439 | STATUS = 3 | DATA = 06/07/2015 8:59 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:59 - ZEZE | USUARIO = 10931 | CI = 12440 | STATUS = 7 | DATA = 06/07/2015 8:59 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:59 - ZEZE | USUARIO = 10931 | CI = 12441 | STATUS = 7 | DATA = 06/07/2015 8:59 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:59 - ZEZE | USUARIO = 10931 | CI = 12441 | STATUS = 3 | DATA = 06/07/2015 8:59 | MOTIVO_CANCELAMENTO = 
06/07/2015 09:13 - DORACI | USUARIO = 10886 | CI = 12442 | STATUS = 7 | DATA = 06/07/2015 9:13 | MOTIVO_CANCELAMENTO = 
06/07/2015 09:13 - DORACI | USUARIO = 10886 | CI = 12442 | STATUS = 3 | DATA = 06/07/2015 9:13 | MOTIVO_CANCELAMENTO = 
06/07/2015 09:23 - HEITOR | USUARIO = 10996 | CI = 12443 | STATUS = 3 | DATA = 06/07/2015 9:23 | MOTIVO_CANCELAMENTO = 
06/07/2015 09:52 - EDUARDO | USUARIO = 10844 | CI = 12440 | STATUS = 3 | DATA = 06/07/2015 9:52 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:02 - FERNANDO | USUARIO = 10842 | CI = 12440 | STATUS = 3 | DATA = 06/07/2015 10:02 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:39 - RODRIGO_POIT | USUARIO = 11086 | CI = 12447 | STATUS = 5 | DATA = 06/07/2015 10:39 | MOTIVO_CANCELAMENTO = Tendo em vista que conversei com o Tom, não vamos realizar o pagamento para o advogado, para não facilitar. Vamos tentar um acordo se ele aceitar pagaremos se não vamos deixar o processo andar.
06/07/2015 10:39 - TOM | USUARIO = 10831 | CI = 12444 | STATUS = 7 | DATA = 06/07/2015 10:39 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:39 - TOM | USUARIO = 10831 | CI = 12444 | STATUS = 3 | DATA = 06/07/2015 10:39 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:43 - AREIAS | USUARIO = 10997 | CI = 12433 | STATUS = 7 | DATA = 06/07/2015 10:43 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:43 - AREIAS | USUARIO = 10997 | CI = 12445 | STATUS = 7 | DATA = 06/07/2015 10:43 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:43 - AREIAS | USUARIO = 10997 | CI = 12446 | STATUS = 7 | DATA = 06/07/2015 10:43 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:44 - AREIAS | USUARIO = 10997 | CI = 12449 | STATUS = 7 | DATA = 06/07/2015 10:44 | MOTIVO_CANCELAMENTO = 
06/07/2015 10:44 - AREIAS | USUARIO = 10997 | CI = 12449 | STATUS = 3 | DATA = 06/07/2015 10:44 | MOTIVO_CANCELAMENTO = 
06/07/2015 11:14 - FERNANDO | USUARIO = 10842 | CI = 12446 | STATUS = 3 | DATA = 06/07/2015 11:14 | MOTIVO_CANCELAMENTO = 
06/07/2015 11:14 - FERNANDO | USUARIO = 10842 | CI = 12445 | STATUS = 3 | DATA = 06/07/2015 11:14 | MOTIVO_CANCELAMENTO = 
06/07/2015 11:32 - ZEZE | USUARIO = 10931 | CI = 12453 | STATUS = 7 | DATA = 06/07/2015 11:32 | MOTIVO_CANCELAMENTO = 
06/07/2015 11:32 - ZEZE | USUARIO = 10931 | CI = 12453 | STATUS = 3 | DATA = 06/07/2015 11:32 | MOTIVO_CANCELAMENTO = 
06/07/2015 12:53 - AREIAS | USUARIO = 10997 | CI = 12450 | STATUS = 3 | DATA = 06/07/2015 12:53 | MOTIVO_CANCELAMENTO = 
06/07/2015 16:54 - TOM | USUARIO = 10831 | CI = 12451 | STATUS = 7 | DATA = 06/07/2015 16:54 | MOTIVO_CANCELAMENTO = 
06/07/2015 16:54 - TOM | USUARIO = 10831 | CI = 12451 | STATUS = 3 | DATA = 06/07/2015 16:54 | MOTIVO_CANCELAMENTO = 
