03/11/2016 07:50 - ZEZE | USUARIO = 10931 | CI = 18033 | STATUS = 3 | DATA = 03/11/2016 7:50 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 07:51 - ZEZE | USUARIO = 10931 | CI = 18058 | STATUS = 7 | DATA = 03/11/2016 7:51 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 07:51 - ZEZE | USUARIO = 10931 | CI = 18058 | STATUS = 3 | DATA = 03/11/2016 7:51 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 07:51 - ZEZE | USUARIO = 10931 | CI = 18059 | STATUS = 7 | DATA = 03/11/2016 7:51 | MOTIVO_CANCELAMENTO = Aprovada.
03/11/2016 07:51 - ZEZE | USUARIO = 10931 | CI = 18059 | STATUS = 3 | DATA = 03/11/2016 7:51 | MOTIVO_CANCELAMENTO = Aprovada.
03/11/2016 07:51 - ZEZE | USUARIO = 10931 | CI = 18060 | STATUS = 7 | DATA = 03/11/2016 7:51 | MOTIVO_CANCELAMENTO = Aprovada.
03/11/2016 07:51 - ZEZE | USUARIO = 10931 | CI = 18062 | STATUS = 7 | DATA = 03/11/2016 7:51 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 07:52 - ZEZE | USUARIO = 10931 | CI = 18013 | STATUS = 3 | DATA = 03/11/2016 7:52 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 07:55 - JG | USUARIO = 10849 | CI = 17946 | STATUS = 3 | DATA = 03/11/2016 7:55 | MOTIVO_CANCELAMENTO = ok
03/11/2016 07:55 - JG | USUARIO = 10849 | CI = 18056 | STATUS = 3 | DATA = 03/11/2016 7:55 | MOTIVO_CANCELAMENTO = ok
03/11/2016 08:13 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 18066 | STATUS = 7 | DATA = 03/11/2016 8:13 | MOTIVO_CANCELAMENTO = 
03/11/2016 08:19 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18063 | STATUS = 3 | DATA = 03/11/2016 8:19 | MOTIVO_CANCELAMENTO = 
03/11/2016 08:19 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18064 | STATUS = 3 | DATA = 03/11/2016 8:19 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:19 - DORACI | USUARIO = 10886 | CI = 18070 | STATUS = 7 | DATA = 03/11/2016 9:19 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:20 - CHRISTIANO | USUARIO = 11570 | CI = 18070 | STATUS = 3 | DATA = 03/11/2016 9:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:20 - CHRISTIANO | USUARIO = 11570 | CI = 18066 | STATUS = 3 | DATA = 03/11/2016 9:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:20 - CHRISTIANO | USUARIO = 11570 | CI = 18062 | STATUS = 3 | DATA = 03/11/2016 9:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:20 - CHRISTIANO | USUARIO = 11570 | CI = 18060 | STATUS = 3 | DATA = 03/11/2016 9:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:21 - SYLVIO | USUARIO = 10914 | CI = 18066 | STATUS = 3 | DATA = 03/11/2016 9:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:22 - SYLVIO | USUARIO = 10914 | CI = 18062 | STATUS = 3 | DATA = 03/11/2016 9:22 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:22 - SYLVIO | USUARIO = 10914 | CI = 18060 | STATUS = 3 | DATA = 03/11/2016 9:22 | MOTIVO_CANCELAMENTO = 
03/11/2016 09:54 - CAMARA | USUARIO = 10841 | CI = 18067 | STATUS = 3 | DATA = 03/11/2016 9:54 | MOTIVO_CANCELAMENTO = 
03/11/2016 10:05 - MARCELOGODOI | USUARIO = 11316 | CI = 18065 | STATUS = 7 | DATA = 03/11/2016 10:05 | MOTIVO_CANCELAMENTO = 
03/11/2016 10:37 - AREIAS | USUARIO = 10997 | CI = 18068 | STATUS = 7 | DATA = 03/11/2016 10:37 | MOTIVO_CANCELAMENTO = 
03/11/2016 10:37 - AREIAS | USUARIO = 10997 | CI = 18069 | STATUS = 7 | DATA = 03/11/2016 10:37 | MOTIVO_CANCELAMENTO = 
03/11/2016 10:37 - AREIAS | USUARIO = 10997 | CI = 18072 | STATUS = 7 | DATA = 03/11/2016 10:37 | MOTIVO_CANCELAMENTO = 
03/11/2016 10:37 - HEBERTLUCIO | USUARIO = 11635 | CI = 18071 | STATUS = 3 | DATA = 03/11/2016 10:37 | MOTIVO_CANCELAMENTO = 
03/11/2016 13:11 - MARCIO | USUARIO = 10850 | CI = 18075 | STATUS = 3 | DATA = 03/11/2016 13:11 | MOTIVO_CANCELAMENTO = De acordo, por se tratar de um problema de saúde da esposa.
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18076 | STATUS = 7 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18076 | STATUS = 3 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18077 | STATUS = 7 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18077 | STATUS = 3 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18082 | STATUS = 7 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18082 | STATUS = 3 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18083 | STATUS = 7 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:20 - DORACI | USUARIO = 10886 | CI = 18083 | STATUS = 3 | DATA = 03/11/2016 14:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18084 | STATUS = 7 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18084 | STATUS = 3 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18086 | STATUS = 7 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18086 | STATUS = 3 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18087 | STATUS = 7 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18087 | STATUS = 3 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18088 | STATUS = 7 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:21 - DORACI | USUARIO = 10886 | CI = 18088 | STATUS = 3 | DATA = 03/11/2016 14:21 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:24 - DORACI | USUARIO = 10886 | CI = 18089 | STATUS = 7 | DATA = 03/11/2016 14:24 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:24 - DORACI | USUARIO = 10886 | CI = 18089 | STATUS = 3 | DATA = 03/11/2016 14:24 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:55 - DORACI | USUARIO = 10886 | CI = 18090 | STATUS = 7 | DATA = 03/11/2016 14:55 | MOTIVO_CANCELAMENTO = 
03/11/2016 14:55 - DORACI | USUARIO = 10886 | CI = 18090 | STATUS = 3 | DATA = 03/11/2016 14:55 | MOTIVO_CANCELAMENTO = 
