01/12/2017 15:28 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/12/2017 15:28
01/12/2017 15:38 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/12/2017 15:38
01/12/2017 15:38 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/12/2017 15:38
01/12/2017 15:41 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 01/12/2017 15:41
01/12/2017 15:47 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/12/2017 15:47
01/12/2017 15:49 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/12/2017 15:49
01/12/2017 16:01 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/12/2017 16:01
01/12/2017 16:05 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/12/2017 16:05
01/12/2017 16:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2017 16:14
01/12/2017 16:23 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/12/2017 16:23
01/12/2017 16:25 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/12/2017 16:25
01/12/2017 16:31 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/12/2017 16:31
01/12/2017 16:39 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/12/2017 16:39
01/12/2017 16:39 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/12/2017 16:39
01/12/2017 16:58 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 01/12/2017 16:58
01/12/2017 16:58 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/12/2017 16:58
01/12/2017 17:53 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/12/2017 17:53
02/12/2017 01:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2017 1:18
02/12/2017 07:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2017 7:57
02/12/2017 08:04 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/12/2017 8:04
02/12/2017 08:08 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/12/2017 8:08
02/12/2017 08:26 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/12/2017 8:26
02/12/2017 08:28 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 02/12/2017 8:28
02/12/2017 09:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2017 9:57
02/12/2017 10:08 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/12/2017 10:08
02/12/2017 12:05 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/12/2017 12:05
02/12/2017 16:53 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/12/2017 16:53
03/12/2017 00:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/12/2017 0:57
03/12/2017 00:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/12/2017 0:58
03/12/2017 01:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/12/2017 1:01
03/12/2017 07:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/12/2017 7:05
04/12/2017 07:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/12/2017 7:09
04/12/2017 07:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/12/2017 7:13
04/12/2017 07:13 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/12/2017 7:13
04/12/2017 07:17 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/12/2017 7:17
04/12/2017 07:20 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 04/12/2017 7:20
04/12/2017 07:21 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/12/2017 7:21
04/12/2017 07:30 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 04/12/2017 7:30
04/12/2017 07:41 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 04/12/2017 7:41
04/12/2017 07:50 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 04/12/2017 7:50
04/12/2017 07:53 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/12/2017 7:53
04/12/2017 08:01 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 8:01
04/12/2017 08:12 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 04/12/2017 8:12
04/12/2017 08:17 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/12/2017 8:17
04/12/2017 08:19 - OSVALDOFLORES | ID_USUARIO = 11167 | DATA_LOGIN = 04/12/2017 8:19
04/12/2017 08:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/12/2017 8:23
