02/08/2017 11:17 - ZEZE | USUARIO = 10931 | CI = 21498 | STATUS = 7 | DATA = 02/08/2017 11:17 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:17 - ZEZE | USUARIO = 10931 | CI = 21499 | STATUS = 7 | DATA = 02/08/2017 11:17 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:17 - ZEZE | USUARIO = 10931 | CI = 21499 | STATUS = 3 | DATA = 02/08/2017 11:17 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:28 - ZEZE | USUARIO = 10931 | CI = 21500 | STATUS = 7 | DATA = 02/08/2017 11:28 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:29 - DOUGLAS | USUARIO = 11530 | CI = 21497 | STATUS = 3 | DATA = 02/08/2017 11:29 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:29 - DOUGLAS | USUARIO = 11530 | CI = 21498 | STATUS = 3 | DATA = 02/08/2017 11:29 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:29 - DOUGLAS | USUARIO = 11530 | CI = 21500 | STATUS = 3 | DATA = 02/08/2017 11:29 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:57 - JT | USUARIO = 10823 | CI = 21496 | STATUS = 7 | DATA = 02/08/2017 11:57 | MOTIVO_CANCELAMENTO = 
02/08/2017 11:57 - JT | USUARIO = 10823 | CI = 21496 | STATUS = 3 | DATA = 02/08/2017 11:57 | MOTIVO_CANCELAMENTO = 
02/08/2017 13:00 - MICHELSANTOS | USUARIO = 11324 | CI = 21495 | STATUS = 5 | DATA = 02/08/2017 13:00 | MOTIVO_CANCELAMENTO = valor para pagamento incorreto.
02/08/2017 13:14 - DORACI | USUARIO = 10886 | CI = 21501 | STATUS = 7 | DATA = 02/08/2017 13:14 | MOTIVO_CANCELAMENTO = 
02/08/2017 13:14 - DORACI | USUARIO = 10886 | CI = 21501 | STATUS = 3 | DATA = 02/08/2017 13:14 | MOTIVO_CANCELAMENTO = 
02/08/2017 13:16 - DORACI | USUARIO = 10886 | CI = 21502 | STATUS = 7 | DATA = 02/08/2017 13:16 | MOTIVO_CANCELAMENTO = 
02/08/2017 13:24 - GISELERATEIRO | USUARIO = 11143 | CI = 21503 | STATUS = 7 | DATA = 02/08/2017 13:24 | MOTIVO_CANCELAMENTO = 
02/08/2017 13:24 - GISELERATEIRO | USUARIO = 11143 | CI = 21504 | STATUS = 7 | DATA = 02/08/2017 13:24 | MOTIVO_CANCELAMENTO = 
02/08/2017 15:00 - DOUGLAS | USUARIO = 11530 | CI = 21502 | STATUS = 3 | DATA = 02/08/2017 15:00 | MOTIVO_CANCELAMENTO = 
02/08/2017 15:00 - DOUGLAS | USUARIO = 11530 | CI = 21503 | STATUS = 3 | DATA = 02/08/2017 15:00 | MOTIVO_CANCELAMENTO = 
02/08/2017 15:00 - DOUGLAS | USUARIO = 11530 | CI = 21504 | STATUS = 3 | DATA = 02/08/2017 15:00 | MOTIVO_CANCELAMENTO = 
