04/09/2018 06:28 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/09/2018 6:28
04/09/2018 07:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/09/2018 7:09
04/09/2018 07:13 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/09/2018 7:13
04/09/2018 07:14 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 04/09/2018 7:14
04/09/2018 07:15 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 04/09/2018 7:15
04/09/2018 07:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 7:16
04/09/2018 07:22 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 7:22
04/09/2018 07:31 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 04/09/2018 7:31
04/09/2018 07:38 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/09/2018 7:38
04/09/2018 07:40 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/09/2018 7:40
04/09/2018 07:45 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 04/09/2018 7:45
04/09/2018 07:47 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 04/09/2018 7:47
04/09/2018 07:52 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/09/2018 7:52
04/09/2018 07:56 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/09/2018 7:56
04/09/2018 08:02 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 04/09/2018 8:02
04/09/2018 08:05 - ANAGOBATO | ID_USUARIO = 7049 | DATA_LOGIN = 04/09/2018 8:05
04/09/2018 08:12 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/09/2018 8:12
04/09/2018 08:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 8:16
04/09/2018 08:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/09/2018 8:28
04/09/2018 08:33 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/09/2018 8:33
