02/03/2016 17:48 - ACIR | USUARIO = 10839 | CI = 15054 | STATUS = 3 | DATA = 02/03/2016 17:48 | MOTIVO_CANCELAMENTO = 
02/03/2016 18:06 - DOUGLAS | USUARIO = 11530 | CI = 15061 | STATUS = 3 | DATA = 02/03/2016 18:06 | MOTIVO_CANCELAMENTO = 
02/03/2016 18:06 - DOUGLAS | USUARIO = 11530 | CI = 15064 | STATUS = 3 | DATA = 02/03/2016 18:06 | MOTIVO_CANCELAMENTO = 
03/03/2016 07:46 - TOM | USUARIO = 10831 | CI = 15069 | STATUS = 7 | DATA = 03/03/2016 7:46 | MOTIVO_CANCELAMENTO = 
03/03/2016 08:25 - SYLVIO | USUARIO = 10914 | CI = 15074 | STATUS = 3 | DATA = 03/03/2016 8:25 | MOTIVO_CANCELAMENTO = 
03/03/2016 08:37 - FERNANDO | USUARIO = 10842 | CI = 15074 | STATUS = 3 | DATA = 03/03/2016 8:37 | MOTIVO_CANCELAMENTO = 
03/03/2016 09:21 - CHRISTIANO | USUARIO = 11570 | CI = 15074 | STATUS = 3 | DATA = 03/03/2016 9:21 | MOTIVO_CANCELAMENTO = 
03/03/2016 09:22 - CHRISTIANO | USUARIO = 11570 | CI = 15077 | STATUS = 3 | DATA = 03/03/2016 9:22 | MOTIVO_CANCELAMENTO = 
03/03/2016 09:45 - JT | USUARIO = 10823 | CI = 15078 | STATUS = 7 | DATA = 03/03/2016 9:45 | MOTIVO_CANCELAMENTO = 
03/03/2016 10:43 - ZEZE | USUARIO = 10931 | CI = 15071 | STATUS = 7 | DATA = 03/03/2016 10:43 | MOTIVO_CANCELAMENTO = 
03/03/2016 10:43 - ZEZE | USUARIO = 10931 | CI = 15071 | STATUS = 3 | DATA = 03/03/2016 10:43 | MOTIVO_CANCELAMENTO = 
03/03/2016 11:15 - ZEZE | USUARIO = 10931 | CI = 15079 | STATUS = 7 | DATA = 03/03/2016 11:15 | MOTIVO_CANCELAMENTO = 
03/03/2016 11:15 - ZEZE | USUARIO = 10931 | CI = 15080 | STATUS = 7 | DATA = 03/03/2016 11:15 | MOTIVO_CANCELAMENTO = 
03/03/2016 11:15 - ZEZE | USUARIO = 10931 | CI = 15080 | STATUS = 3 | DATA = 03/03/2016 11:15 | MOTIVO_CANCELAMENTO = 
03/03/2016 11:16 - DOUGLAS | USUARIO = 11530 | CI = 15079 | STATUS = 3 | DATA = 03/03/2016 11:16 | MOTIVO_CANCELAMENTO = 
03/03/2016 11:22 - TOM | USUARIO = 10831 | CI = 15076 | STATUS = 7 | DATA = 03/03/2016 11:22 | MOTIVO_CANCELAMENTO = 
03/03/2016 11:22 - TOM | USUARIO = 10831 | CI = 15076 | STATUS = 3 | DATA = 03/03/2016 11:22 | MOTIVO_CANCELAMENTO = 
03/03/2016 13:17 - MARTA | USUARIO = 10847 | CI = 15081 | STATUS = 3 | DATA = 03/03/2016 13:17 | MOTIVO_CANCELAMENTO = aprovado.
03/03/2016 13:42 - CARACIOLO | USUARIO = 10840 | CI = 15069 | STATUS = 3 | DATA = 03/03/2016 13:42 | MOTIVO_CANCELAMENTO = 
03/03/2016 13:53 - TOM | USUARIO = 10831 | CI = 15086 | STATUS = 3 | DATA = 03/03/2016 13:53 | MOTIVO_CANCELAMENTO = 
03/03/2016 14:25 - ALEXANDRE | USUARIO = 10837 | CI = 15083 | STATUS = 7 | DATA = 03/03/2016 14:25 | MOTIVO_CANCELAMENTO = 
03/03/2016 14:25 - ALEXANDRE | USUARIO = 10837 | CI = 15083 | STATUS = 3 | DATA = 03/03/2016 14:25 | MOTIVO_CANCELAMENTO = 
03/03/2016 14:25 - ALEXANDRE | USUARIO = 10837 | CI = 15084 | STATUS = 7 | DATA = 03/03/2016 14:25 | MOTIVO_CANCELAMENTO = 
03/03/2016 14:25 - ALEXANDRE | USUARIO = 10837 | CI = 15084 | STATUS = 3 | DATA = 03/03/2016 14:25 | MOTIVO_CANCELAMENTO = 
03/03/2016 14:35 - FERNANDO | USUARIO = 10842 | CI = 15079 | STATUS = 3 | DATA = 03/03/2016 14:35 | MOTIVO_CANCELAMENTO = 
03/03/2016 14:35 - FERNANDO | USUARIO = 10842 | CI = 15078 | STATUS = 3 | DATA = 03/03/2016 14:35 | MOTIVO_CANCELAMENTO = 
03/03/2016 15:19 - REGI | USUARIO = 10864 | CI = 15088 | STATUS = 3 | DATA = 03/03/2016 15:19 | MOTIVO_CANCELAMENTO = ok!.... pode liberar!
03/03/2016 15:24 - LUIDE | USUARIO = 10836 | CI = 15085 | STATUS = 3 | DATA = 03/03/2016 15:24 | MOTIVO_CANCELAMENTO = 
03/03/2016 15:25 - LUIDE | USUARIO = 10836 | CI = 15089 | STATUS = 3 | DATA = 03/03/2016 15:25 | MOTIVO_CANCELAMENTO = 
03/03/2016 16:20 - RONALDOGOMES | USUARIO = 10971 | CI = 15093 | STATUS = 3 | DATA = 03/03/2016 16:20 | MOTIVO_CANCELAMENTO = 
03/03/2016 20:56 - TOM | USUARIO = 10831 | CI = 15091 | STATUS = 7 | DATA = 03/03/2016 20:56 | MOTIVO_CANCELAMENTO = 
03/03/2016 20:56 - TOM | USUARIO = 10831 | CI = 15091 | STATUS = 3 | DATA = 03/03/2016 20:56 | MOTIVO_CANCELAMENTO = 
04/03/2016 09:54 - ZEZE | USUARIO = 10931 | CI = 15099 | STATUS = 7 | DATA = 04/03/2016 9:54 | MOTIVO_CANCELAMENTO = 
04/03/2016 09:54 - ZEZE | USUARIO = 10931 | CI = 15099 | STATUS = 3 | DATA = 04/03/2016 9:54 | MOTIVO_CANCELAMENTO = 
04/03/2016 10:51 - JT | USUARIO = 10823 | CI = 15097 | STATUS = 7 | DATA = 04/03/2016 10:51 | MOTIVO_CANCELAMENTO = 
04/03/2016 10:51 - JT | USUARIO = 10823 | CI = 15097 | STATUS = 3 | DATA = 04/03/2016 10:51 | MOTIVO_CANCELAMENTO = 
04/03/2016 11:08 - DORACI | USUARIO = 10886 | CI = 15100 | STATUS = 3 | DATA = 04/03/2016 11:08 | MOTIVO_CANCELAMENTO = 
04/03/2016 11:13 - CAMARA | USUARIO = 10841 | CI = 15096 | STATUS = 3 | DATA = 04/03/2016 11:13 | MOTIVO_CANCELAMENTO = 
