09/05/2019 11:29 - CAMARA | USUARIO = 10841 | CI = 27303 | STATUS = 3 | DATA = 09/05/2019 11:29 | MOTIVO_CANCELAMENTO = 
09/05/2019 11:48 - DOUGLAS | USUARIO = 11530 | CI = 27280 | STATUS = 3 | DATA = 09/05/2019 11:48 | MOTIVO_CANCELAMENTO = 
09/05/2019 11:48 - DOUGLAS | USUARIO = 11530 | CI = 27281 | STATUS = 3 | DATA = 09/05/2019 11:48 | MOTIVO_CANCELAMENTO = 
09/05/2019 11:48 - DOUGLAS | USUARIO = 11530 | CI = 27282 | STATUS = 3 | DATA = 09/05/2019 11:48 | MOTIVO_CANCELAMENTO = 
09/05/2019 14:35 - AREIAS | USUARIO = 10997 | CI = 27309 | STATUS = 3 | DATA = 09/05/2019 14:35 | MOTIVO_CANCELAMENTO = 
09/05/2019 14:53 - ZEZE | USUARIO = 10931 | CI = 27290 | STATUS = 3 | DATA = 09/05/2019 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2019 14:53 - ZEZE | USUARIO = 10931 | CI = 27297 | STATUS = 7 | DATA = 09/05/2019 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2019 14:53 - ZEZE | USUARIO = 10931 | CI = 27297 | STATUS = 3 | DATA = 09/05/2019 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2019 14:53 - ZEZE | USUARIO = 10931 | CI = 27308 | STATUS = 3 | DATA = 09/05/2019 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2019 15:00 - LUIDE | USUARIO = 10836 | CI = 27292 | STATUS = 8 | DATA = 09/05/2019 15:00 | MOTIVO_CANCELAMENTO = Tiago. Favor desmembrar esse valor de despesas, sendo 50% para o financeiro e 50% para o comercial
09/05/2019 15:01 - LUIDE | USUARIO = 10836 | CI = 27293 | STATUS = 8 | DATA = 09/05/2019 15:01 | MOTIVO_CANCELAMENTO = Tiago,

Favor desmembrar essa despesa, sendo 50% para o financeiro e 50% para o comercial.
09/05/2019 15:19 - GENAILDOTORRES | USUARIO = 7046 | CI = 27310 | STATUS = 7 | DATA = 09/05/2019 15:19 | MOTIVO_CANCELAMENTO = 
09/05/2019 15:19 - GENAILDOTORRES | USUARIO = 7046 | CI = 27310 | STATUS = 3 | DATA = 09/05/2019 15:19 | MOTIVO_CANCELAMENTO = 
09/05/2019 17:10 - SYLVIO | USUARIO = 10914 | CI = 26964 | STATUS = 3 | DATA = 09/05/2019 17:10 | MOTIVO_CANCELAMENTO = 
09/05/2019 17:10 - SYLVIO | USUARIO = 10914 | CI = 22250 | STATUS = 4 | DATA = 09/05/2019 17:10 | MOTIVO_CANCELAMENTO = .
09/05/2019 17:11 - SYLVIO | USUARIO = 10914 | CI = 22558 | STATUS = 4 | DATA = 09/05/2019 17:11 | MOTIVO_CANCELAMENTO = .
09/05/2019 17:11 - SYLVIO | USUARIO = 10914 | CI = 22559 | STATUS = 4 | DATA = 09/05/2019 17:11 | MOTIVO_CANCELAMENTO = .
09/05/2019 17:11 - SYLVIO | USUARIO = 10914 | CI = 23978 | STATUS = 4 | DATA = 09/05/2019 17:11 | MOTIVO_CANCELAMENTO = .
10/05/2019 07:48 - TADEUMACHADO | USUARIO = 11594 | CI = 27311 | STATUS = 7 | DATA = 10/05/2019 7:48 | MOTIVO_CANCELAMENTO = 
10/05/2019 07:48 - TADEUMACHADO | USUARIO = 11594 | CI = 27311 | STATUS = 3 | DATA = 10/05/2019 7:48 | MOTIVO_CANCELAMENTO = 
10/05/2019 08:01 - MARCIO | USUARIO = 10850 | CI = 27312 | STATUS = 7 | DATA = 10/05/2019 8:01 | MOTIVO_CANCELAMENTO = 
10/05/2019 08:01 - MARCIO | USUARIO = 10850 | CI = 27312 | STATUS = 3 | DATA = 10/05/2019 8:01 | MOTIVO_CANCELAMENTO = 
12/05/2019 10:18 - JT | USUARIO = 10823 | CI = 27316 | STATUS = 7 | DATA = 12/05/2019 10:18 | MOTIVO_CANCELAMENTO = 
12/05/2019 10:18 - JT | USUARIO = 10823 | CI = 27316 | STATUS = 3 | DATA = 12/05/2019 10:18 | MOTIVO_CANCELAMENTO = 
13/05/2019 07:30 - ALEXANDRE | USUARIO = 10837 | CI = 27278 | STATUS = 7 | DATA = 13/05/2019 7:30 | MOTIVO_CANCELAMENTO = 
13/05/2019 07:30 - ALEXANDRE | USUARIO = 10837 | CI = 27278 | STATUS = 3 | DATA = 13/05/2019 7:30 | MOTIVO_CANCELAMENTO = 
13/05/2019 07:30 - ALEXANDRE | USUARIO = 10837 | CI = 27317 | STATUS = 7 | DATA = 13/05/2019 7:30 | MOTIVO_CANCELAMENTO = 
13/05/2019 07:30 - ALEXANDRE | USUARIO = 10837 | CI = 27317 | STATUS = 3 | DATA = 13/05/2019 7:30 | MOTIVO_CANCELAMENTO = 
13/05/2019 08:21 - HEBERTLUCIO | USUARIO = 11635 | CI = 27318 | STATUS = 3 | DATA = 13/05/2019 8:21 | MOTIVO_CANCELAMENTO = 
13/05/2019 08:33 - HEBERTLUCIO | USUARIO = 11635 | CI = 27319 | STATUS = 3 | DATA = 13/05/2019 8:33 | MOTIVO_CANCELAMENTO = em negociação com compras
13/05/2019 09:14 - HEBERTLUCIO | USUARIO = 11635 | CI = 27300 | STATUS = 3 | DATA = 13/05/2019 9:14 | MOTIVO_CANCELAMENTO = 
13/05/2019 09:14 - HEBERTLUCIO | USUARIO = 11635 | CI = 27304 | STATUS = 3 | DATA = 13/05/2019 9:14 | MOTIVO_CANCELAMENTO = 
13/05/2019 09:14 - HEBERTLUCIO | USUARIO = 11635 | CI = 27305 | STATUS = 3 | DATA = 13/05/2019 9:14 | MOTIVO_CANCELAMENTO = 
13/05/2019 11:19 - HEBERTLUCIO | USUARIO = 11635 | CI = 27322 | STATUS = 3 | DATA = 13/05/2019 11:19 | MOTIVO_CANCELAMENTO = 
13/05/2019 11:45 - ZEZE | USUARIO = 10931 | CI = 27313 | STATUS = 3 | DATA = 13/05/2019 11:45 | MOTIVO_CANCELAMENTO = 
13/05/2019 11:45 - ZEZE | USUARIO = 10931 | CI = 27315 | STATUS = 3 | DATA = 13/05/2019 11:45 | MOTIVO_CANCELAMENTO = 
13/05/2019 11:45 - ZEZE | USUARIO = 10931 | CI = 27320 | STATUS = 3 | DATA = 13/05/2019 11:45 | MOTIVO_CANCELAMENTO = 
13/05/2019 11:50 - AREIAS | USUARIO = 10997 | CI = 27321 | STATUS = 7 | DATA = 13/05/2019 11:50 | MOTIVO_CANCELAMENTO = 
13/05/2019 11:50 - AREIAS | USUARIO = 10997 | CI = 27323 | STATUS = 3 | DATA = 13/05/2019 11:50 | MOTIVO_CANCELAMENTO = 
13/05/2019 12:21 - DOUGLAS | USUARIO = 11530 | CI = 27321 | STATUS = 3 | DATA = 13/05/2019 12:21 | MOTIVO_CANCELAMENTO = 
13/05/2019 15:02 - HEBERTLUCIO | USUARIO = 11635 | CI = 27324 | STATUS = 3 | DATA = 13/05/2019 15:02 | MOTIVO_CANCELAMENTO = 
14/05/2019 08:09 - LUIDE | USUARIO = 10836 | CI = 27314 | STATUS = 7 | DATA = 14/05/2019 8:09 | MOTIVO_CANCELAMENTO = 
14/05/2019 08:09 - LUIDE | USUARIO = 10836 | CI = 27326 | STATUS = 7 | DATA = 14/05/2019 8:09 | MOTIVO_CANCELAMENTO = 
