04/07/2017 15:40 - MARCIO | USUARIO = 10850 | CI = 21136 | STATUS = 7 | DATA = 04/07/2017 15:40 | MOTIVO_CANCELAMENTO = 
04/07/2017 15:40 - MARCIO | USUARIO = 10850 | CI = 21136 | STATUS = 3 | DATA = 04/07/2017 15:40 | MOTIVO_CANCELAMENTO = 
04/07/2017 18:19 - ROBERTO | USUARIO = 10845 | CI = 20823 | STATUS = 3 | DATA = 04/07/2017 18:19 | MOTIVO_CANCELAMENTO = 
04/07/2017 18:19 - ROBERTO | USUARIO = 10845 | CI = 21164 | STATUS = 3 | DATA = 04/07/2017 18:19 | MOTIVO_CANCELAMENTO = 
04/07/2017 18:27 - FERNANDO | USUARIO = 10842 | CI = 21163 | STATUS = 3 | DATA = 04/07/2017 18:27 | MOTIVO_CANCELAMENTO = 
04/07/2017 20:46 - ANITA | USUARIO = 11002 | CI = 21161 | STATUS = 3 | DATA = 04/07/2017 20:46 | MOTIVO_CANCELAMENTO = 
05/07/2017 07:37 - DORACI | USUARIO = 10886 | CI = 21156 | STATUS = 7 | DATA = 05/07/2017 7:37 | MOTIVO_CANCELAMENTO = 
05/07/2017 07:37 - DORACI | USUARIO = 10886 | CI = 21156 | STATUS = 3 | DATA = 05/07/2017 7:37 | MOTIVO_CANCELAMENTO = 
05/07/2017 08:40 - LUIDE | USUARIO = 10836 | CI = 21160 | STATUS = 7 | DATA = 05/07/2017 8:40 | MOTIVO_CANCELAMENTO = 
05/07/2017 08:41 - LUIDE | USUARIO = 10836 | CI = 21159 | STATUS = 7 | DATA = 05/07/2017 8:41 | MOTIVO_CANCELAMENTO = 
05/07/2017 08:43 - LUIDE | USUARIO = 10836 | CI = 21157 | STATUS = 7 | DATA = 05/07/2017 8:43 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:41 - ZEZE | USUARIO = 10931 | CI = 21167 | STATUS = 7 | DATA = 05/07/2017 9:41 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:41 - ZEZE | USUARIO = 10931 | CI = 21168 | STATUS = 7 | DATA = 05/07/2017 9:41 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:41 - ZEZE | USUARIO = 10931 | CI = 21168 | STATUS = 3 | DATA = 05/07/2017 9:41 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:41 - ZEZE | USUARIO = 10931 | CI = 21172 | STATUS = 7 | DATA = 05/07/2017 9:41 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:41 - ZEZE | USUARIO = 10931 | CI = 21172 | STATUS = 3 | DATA = 05/07/2017 9:41 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:48 - DOUGLAS | USUARIO = 11530 | CI = 21157 | STATUS = 3 | DATA = 05/07/2017 9:48 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:48 - DOUGLAS | USUARIO = 11530 | CI = 21159 | STATUS = 3 | DATA = 05/07/2017 9:48 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:48 - DOUGLAS | USUARIO = 11530 | CI = 21160 | STATUS = 3 | DATA = 05/07/2017 9:48 | MOTIVO_CANCELAMENTO = 
05/07/2017 09:48 - DOUGLAS | USUARIO = 11530 | CI = 21167 | STATUS = 3 | DATA = 05/07/2017 9:48 | MOTIVO_CANCELAMENTO = 
05/07/2017 10:14 - MARCELOGODOI | USUARIO = 11316 | CI = 21165 | STATUS = 7 | DATA = 05/07/2017 10:14 | MOTIVO_CANCELAMENTO = 
05/07/2017 10:15 - MARCELOGODOI | USUARIO = 11316 | CI = 21166 | STATUS = 7 | DATA = 05/07/2017 10:15 | MOTIVO_CANCELAMENTO = 
05/07/2017 10:16 - MARCELOGODOI | USUARIO = 11316 | CI = 21169 | STATUS = 7 | DATA = 05/07/2017 10:16 | MOTIVO_CANCELAMENTO = Condenação em sentença.
05/07/2017 10:17 - MARCELOGODOI | USUARIO = 11316 | CI = 21173 | STATUS = 7 | DATA = 05/07/2017 10:17 | MOTIVO_CANCELAMENTO = 
05/07/2017 11:10 - DOUGLAS | USUARIO = 11530 | CI = 21169 | STATUS = 3 | DATA = 05/07/2017 11:10 | MOTIVO_CANCELAMENTO = 
05/07/2017 11:12 - EDUARDO | USUARIO = 10844 | CI = 21162 | STATUS = 3 | DATA = 05/07/2017 11:12 | MOTIVO_CANCELAMENTO = 
05/07/2017 13:34 - AREIAS | USUARIO = 10997 | CI = 21158 | STATUS = 7 | DATA = 05/07/2017 13:34 | MOTIVO_CANCELAMENTO = 
