09/04/2018 11:37 - AREIAS | USUARIO = 10997 | CI = 24281 | STATUS = 3 | DATA = 09/04/2018 11:37 | MOTIVO_CANCELAMENTO = 
09/04/2018 11:38 - AREIAS | USUARIO = 10997 | CI = 24282 | STATUS = 7 | DATA = 09/04/2018 11:38 | MOTIVO_CANCELAMENTO = 
09/04/2018 11:38 - AREIAS | USUARIO = 10997 | CI = 24283 | STATUS = 7 | DATA = 09/04/2018 11:38 | MOTIVO_CANCELAMENTO = 
09/04/2018 11:38 - AREIAS | USUARIO = 10997 | CI = 24284 | STATUS = 7 | DATA = 09/04/2018 11:38 | MOTIVO_CANCELAMENTO = 
09/04/2018 11:38 - AREIAS | USUARIO = 10997 | CI = 24285 | STATUS = 7 | DATA = 09/04/2018 11:38 | MOTIVO_CANCELAMENTO = 
09/04/2018 11:38 - AREIAS | USUARIO = 10997 | CI = 24286 | STATUS = 7 | DATA = 09/04/2018 11:38 | MOTIVO_CANCELAMENTO = 
09/04/2018 12:16 - MARCIO | USUARIO = 10850 | CI = 24290 | STATUS = 3 | DATA = 09/04/2018 12:16 | MOTIVO_CANCELAMENTO = 
09/04/2018 13:18 - DOUGLAS | USUARIO = 11530 | CI = 24282 | STATUS = 3 | DATA = 09/04/2018 13:18 | MOTIVO_CANCELAMENTO = 
09/04/2018 13:18 - DOUGLAS | USUARIO = 11530 | CI = 24283 | STATUS = 3 | DATA = 09/04/2018 13:18 | MOTIVO_CANCELAMENTO = 
09/04/2018 13:18 - DOUGLAS | USUARIO = 11530 | CI = 24284 | STATUS = 3 | DATA = 09/04/2018 13:18 | MOTIVO_CANCELAMENTO = 
09/04/2018 13:18 - DOUGLAS | USUARIO = 11530 | CI = 24285 | STATUS = 3 | DATA = 09/04/2018 13:18 | MOTIVO_CANCELAMENTO = 
09/04/2018 13:18 - DOUGLAS | USUARIO = 11530 | CI = 24286 | STATUS = 3 | DATA = 09/04/2018 13:18 | MOTIVO_CANCELAMENTO = 
09/04/2018 13:25 - ACIR | USUARIO = 10839 | CI = 24288 | STATUS = 7 | DATA = 09/04/2018 13:25 | MOTIVO_CANCELAMENTO = 
09/04/2018 16:32 - DOUGLAS | USUARIO = 11530 | CI = 24292 | STATUS = 3 | DATA = 09/04/2018 16:32 | MOTIVO_CANCELAMENTO = 
09/04/2018 18:08 - JT | USUARIO = 10823 | CI = 24279 | STATUS = 7 | DATA = 09/04/2018 18:08 | MOTIVO_CANCELAMENTO = 
09/04/2018 18:08 - JT | USUARIO = 10823 | CI = 24287 | STATUS = 7 | DATA = 09/04/2018 18:08 | MOTIVO_CANCELAMENTO = 
09/04/2018 18:08 - JT | USUARIO = 10823 | CI = 24293 | STATUS = 7 | DATA = 09/04/2018 18:08 | MOTIVO_CANCELAMENTO = 
10/04/2018 07:23 - GUSTAVOGIRO | USUARIO = 6963 | CI = 24287 | STATUS = 3 | DATA = 10/04/2018 7:23 | MOTIVO_CANCELAMENTO = 
10/04/2018 08:21 - OSNY | USUARIO = 10826 | CI = 24291 | STATUS = 7 | DATA = 10/04/2018 8:21 | MOTIVO_CANCELAMENTO = 
10/04/2018 08:40 - ZEZE | USUARIO = 10931 | CI = 24272 | STATUS = 3 | DATA = 10/04/2018 8:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 08:40 - ZEZE | USUARIO = 10931 | CI = 24273 | STATUS = 7 | DATA = 10/04/2018 8:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 08:40 - ZEZE | USUARIO = 10931 | CI = 24273 | STATUS = 3 | DATA = 10/04/2018 8:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 08:40 - ZEZE | USUARIO = 10931 | CI = 24294 | STATUS = 7 | DATA = 10/04/2018 8:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 08:40 - ZEZE | USUARIO = 10931 | CI = 24294 | STATUS = 3 | DATA = 10/04/2018 8:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 08:59 - MARCELOGODOI | USUARIO = 11316 | CI = 24302 | STATUS = 7 | DATA = 10/04/2018 8:59 | MOTIVO_CANCELAMENTO = 
10/04/2018 09:38 - CAMARA | USUARIO = 10841 | CI = 24288 | STATUS = 3 | DATA = 10/04/2018 9:38 | MOTIVO_CANCELAMENTO = 
10/04/2018 09:39 - CAMARA | USUARIO = 10841 | CI = 24293 | STATUS = 3 | DATA = 10/04/2018 9:39 | MOTIVO_CANCELAMENTO = 
10/04/2018 09:39 - CAMARA | USUARIO = 10841 | CI = 24295 | STATUS = 3 | DATA = 10/04/2018 9:39 | MOTIVO_CANCELAMENTO = 
10/04/2018 09:39 - CAMARA | USUARIO = 10841 | CI = 24296 | STATUS = 3 | DATA = 10/04/2018 9:39 | MOTIVO_CANCELAMENTO = 
10/04/2018 09:54 - ZEZE | USUARIO = 10931 | CI = 24303 | STATUS = 3 | DATA = 10/04/2018 9:54 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:42 - AREIAS | USUARIO = 10997 | CI = 24297 | STATUS = 7 | DATA = 10/04/2018 10:42 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:42 - AREIAS | USUARIO = 10997 | CI = 24298 | STATUS = 7 | DATA = 10/04/2018 10:42 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:43 - AREIAS | USUARIO = 10997 | CI = 24299 | STATUS = 7 | DATA = 10/04/2018 10:43 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:55 - DOUGLAS | USUARIO = 11530 | CI = 24279 | STATUS = 3 | DATA = 10/04/2018 10:55 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:55 - DOUGLAS | USUARIO = 11530 | CI = 24291 | STATUS = 3 | DATA = 10/04/2018 10:55 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:55 - DOUGLAS | USUARIO = 11530 | CI = 24297 | STATUS = 3 | DATA = 10/04/2018 10:55 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:55 - DOUGLAS | USUARIO = 11530 | CI = 24298 | STATUS = 3 | DATA = 10/04/2018 10:55 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:55 - DOUGLAS | USUARIO = 11530 | CI = 24299 | STATUS = 3 | DATA = 10/04/2018 10:55 | MOTIVO_CANCELAMENTO = 
10/04/2018 10:55 - DOUGLAS | USUARIO = 11530 | CI = 24302 | STATUS = 3 | DATA = 10/04/2018 10:55 | MOTIVO_CANCELAMENTO = 
10/04/2018 11:41 - HEBERTLUCIO | USUARIO = 11635 | CI = 24278 | STATUS = 3 | DATA = 10/04/2018 11:41 | MOTIVO_CANCELAMENTO = 
10/04/2018 11:41 - HEBERTLUCIO | USUARIO = 11635 | CI = 24300 | STATUS = 3 | DATA = 10/04/2018 11:41 | MOTIVO_CANCELAMENTO = 
10/04/2018 11:41 - HEBERTLUCIO | USUARIO = 11635 | CI = 24301 | STATUS = 3 | DATA = 10/04/2018 11:41 | MOTIVO_CANCELAMENTO = 
10/04/2018 11:41 - HEBERTLUCIO | USUARIO = 11635 | CI = 24304 | STATUS = 3 | DATA = 10/04/2018 11:41 | MOTIVO_CANCELAMENTO = 
10/04/2018 11:44 - MARCIO | USUARIO = 10850 | CI = 24305 | STATUS = 3 | DATA = 10/04/2018 11:44 | MOTIVO_CANCELAMENTO = 
10/04/2018 11:53 - MARCIO | USUARIO = 10850 | CI = 24306 | STATUS = 3 | DATA = 10/04/2018 11:53 | MOTIVO_CANCELAMENTO = 
10/04/2018 13:44 - CAMARA | USUARIO = 10841 | CI = 24307 | STATUS = 3 | DATA = 10/04/2018 13:44 | MOTIVO_CANCELAMENTO = 
10/04/2018 15:26 - OSNY | USUARIO = 10826 | CI = 24308 | STATUS = 3 | DATA = 10/04/2018 15:26 | MOTIVO_CANCELAMENTO = 
10/04/2018 17:40 - LUIDE | USUARIO = 10836 | CI = 24269 | STATUS = 7 | DATA = 10/04/2018 17:39 | MOTIVO_CANCELAMENTO = 
10/04/2018 17:40 - LUIDE | USUARIO = 10836 | CI = 24270 | STATUS = 7 | DATA = 10/04/2018 17:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 17:40 - LUIDE | USUARIO = 10836 | CI = 24309 | STATUS = 7 | DATA = 10/04/2018 17:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:15 - ROBERTO | USUARIO = 10845 | CI = 24245 | STATUS = 3 | DATA = 10/04/2018 18:15 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:16 - ROBERTO | USUARIO = 10845 | CI = 24246 | STATUS = 3 | DATA = 10/04/2018 18:16 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:16 - ROBERTO | USUARIO = 10845 | CI = 24247 | STATUS = 3 | DATA = 10/04/2018 18:16 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:39 - ACIR | USUARIO = 10839 | CI = 24310 | STATUS = 7 | DATA = 10/04/2018 18:39 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:39 - ACIR | USUARIO = 10839 | CI = 24310 | STATUS = 3 | DATA = 10/04/2018 18:39 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:40 - ACIR | USUARIO = 10839 | CI = 24309 | STATUS = 3 | DATA = 10/04/2018 18:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:40 - ACIR | USUARIO = 10839 | CI = 24270 | STATUS = 3 | DATA = 10/04/2018 18:40 | MOTIVO_CANCELAMENTO = 
10/04/2018 18:40 - ACIR | USUARIO = 10839 | CI = 24269 | STATUS = 3 | DATA = 10/04/2018 18:40 | MOTIVO_CANCELAMENTO = 
11/04/2018 10:21 - ZEZE | USUARIO = 10931 | CI = 24315 | STATUS = 3 | DATA = 11/04/2018 10:21 | MOTIVO_CANCELAMENTO = 
11/04/2018 13:26 - ZEZE | USUARIO = 10931 | CI = 24316 | STATUS = 3 | DATA = 11/04/2018 13:26 | MOTIVO_CANCELAMENTO = 
11/04/2018 16:01 - ALEXANDRE | USUARIO = 10837 | CI = 24312 | STATUS = 7 | DATA = 11/04/2018 16:01 | MOTIVO_CANCELAMENTO = 
11/04/2018 16:01 - ALEXANDRE | USUARIO = 10837 | CI = 24312 | STATUS = 3 | DATA = 11/04/2018 16:01 | MOTIVO_CANCELAMENTO = 
11/04/2018 16:01 - ALEXANDRE | USUARIO = 10837 | CI = 24313 | STATUS = 7 | DATA = 11/04/2018 16:01 | MOTIVO_CANCELAMENTO = 
11/04/2018 16:01 - ALEXANDRE | USUARIO = 10837 | CI = 24313 | STATUS = 3 | DATA = 11/04/2018 16:01 | MOTIVO_CANCELAMENTO = 
12/04/2018 08:08 - OSNY | USUARIO = 10826 | CI = 24317 | STATUS = 7 | DATA = 12/04/2018 8:08 | MOTIVO_CANCELAMENTO = 
12/04/2018 08:08 - OSNY | USUARIO = 10826 | CI = 24317 | STATUS = 3 | DATA = 12/04/2018 8:08 | MOTIVO_CANCELAMENTO = 
12/04/2018 08:09 - AREIAS | USUARIO = 10997 | CI = 24319 | STATUS = 3 | DATA = 12/04/2018 8:09 | MOTIVO_CANCELAMENTO = 
12/04/2018 10:23 - CAMARA | USUARIO = 10841 | CI = 24321 | STATUS = 3 | DATA = 12/04/2018 10:23 | MOTIVO_CANCELAMENTO = 
12/04/2018 11:37 - ZEZE | USUARIO = 10931 | CI = 24322 | STATUS = 3 | DATA = 12/04/2018 11:37 | MOTIVO_CANCELAMENTO = 
12/04/2018 11:49 - REGI | USUARIO = 10864 | CI = 24324 | STATUS = 3 | DATA = 12/04/2018 11:49 | MOTIVO_CANCELAMENTO = ok
12/04/2018 15:18 - CAMARA | USUARIO = 10841 | CI = 24327 | STATUS = 3 | DATA = 12/04/2018 15:18 | MOTIVO_CANCELAMENTO = 
12/04/2018 15:18 - CAMARA | USUARIO = 10841 | CI = 24328 | STATUS = 3 | DATA = 12/04/2018 15:18 | MOTIVO_CANCELAMENTO = 
12/04/2018 15:19 - CAMARA | USUARIO = 10841 | CI = 24329 | STATUS = 3 | DATA = 12/04/2018 15:19 | MOTIVO_CANCELAMENTO = 
12/04/2018 16:30 - CAMARA | USUARIO = 10841 | CI = 24330 | STATUS = 3 | DATA = 12/04/2018 16:30 | MOTIVO_CANCELAMENTO = 
12/04/2018 16:30 - CAMARA | USUARIO = 10841 | CI = 24331 | STATUS = 3 | DATA = 12/04/2018 16:30 | MOTIVO_CANCELAMENTO = 
12/04/2018 16:30 - CAMARA | USUARIO = 10841 | CI = 24332 | STATUS = 3 | DATA = 12/04/2018 16:30 | MOTIVO_CANCELAMENTO = 
13/04/2018 09:04 - ROBERTA | USUARIO = 10935 | CI = 24335 | STATUS = 3 | DATA = 13/04/2018 9:04 | MOTIVO_CANCELAMENTO = 
13/04/2018 11:00 - JT | USUARIO = 10823 | CI = 24323 | STATUS = 7 | DATA = 13/04/2018 11:00 | MOTIVO_CANCELAMENTO = 
13/04/2018 11:00 - JT | USUARIO = 10823 | CI = 24323 | STATUS = 3 | DATA = 13/04/2018 11:00 | MOTIVO_CANCELAMENTO = 
13/04/2018 11:00 - JT | USUARIO = 10823 | CI = 24334 | STATUS = 7 | DATA = 13/04/2018 11:00 | MOTIVO_CANCELAMENTO = 
13/04/2018 11:25 - ZEZE | USUARIO = 10931 | CI = 24338 | STATUS = 7 | DATA = 13/04/2018 11:25 | MOTIVO_CANCELAMENTO = 
13/04/2018 11:25 - ZEZE | USUARIO = 10931 | CI = 24338 | STATUS = 3 | DATA = 13/04/2018 11:25 | MOTIVO_CANCELAMENTO = 
13/04/2018 11:25 - ZEZE | USUARIO = 10931 | CI = 24318 | STATUS = 3 | DATA = 13/04/2018 11:25 | MOTIVO_CANCELAMENTO = 
13/04/2018 11:41 - JOAOROGANTE | USUARIO = 6966 | CI = 24339 | STATUS = 7 | DATA = 13/04/2018 11:41 | MOTIVO_CANCELAMENTO = Pá para uso na limpeza dos canais de irrigação. Alicate para uso no sistema de gotejamento.
13/04/2018 11:41 - JOAOROGANTE | USUARIO = 6966 | CI = 24339 | STATUS = 3 | DATA = 13/04/2018 11:41 | MOTIVO_CANCELAMENTO = Pá para uso na limpeza dos canais de irrigação. Alicate para uso no sistema de gotejamento.
13/04/2018 15:24 - ZEZE | USUARIO = 10931 | CI = 24340 | STATUS = 3 | DATA = 13/04/2018 15:24 | MOTIVO_CANCELAMENTO = 
13/04/2018 15:42 - ZEZE | USUARIO = 10931 | CI = 24341 | STATUS = 7 | DATA = 13/04/2018 15:42 | MOTIVO_CANCELAMENTO = 
13/04/2018 15:42 - ZEZE | USUARIO = 10931 | CI = 24341 | STATUS = 3 | DATA = 13/04/2018 15:42 | MOTIVO_CANCELAMENTO = 
14/04/2018 14:54 - JT | USUARIO = 10823 | CI = 24342 | STATUS = 7 | DATA = 14/04/2018 14:54 | MOTIVO_CANCELAMENTO = 
14/04/2018 14:54 - JT | USUARIO = 10823 | CI = 24342 | STATUS = 3 | DATA = 14/04/2018 14:54 | MOTIVO_CANCELAMENTO = 
16/04/2018 07:40 - OSNY | USUARIO = 10826 | CI = 24343 | STATUS = 7 | DATA = 16/04/2018 7:40 | MOTIVO_CANCELAMENTO = 
16/04/2018 07:40 - OSNY | USUARIO = 10826 | CI = 24343 | STATUS = 3 | DATA = 16/04/2018 7:40 | MOTIVO_CANCELAMENTO = 
16/04/2018 08:57 - TADEUMACHADO | USUARIO = 11594 | CI = 24344 | STATUS = 3 | DATA = 16/04/2018 8:57 | MOTIVO_CANCELAMENTO = 
16/04/2018 09:33 - DOUGLAS | USUARIO = 11530 | CI = 24348 | STATUS = 3 | DATA = 16/04/2018 9:33 | MOTIVO_CANCELAMENTO = 
16/04/2018 10:09 - JT | USUARIO = 10823 | CI = 24346 | STATUS = 7 | DATA = 16/04/2018 10:09 | MOTIVO_CANCELAMENTO = 
16/04/2018 10:09 - JT | USUARIO = 10823 | CI = 24346 | STATUS = 3 | DATA = 16/04/2018 10:09 | MOTIVO_CANCELAMENTO = 
16/04/2018 11:01 - ZEZE | USUARIO = 10931 | CI = 24350 | STATUS = 7 | DATA = 16/04/2018 11:01 | MOTIVO_CANCELAMENTO = 
16/04/2018 11:01 - ZEZE | USUARIO = 10931 | CI = 24350 | STATUS = 3 | DATA = 16/04/2018 11:01 | MOTIVO_CANCELAMENTO = 
16/04/2018 12:57 - JT | USUARIO = 10823 | CI = 24353 | STATUS = 7 | DATA = 16/04/2018 12:57 | MOTIVO_CANCELAMENTO = 
16/04/2018 12:57 - JT | USUARIO = 10823 | CI = 24353 | STATUS = 3 | DATA = 16/04/2018 12:57 | MOTIVO_CANCELAMENTO = 
16/04/2018 12:59 - JT | USUARIO = 10823 | CI = 24352 | STATUS = 7 | DATA = 16/04/2018 12:59 | MOTIVO_CANCELAMENTO = 
16/04/2018 13:31 - CAMARA | USUARIO = 10841 | CI = 24333 | STATUS = 3 | DATA = 16/04/2018 13:31 | MOTIVO_CANCELAMENTO = 
16/04/2018 13:31 - CAMARA | USUARIO = 10841 | CI = 24354 | STATUS = 3 | DATA = 16/04/2018 13:31 | MOTIVO_CANCELAMENTO = 
16/04/2018 14:01 - ROBERTA | USUARIO = 10935 | CI = 24356 | STATUS = 7 | DATA = 16/04/2018 14:01 | MOTIVO_CANCELAMENTO = 
16/04/2018 14:01 - ROBERTA | USUARIO = 10935 | CI = 24356 | STATUS = 3 | DATA = 16/04/2018 14:01 | MOTIVO_CANCELAMENTO = 
16/04/2018 14:23 - ZEZE | USUARIO = 10931 | CI = 24351 | STATUS = 7 | DATA = 16/04/2018 14:23 | MOTIVO_CANCELAMENTO = 
16/04/2018 14:23 - ZEZE | USUARIO = 10931 | CI = 24351 | STATUS = 3 | DATA = 16/04/2018 14:23 | MOTIVO_CANCELAMENTO = 
16/04/2018 14:23 - ZEZE | USUARIO = 10931 | CI = 24355 | STATUS = 3 | DATA = 16/04/2018 14:23 | MOTIVO_CANCELAMENTO = 
16/04/2018 14:23 - ZEZE | USUARIO = 10931 | CI = 24357 | STATUS = 3 | DATA = 16/04/2018 14:23 | MOTIVO_CANCELAMENTO = 
16/04/2018 16:25 - MARTA | USUARIO = 10847 | CI = 24358 | STATUS = 3 | DATA = 16/04/2018 16:25 | MOTIVO_CANCELAMENTO = 
17/04/2018 13:20 - AREIAS | USUARIO = 10997 | CI = 24359 | STATUS = 7 | DATA = 17/04/2018 13:20 | MOTIVO_CANCELAMENTO = 
17/04/2018 13:20 - AREIAS | USUARIO = 10997 | CI = 24359 | STATUS = 3 | DATA = 17/04/2018 13:20 | MOTIVO_CANCELAMENTO = 
