03/06/2019 18:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 18:08
03/06/2019 20:18 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 03/06/2019 20:18
03/06/2019 23:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 23:10
04/06/2019 07:05 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/06/2019 7:05
04/06/2019 07:06 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/06/2019 7:06
04/06/2019 07:08 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 04/06/2019 7:08
04/06/2019 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/06/2019 7:15
04/06/2019 07:22 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/06/2019 7:22
04/06/2019 07:22 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/06/2019 7:22
04/06/2019 07:51 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/06/2019 7:51
04/06/2019 07:52 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/06/2019 7:52
04/06/2019 07:59 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/06/2019 7:59
04/06/2019 08:04 - LUCIANOHENRIQUE | ID_USUARIO = 11110 | DATA_LOGIN = 04/06/2019 8:04
04/06/2019 08:11 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/06/2019 8:11
04/06/2019 08:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/06/2019 8:12
04/06/2019 08:13 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/06/2019 8:13
04/06/2019 08:18 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 04/06/2019 8:18
04/06/2019 08:28 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 04/06/2019 8:28
04/06/2019 08:37 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/06/2019 8:37
04/06/2019 08:52 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/06/2019 8:52
04/06/2019 08:59 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/06/2019 8:59
04/06/2019 09:04 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/06/2019 9:04
04/06/2019 09:51 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 04/06/2019 9:51
04/06/2019 09:55 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/06/2019 9:55
04/06/2019 10:09 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/06/2019 10:09
04/06/2019 10:11 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/06/2019 10:11
04/06/2019 10:31 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/06/2019 10:31
04/06/2019 10:50 - GUSTAVOGIRO | ID_USUARIO = 6963 | DATA_LOGIN = 04/06/2019 10:50
