04/01/2017 08:08 - ZEZE | USUARIO = 10931 | CI = 18833 | STATUS = 3 | DATA = 04/01/2017 8:08 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:23 - CHRISTIANO | USUARIO = 11570 | CI = 18827 | STATUS = 3 | DATA = 04/01/2017 8:23 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:24 - CHRISTIANO | USUARIO = 11570 | CI = 18831 | STATUS = 3 | DATA = 04/01/2017 8:24 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:46 - ZEZE | USUARIO = 10931 | CI = 18834 | STATUS = 7 | DATA = 04/01/2017 8:46 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:46 - ZEZE | USUARIO = 10931 | CI = 18835 | STATUS = 7 | DATA = 04/01/2017 8:46 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:47 - ZEZE | USUARIO = 10931 | CI = 18836 | STATUS = 7 | DATA = 04/01/2017 8:47 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:47 - ZEZE | USUARIO = 10931 | CI = 18836 | STATUS = 3 | DATA = 04/01/2017 8:47 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:47 - ZEZE | USUARIO = 10931 | CI = 18838 | STATUS = 7 | DATA = 04/01/2017 8:47 | MOTIVO_CANCELAMENTO = 
04/01/2017 08:49 - ZEZE | USUARIO = 10931 | CI = 18839 | STATUS = 7 | DATA = 04/01/2017 8:49 | MOTIVO_CANCELAMENTO = 
04/01/2017 09:18 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 18837 | STATUS = 3 | DATA = 04/01/2017 9:18 | MOTIVO_CANCELAMENTO = ok
04/01/2017 09:24 - ZEZE | USUARIO = 10931 | CI = 18841 | STATUS = 7 | DATA = 04/01/2017 9:24 | MOTIVO_CANCELAMENTO = 
04/01/2017 09:24 - ZEZE | USUARIO = 10931 | CI = 18841 | STATUS = 3 | DATA = 04/01/2017 9:24 | MOTIVO_CANCELAMENTO = 
04/01/2017 09:25 - ZEZE | USUARIO = 10931 | CI = 18842 | STATUS = 7 | DATA = 04/01/2017 9:25 | MOTIVO_CANCELAMENTO = 
04/01/2017 09:25 - ZEZE | USUARIO = 10931 | CI = 18842 | STATUS = 3 | DATA = 04/01/2017 9:25 | MOTIVO_CANCELAMENTO = 
04/01/2017 09:25 - ZEZE | USUARIO = 10931 | CI = 18843 | STATUS = 7 | DATA = 04/01/2017 9:25 | MOTIVO_CANCELAMENTO = 
04/01/2017 11:09 - DOUGLAS | USUARIO = 11530 | CI = 18834 | STATUS = 3 | DATA = 04/01/2017 11:09 | MOTIVO_CANCELAMENTO = 
04/01/2017 11:09 - DOUGLAS | USUARIO = 11530 | CI = 18835 | STATUS = 3 | DATA = 04/01/2017 11:09 | MOTIVO_CANCELAMENTO = 
04/01/2017 11:09 - DOUGLAS | USUARIO = 11530 | CI = 18838 | STATUS = 3 | DATA = 04/01/2017 11:09 | MOTIVO_CANCELAMENTO = 
04/01/2017 11:09 - DOUGLAS | USUARIO = 11530 | CI = 18839 | STATUS = 3 | DATA = 04/01/2017 11:09 | MOTIVO_CANCELAMENTO = 
04/01/2017 11:09 - DOUGLAS | USUARIO = 11530 | CI = 18843 | STATUS = 3 | DATA = 04/01/2017 11:09 | MOTIVO_CANCELAMENTO = 
04/01/2017 11:35 - DOUGLAS | USUARIO = 11530 | CI = 18384 | STATUS = 3 | DATA = 04/01/2017 11:35 | MOTIVO_CANCELAMENTO = mediante aprovação Silvio 
04/01/2017 11:35 - DOUGLAS | USUARIO = 11530 | CI = 18538 | STATUS = 3 | DATA = 04/01/2017 11:35 | MOTIVO_CANCELAMENTO = mediante aprovação Silvio
04/01/2017 14:05 - LUIDE | USUARIO = 10836 | CI = 18726 | STATUS = 7 | DATA = 04/01/2017 14:05 | MOTIVO_CANCELAMENTO = 
04/01/2017 14:06 - LUIDE | USUARIO = 10836 | CI = 18762 | STATUS = 3 | DATA = 04/01/2017 14:06 | MOTIVO_CANCELAMENTO = 
04/01/2017 14:06 - LUIDE | USUARIO = 10836 | CI = 18763 | STATUS = 3 | DATA = 04/01/2017 14:06 | MOTIVO_CANCELAMENTO = 
04/01/2017 14:06 - LUIDE | USUARIO = 10836 | CI = 18847 | STATUS = 3 | DATA = 04/01/2017 14:06 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:16 - DOUGLAS | USUARIO = 11530 | CI = 18726 | STATUS = 3 | DATA = 04/01/2017 16:16 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:16 - DOUGLAS | USUARIO = 11530 | CI = 18848 | STATUS = 3 | DATA = 04/01/2017 16:16 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:18 - AREIAS | USUARIO = 10997 | CI = 18850 | STATUS = 7 | DATA = 04/01/2017 16:18 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:18 - AREIAS | USUARIO = 10997 | CI = 18851 | STATUS = 7 | DATA = 04/01/2017 16:18 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:18 - AREIAS | USUARIO = 10997 | CI = 18852 | STATUS = 7 | DATA = 04/01/2017 16:18 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:21 - DOUGLAS | USUARIO = 11530 | CI = 18850 | STATUS = 3 | DATA = 04/01/2017 16:21 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:21 - DOUGLAS | USUARIO = 11530 | CI = 18852 | STATUS = 3 | DATA = 04/01/2017 16:21 | MOTIVO_CANCELAMENTO = 
04/01/2017 16:21 - DOUGLAS | USUARIO = 11530 | CI = 18851 | STATUS = 3 | DATA = 04/01/2017 16:21 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:01 - LUIDE | USUARIO = 10836 | CI = 18853 | STATUS = 7 | DATA = 04/01/2017 17:01 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:01 - LUIDE | USUARIO = 10836 | CI = 18853 | STATUS = 3 | DATA = 04/01/2017 17:01 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:02 - LUIDE | USUARIO = 10836 | CI = 18854 | STATUS = 7 | DATA = 04/01/2017 17:02 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:02 - LUIDE | USUARIO = 10836 | CI = 18855 | STATUS = 7 | DATA = 04/01/2017 17:02 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:02 - LUIDE | USUARIO = 10836 | CI = 18856 | STATUS = 7 | DATA = 04/01/2017 17:02 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:02 - LUIDE | USUARIO = 10836 | CI = 18856 | STATUS = 3 | DATA = 04/01/2017 17:02 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:07 - DOUGLAS | USUARIO = 11530 | CI = 18854 | STATUS = 3 | DATA = 04/01/2017 17:07 | MOTIVO_CANCELAMENTO = 
04/01/2017 17:07 - DOUGLAS | USUARIO = 11530 | CI = 18855 | STATUS = 3 | DATA = 04/01/2017 17:07 | MOTIVO_CANCELAMENTO = 
05/01/2017 07:34 - HEBERTLUCIO | USUARIO = 11635 | CI = 18857 | STATUS = 7 | DATA = 05/01/2017 7:34 | MOTIVO_CANCELAMENTO = 
05/01/2017 07:34 - HEBERTLUCIO | USUARIO = 11635 | CI = 18857 | STATUS = 3 | DATA = 05/01/2017 7:34 | MOTIVO_CANCELAMENTO = 
05/01/2017 08:02 - JT | USUARIO = 10823 | CI = 18809 | STATUS = 3 | DATA = 05/01/2017 8:02 | MOTIVO_CANCELAMENTO = 
05/01/2017 08:36 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18813 | STATUS = 3 | DATA = 05/01/2017 8:36 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:20 - TADEUMACHADO | USUARIO = 11594 | CI = 18824 | STATUS = 3 | DATA = 05/01/2017 11:20 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:20 - TADEUMACHADO | USUARIO = 11594 | CI = 18860 | STATUS = 3 | DATA = 05/01/2017 11:20 | MOTIVO_CANCELAMENTO = 
