06/06/2017 14:18 - TADEUMACHADO | USUARIO = 11594 | CI = 20824 | STATUS = 7 | DATA = 06/06/2017 14:18 | MOTIVO_CANCELAMENTO = 
06/06/2017 14:18 - TADEUMACHADO | USUARIO = 11594 | CI = 20824 | STATUS = 3 | DATA = 06/06/2017 14:18 | MOTIVO_CANCELAMENTO = 
06/06/2017 14:19 - TADEUMACHADO | USUARIO = 11594 | CI = 20817 | STATUS = 7 | DATA = 06/06/2017 14:19 | MOTIVO_CANCELAMENTO = 
06/06/2017 14:19 - TADEUMACHADO | USUARIO = 11594 | CI = 20817 | STATUS = 3 | DATA = 06/06/2017 14:19 | MOTIVO_CANCELAMENTO = 
06/06/2017 14:20 - DORACI | USUARIO = 10886 | CI = 20851 | STATUS = 7 | DATA = 06/06/2017 14:20 | MOTIVO_CANCELAMENTO = 
06/06/2017 14:20 - DORACI | USUARIO = 10886 | CI = 20851 | STATUS = 3 | DATA = 06/06/2017 14:20 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:01 - ZEZE | USUARIO = 10931 | CI = 20850 | STATUS = 7 | DATA = 06/06/2017 15:01 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:01 - ZEZE | USUARIO = 10931 | CI = 20850 | STATUS = 3 | DATA = 06/06/2017 15:01 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:12 - AREIAS | USUARIO = 10997 | CI = 20807 | STATUS = 7 | DATA = 06/06/2017 15:12 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:17 - EDUARDO | USUARIO = 10844 | CI = 20820 | STATUS = 3 | DATA = 06/06/2017 15:17 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:37 - DOUGLAS | USUARIO = 11530 | CI = 20840 | STATUS = 3 | DATA = 06/06/2017 15:37 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:37 - DOUGLAS | USUARIO = 11530 | CI = 20842 | STATUS = 3 | DATA = 06/06/2017 15:37 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:37 - DOUGLAS | USUARIO = 11530 | CI = 20844 | STATUS = 3 | DATA = 06/06/2017 15:37 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/06/2017 15:37 - DOUGLAS | USUARIO = 11530 | CI = 20845 | STATUS = 3 | DATA = 06/06/2017 15:37 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:37 - DOUGLAS | USUARIO = 11530 | CI = 20846 | STATUS = 3 | DATA = 06/06/2017 15:37 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:37 - DOUGLAS | USUARIO = 11530 | CI = 20847 | STATUS = 3 | DATA = 06/06/2017 15:37 | MOTIVO_CANCELAMENTO = 
06/06/2017 15:37 - DOUGLAS | USUARIO = 11530 | CI = 20849 | STATUS = 3 | DATA = 06/06/2017 15:37 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:03 - JT | USUARIO = 10823 | CI = 20807 | STATUS = 3 | DATA = 06/06/2017 17:03 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:45 - JT | USUARIO = 10823 | CI = 20856 | STATUS = 7 | DATA = 06/06/2017 17:45 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:47 - LUIDE | USUARIO = 10836 | CI = 20811 | STATUS = 3 | DATA = 06/06/2017 17:47 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:47 - LUIDE | USUARIO = 10836 | CI = 20827 | STATUS = 7 | DATA = 06/06/2017 17:47 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:48 - LUIDE | USUARIO = 10836 | CI = 20828 | STATUS = 7 | DATA = 06/06/2017 17:48 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:48 - LUIDE | USUARIO = 10836 | CI = 20829 | STATUS = 7 | DATA = 06/06/2017 17:48 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:48 - LUIDE | USUARIO = 10836 | CI = 20839 | STATUS = 3 | DATA = 06/06/2017 17:48 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:48 - LUIDE | USUARIO = 10836 | CI = 20854 | STATUS = 7 | DATA = 06/06/2017 17:48 | MOTIVO_CANCELAMENTO = 
06/06/2017 17:48 - LUIDE | USUARIO = 10836 | CI = 20855 | STATUS = 7 | DATA = 06/06/2017 17:48 | MOTIVO_CANCELAMENTO = 
06/06/2017 18:06 - DOUGLAS | USUARIO = 11530 | CI = 20827 | STATUS = 3 | DATA = 06/06/2017 18:06 | MOTIVO_CANCELAMENTO = 
06/06/2017 18:06 - DOUGLAS | USUARIO = 11530 | CI = 20828 | STATUS = 3 | DATA = 06/06/2017 18:06 | MOTIVO_CANCELAMENTO = 
06/06/2017 18:06 - DOUGLAS | USUARIO = 11530 | CI = 20829 | STATUS = 3 | DATA = 06/06/2017 18:06 | MOTIVO_CANCELAMENTO = 
06/06/2017 18:07 - DOUGLAS | USUARIO = 11530 | CI = 20854 | STATUS = 3 | DATA = 06/06/2017 18:07 | MOTIVO_CANCELAMENTO = 
06/06/2017 18:07 - DOUGLAS | USUARIO = 11530 | CI = 20855 | STATUS = 3 | DATA = 06/06/2017 18:07 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 20831 | STATUS = 3 | DATA = 07/06/2017 7:25 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 20849 | STATUS = 3 | DATA = 07/06/2017 7:25 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 20844 | STATUS = 3 | DATA = 07/06/2017 7:25 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 20841 | STATUS = 3 | DATA = 07/06/2017 7:25 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:26 - CHRISTIANO | USUARIO = 11570 | CI = 20832 | STATUS = 3 | DATA = 07/06/2017 7:26 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:26 - CHRISTIANO | USUARIO = 11570 | CI = 20846 | STATUS = 3 | DATA = 07/06/2017 7:26 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:26 - CHRISTIANO | USUARIO = 11570 | CI = 20842 | STATUS = 3 | DATA = 07/06/2017 7:26 | MOTIVO_CANCELAMENTO = 
