05/12/2016 08:23 - ZEZE | USUARIO = 10931 | CI = 18456 | STATUS = 7 | DATA = 05/12/2016 8:23 | MOTIVO_CANCELAMENTO = 
05/12/2016 08:23 - ZEZE | USUARIO = 10931 | CI = 18456 | STATUS = 3 | DATA = 05/12/2016 8:23 | MOTIVO_CANCELAMENTO = 
05/12/2016 08:25 - MARCELOGODOI | USUARIO = 11316 | CI = 18440 | STATUS = 7 | DATA = 05/12/2016 8:25 | MOTIVO_CANCELAMENTO = Cálculo homologado não média entre o apresentado por nós e o apresentado pelo Reclamante.
05/12/2016 09:02 - CHRISTIANO | USUARIO = 11570 | CI = 18440 | STATUS = 3 | DATA = 05/12/2016 9:02 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:29 - DOUGLAS | USUARIO = 11530 | CI = 18440 | STATUS = 3 | DATA = 05/12/2016 9:29 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
05/12/2016 09:29 - DOUGLAS | USUARIO = 11530 | CI = 18428 | STATUS = 3 | DATA = 05/12/2016 9:29 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:29 - CHRISTIANO | USUARIO = 11570 | CI = 18454 | STATUS = 3 | DATA = 05/12/2016 9:29 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:38 - ZEZE | USUARIO = 10931 | CI = 18460 | STATUS = 7 | DATA = 05/12/2016 9:38 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:39 - ZEZE | USUARIO = 10931 | CI = 18457 | STATUS = 7 | DATA = 05/12/2016 9:39 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:40 - ZEZE | USUARIO = 10931 | CI = 18458 | STATUS = 7 | DATA = 05/12/2016 9:40 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:40 - ZEZE | USUARIO = 10931 | CI = 18458 | STATUS = 3 | DATA = 05/12/2016 9:40 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:41 - ZEZE | USUARIO = 10931 | CI = 18459 | STATUS = 7 | DATA = 05/12/2016 9:41 | MOTIVO_CANCELAMENTO = 
05/12/2016 09:41 - ZEZE | USUARIO = 10931 | CI = 18459 | STATUS = 3 | DATA = 05/12/2016 9:41 | MOTIVO_CANCELAMENTO = 
05/12/2016 10:02 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18455 | STATUS = 3 | DATA = 05/12/2016 10:02 | MOTIVO_CANCELAMENTO = 
05/12/2016 10:24 - ZEZE | USUARIO = 10931 | CI = 18463 | STATUS = 7 | DATA = 05/12/2016 10:24 | MOTIVO_CANCELAMENTO = 
05/12/2016 10:26 - ZEZE | USUARIO = 10931 | CI = 18464 | STATUS = 7 | DATA = 05/12/2016 10:26 | MOTIVO_CANCELAMENTO = 
05/12/2016 11:49 - MARCIO | USUARIO = 10850 | CI = 18469 | STATUS = 3 | DATA = 05/12/2016 11:49 | MOTIVO_CANCELAMENTO = 
05/12/2016 13:24 - DOUGLAS | USUARIO = 11530 | CI = 18457 | STATUS = 3 | DATA = 05/12/2016 13:24 | MOTIVO_CANCELAMENTO = 
05/12/2016 13:24 - DOUGLAS | USUARIO = 11530 | CI = 18460 | STATUS = 3 | DATA = 05/12/2016 13:24 | MOTIVO_CANCELAMENTO = 
05/12/2016 13:24 - DOUGLAS | USUARIO = 11530 | CI = 18463 | STATUS = 3 | DATA = 05/12/2016 13:24 | MOTIVO_CANCELAMENTO = 
05/12/2016 13:24 - DOUGLAS | USUARIO = 11530 | CI = 18464 | STATUS = 3 | DATA = 05/12/2016 13:24 | MOTIVO_CANCELAMENTO = 
05/12/2016 16:13 - CAMARA | USUARIO = 10841 | CI = 18472 | STATUS = 3 | DATA = 05/12/2016 16:13 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:16 - AREIAS | USUARIO = 10997 | CI = 18461 | STATUS = 7 | DATA = 05/12/2016 21:16 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:16 - AREIAS | USUARIO = 10997 | CI = 18461 | STATUS = 3 | DATA = 05/12/2016 21:16 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:16 - AREIAS | USUARIO = 10997 | CI = 18462 | STATUS = 7 | DATA = 05/12/2016 21:16 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:16 - AREIAS | USUARIO = 10997 | CI = 18465 | STATUS = 7 | DATA = 05/12/2016 21:16 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:16 - AREIAS | USUARIO = 10997 | CI = 18465 | STATUS = 3 | DATA = 05/12/2016 21:16 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:16 - AREIAS | USUARIO = 10997 | CI = 18470 | STATUS = 7 | DATA = 05/12/2016 21:16 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:17 - AREIAS | USUARIO = 10997 | CI = 18473 | STATUS = 7 | DATA = 05/12/2016 21:17 | MOTIVO_CANCELAMENTO = 
05/12/2016 21:17 - AREIAS | USUARIO = 10997 | CI = 18474 | STATUS = 7 | DATA = 05/12/2016 21:17 | MOTIVO_CANCELAMENTO = 
06/12/2016 07:23 - MARCIO | USUARIO = 10850 | CI = 18476 | STATUS = 7 | DATA = 06/12/2016 7:23 | MOTIVO_CANCELAMENTO = 
06/12/2016 08:38 - DOUGLAS | USUARIO = 11530 | CI = 18462 | STATUS = 3 | DATA = 06/12/2016 8:38 | MOTIVO_CANCELAMENTO = 
06/12/2016 08:38 - DOUGLAS | USUARIO = 11530 | CI = 18473 | STATUS = 3 | DATA = 06/12/2016 8:38 | MOTIVO_CANCELAMENTO = 
06/12/2016 09:29 - CHRISTIANO | USUARIO = 11570 | CI = 18457 | STATUS = 3 | DATA = 06/12/2016 9:29 | MOTIVO_CANCELAMENTO = 
06/12/2016 09:29 - CHRISTIANO | USUARIO = 11570 | CI = 18460 | STATUS = 3 | DATA = 06/12/2016 9:29 | MOTIVO_CANCELAMENTO = 
06/12/2016 09:29 - CHRISTIANO | USUARIO = 11570 | CI = 18463 | STATUS = 3 | DATA = 06/12/2016 9:29 | MOTIVO_CANCELAMENTO = 
06/12/2016 09:29 - CHRISTIANO | USUARIO = 11570 | CI = 18464 | STATUS = 3 | DATA = 06/12/2016 9:29 | MOTIVO_CANCELAMENTO = 
06/12/2016 09:33 - CAMARA | USUARIO = 10841 | CI = 18476 | STATUS = 3 | DATA = 06/12/2016 9:33 | MOTIVO_CANCELAMENTO = 
06/12/2016 09:33 - CAMARA | USUARIO = 10841 | CI = 18478 | STATUS = 3 | DATA = 06/12/2016 9:33 | MOTIVO_CANCELAMENTO = 
06/12/2016 09:33 - CAMARA | USUARIO = 10841 | CI = 18480 | STATUS = 3 | DATA = 06/12/2016 9:33 | MOTIVO_CANCELAMENTO = 
06/12/2016 10:12 - ELTON | USUARIO = 10942 | CI = 18485 | STATUS = 5 | DATA = 06/12/2016 10:12 | MOTIVO_CANCELAMENTO = Férias já cancelada.
06/12/2016 10:46 - CAMARA | USUARIO = 10841 | CI = 18486 | STATUS = 3 | DATA = 06/12/2016 10:46 | MOTIVO_CANCELAMENTO = 
06/12/2016 11:19 - AREIAS | USUARIO = 10997 | CI = 18479 | STATUS = 7 | DATA = 06/12/2016 11:19 | MOTIVO_CANCELAMENTO = 
06/12/2016 11:19 - AREIAS | USUARIO = 10997 | CI = 18479 | STATUS = 3 | DATA = 06/12/2016 11:19 | MOTIVO_CANCELAMENTO = 
06/12/2016 11:19 - AREIAS | USUARIO = 10997 | CI = 18483 | STATUS = 7 | DATA = 06/12/2016 11:19 | MOTIVO_CANCELAMENTO = 
06/12/2016 11:19 - AREIAS | USUARIO = 10997 | CI = 18483 | STATUS = 3 | DATA = 06/12/2016 11:19 | MOTIVO_CANCELAMENTO = 
06/12/2016 11:19 - AREIAS | USUARIO = 10997 | CI = 18484 | STATUS = 7 | DATA = 06/12/2016 11:19 | MOTIVO_CANCELAMENTO = 
06/12/2016 11:19 - AREIAS | USUARIO = 10997 | CI = 18484 | STATUS = 3 | DATA = 06/12/2016 11:19 | MOTIVO_CANCELAMENTO = 
06/12/2016 14:45 - MARCELOGODOI | USUARIO = 11316 | CI = 18482 | STATUS = 7 | DATA = 06/12/2016 14:45 | MOTIVO_CANCELAMENTO = Cálculo do Reclamante 50.000,00 e cálculo nosso 44.000,00. Reconhecido nosso como o certo, dividimos em 8 vezes.
06/12/2016 14:48 - MARCELOGODOI | USUARIO = 11316 | CI = 18487 | STATUS = 7 | DATA = 06/12/2016 14:48 | MOTIVO_CANCELAMENTO = O valor pedido pelo Reclamante era de 45.000,00. Por sentença levou 12.000,00.
06/12/2016 14:48 - MARCELOGODOI | USUARIO = 11316 | CI = 18490 | STATUS = 7 | DATA = 06/12/2016 14:48 | MOTIVO_CANCELAMENTO = Serviço externo.
06/12/2016 14:53 - MARCELOGODOI | USUARIO = 11316 | CI = 18491 | STATUS = 7 | DATA = 06/12/2016 14:53 | MOTIVO_CANCELAMENTO = Cálculo do Reclamante 212.000,00 e cálculo nosso 162.000,00. Fechamos no meio-termo, liberamos 23.387,00 de depósito recursal e dividimos o resto em 08 parcelas a começar em janeiro de 2017.
06/12/2016 15:04 - MARCELOGODOI | USUARIO = 11316 | CI = 18494 | STATUS = 7 | DATA = 06/12/2016 15:04 | MOTIVO_CANCELAMENTO = Cálculo do Reclamante 103.000,00 e cálculo nosso 89.000,00. Reconhecido nosso como o certo, dividimos na forma do 916.
OBS: Foi a juíza Amanda de determinou por sentença. Ela ainda não faz como o Alan que marca conciliação, mas já determinei que o escritório externo peça isso à ela.
06/12/2016 15:13 - DORACI | USUARIO = 10886 | CI = 18496 | STATUS = 7 | DATA = 06/12/2016 15:13 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:13 - DORACI | USUARIO = 10886 | CI = 18496 | STATUS = 3 | DATA = 06/12/2016 15:13 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:28 - DOUGLAS | USUARIO = 11530 | CI = 18482 | STATUS = 3 | DATA = 06/12/2016 15:28 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/12/2016 15:28 - DOUGLAS | USUARIO = 11530 | CI = 18488 | STATUS = 3 | DATA = 06/12/2016 15:28 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:28 - DOUGLAS | USUARIO = 11530 | CI = 18491 | STATUS = 3 | DATA = 06/12/2016 15:28 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/12/2016 15:28 - DOUGLAS | USUARIO = 11530 | CI = 18494 | STATUS = 3 | DATA = 06/12/2016 15:28 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/12/2016 15:32 - JT | USUARIO = 10823 | CI = 18474 | STATUS = 3 | DATA = 06/12/2016 15:32 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:43 - DORACI | USUARIO = 10886 | CI = 18497 | STATUS = 7 | DATA = 06/12/2016 15:43 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:43 - DORACI | USUARIO = 10886 | CI = 18497 | STATUS = 3 | DATA = 06/12/2016 15:43 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:56 - DORACI | USUARIO = 10886 | CI = 18498 | STATUS = 7 | DATA = 06/12/2016 15:56 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:56 - DORACI | USUARIO = 10886 | CI = 18498 | STATUS = 3 | DATA = 06/12/2016 15:56 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:56 - DORACI | USUARIO = 10886 | CI = 18499 | STATUS = 7 | DATA = 06/12/2016 15:56 | MOTIVO_CANCELAMENTO = 
06/12/2016 15:56 - DORACI | USUARIO = 10886 | CI = 18499 | STATUS = 3 | DATA = 06/12/2016 15:56 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:17 - ZEZE | USUARIO = 10931 | CI = 18420 | STATUS = 3 | DATA = 06/12/2016 16:17 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:17 - ZEZE | USUARIO = 10931 | CI = 18425 | STATUS = 3 | DATA = 06/12/2016 16:17 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:17 - ZEZE | USUARIO = 10931 | CI = 18430 | STATUS = 3 | DATA = 06/12/2016 16:17 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:17 - ZEZE | USUARIO = 10931 | CI = 18435 | STATUS = 3 | DATA = 06/12/2016 16:17 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:26 - ZEZE | USUARIO = 10931 | CI = 18441 | STATUS = 3 | DATA = 06/12/2016 16:26 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 18466 | STATUS = 7 | DATA = 06/12/2016 16:27 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 18467 | STATUS = 7 | DATA = 06/12/2016 16:27 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 18468 | STATUS = 7 | DATA = 06/12/2016 16:27 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 18468 | STATUS = 3 | DATA = 06/12/2016 16:27 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 18477 | STATUS = 7 | DATA = 06/12/2016 16:27 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 18492 | STATUS = 7 | DATA = 06/12/2016 16:27 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 18492 | STATUS = 3 | DATA = 06/12/2016 16:27 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:28 - ZEZE | USUARIO = 10931 | CI = 18495 | STATUS = 3 | DATA = 06/12/2016 16:28 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:28 - ZEZE | USUARIO = 10931 | CI = 18500 | STATUS = 3 | DATA = 06/12/2016 16:28 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:31 - JG | USUARIO = 10849 | CI = 18444 | STATUS = 3 | DATA = 06/12/2016 16:31 | MOTIVO_CANCELAMENTO = ok
