05/01/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 14422 | STATUS = 3 | DATA = 05/01/2016 16:27 | MOTIVO_CANCELAMENTO = 
05/01/2016 16:33 - FERNANDO | USUARIO = 10842 | CI = 14417 | STATUS = 3 | DATA = 05/01/2016 16:33 | MOTIVO_CANCELAMENTO = 
05/01/2016 16:34 - FERNANDO | USUARIO = 10842 | CI = 14399 | STATUS = 3 | DATA = 05/01/2016 16:34 | MOTIVO_CANCELAMENTO = 
06/01/2016 07:38 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14414 | STATUS = 7 | DATA = 06/01/2016 7:38 | MOTIVO_CANCELAMENTO = 
06/01/2016 08:52 - LUIDE | USUARIO = 10836 | CI = 14426 | STATUS = 7 | DATA = 06/01/2016 8:52 | MOTIVO_CANCELAMENTO = 
06/01/2016 08:52 - LUIDE | USUARIO = 10836 | CI = 14426 | STATUS = 3 | DATA = 06/01/2016 8:52 | MOTIVO_CANCELAMENTO = 
06/01/2016 09:40 - LUIDE | USUARIO = 10836 | CI = 14427 | STATUS = 3 | DATA = 06/01/2016 9:40 | MOTIVO_CANCELAMENTO = 
06/01/2016 10:01 - CAMARA | USUARIO = 10841 | CI = 14424 | STATUS = 3 | DATA = 06/01/2016 10:01 | MOTIVO_CANCELAMENTO = 
06/01/2016 10:02 - CAMARA | USUARIO = 10841 | CI = 14425 | STATUS = 3 | DATA = 06/01/2016 10:02 | MOTIVO_CANCELAMENTO = 
06/01/2016 10:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14420 | STATUS = 7 | DATA = 06/01/2016 10:48 | MOTIVO_CANCELAMENTO = 
06/01/2016 11:09 - ZEZE | USUARIO = 10931 | CI = 14428 | STATUS = 7 | DATA = 06/01/2016 11:09 | MOTIVO_CANCELAMENTO = 
06/01/2016 11:09 - ZEZE | USUARIO = 10931 | CI = 14428 | STATUS = 3 | DATA = 06/01/2016 11:09 | MOTIVO_CANCELAMENTO = 
06/01/2016 11:09 - ZEZE | USUARIO = 10931 | CI = 14429 | STATUS = 7 | DATA = 06/01/2016 11:09 | MOTIVO_CANCELAMENTO = 
06/01/2016 11:09 - ZEZE | USUARIO = 10931 | CI = 14430 | STATUS = 7 | DATA = 06/01/2016 11:09 | MOTIVO_CANCELAMENTO = 
06/01/2016 11:09 - ZEZE | USUARIO = 10931 | CI = 14430 | STATUS = 3 | DATA = 06/01/2016 11:09 | MOTIVO_CANCELAMENTO = 
06/01/2016 11:21 - ZEZE | USUARIO = 10931 | CI = 14431 | STATUS = 7 | DATA = 06/01/2016 11:21 | MOTIVO_CANCELAMENTO = 
06/01/2016 11:21 - ZEZE | USUARIO = 10931 | CI = 14431 | STATUS = 3 | DATA = 06/01/2016 11:21 | MOTIVO_CANCELAMENTO = 
06/01/2016 13:58 - JG | USUARIO = 10849 | CI = 14423 | STATUS = 3 | DATA = 06/01/2016 13:58 | MOTIVO_CANCELAMENTO = ok
06/01/2016 14:32 - LUIDE | USUARIO = 10836 | CI = 14432 | STATUS = 7 | DATA = 06/01/2016 14:32 | MOTIVO_CANCELAMENTO = 
06/01/2016 14:32 - LUIDE | USUARIO = 10836 | CI = 14432 | STATUS = 3 | DATA = 06/01/2016 14:32 | MOTIVO_CANCELAMENTO = 
06/01/2016 14:46 - FERNANDO | USUARIO = 10842 | CI = 14429 | STATUS = 3 | DATA = 06/01/2016 14:46 | MOTIVO_CANCELAMENTO = 
06/01/2016 14:47 - FERNANDO | USUARIO = 10842 | CI = 14420 | STATUS = 3 | DATA = 06/01/2016 14:47 | MOTIVO_CANCELAMENTO = 
06/01/2016 17:02 - SYLVIO | USUARIO = 10914 | CI = 14417 | STATUS = 3 | DATA = 06/01/2016 17:02 | MOTIVO_CANCELAMENTO = 
06/01/2016 17:02 - SYLVIO | USUARIO = 10914 | CI = 14429 | STATUS = 3 | DATA = 06/01/2016 17:02 | MOTIVO_CANCELAMENTO = 
06/01/2016 17:02 - SYLVIO | USUARIO = 10914 | CI = 14418 | STATUS = 3 | DATA = 06/01/2016 17:02 | MOTIVO_CANCELAMENTO = 
06/01/2016 17:13 - EDUARDO | USUARIO = 10844 | CI = 14420 | STATUS = 3 | DATA = 06/01/2016 17:13 | MOTIVO_CANCELAMENTO = 
06/01/2016 17:14 - EDUARDO | USUARIO = 10844 | CI = 14414 | STATUS = 3 | DATA = 06/01/2016 17:14 | MOTIVO_CANCELAMENTO = 
06/01/2016 20:31 - FERNANDO | USUARIO = 10842 | CI = 14414 | STATUS = 3 | DATA = 06/01/2016 20:31 | MOTIVO_CANCELAMENTO = 
07/01/2016 08:49 - ROBERTA | USUARIO = 10935 | CI = 14440 | STATUS = 7 | DATA = 07/01/2016 8:49 | MOTIVO_CANCELAMENTO = 
07/01/2016 08:53 - AREIAS | USUARIO = 10997 | CI = 14438 | STATUS = 7 | DATA = 07/01/2016 8:53 | MOTIVO_CANCELAMENTO = 
