23/10/2015 13:58 - MARTA | ID =  | CI = 13686 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 91.19
23/10/2015 13:58 - MARTA | ID =  | CI = 13686 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
23/10/2015 13:58 - MARTA | ID =  | CI = 13686 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.15
23/10/2015 13:58 - MARTA | ID =  | CI = 13686 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
26/10/2015 13:06 - CAMACETI | ID =  | CI = 13703 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 36.99
26/10/2015 13:06 - CAMACETI | ID =  | CI = 13703 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 45.00
26/10/2015 13:06 - CAMACETI | ID =  | CI = 13703 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 100.00
27/10/2015 11:48 - LUISMOREIRA | ID =  | CI = 13720 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.50
27/10/2015 12:55 - TIAGOLIMA | ID =  | CI = 13721 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 8.00
27/10/2015 14:23 - TIAGOLIMA | ID =  | CI = 13724 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 10.02
27/10/2015 14:23 - TIAGOLIMA | ID =  | CI = 13724 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
27/10/2015 14:23 - TIAGOLIMA | ID =  | CI = 13724 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 77.94
27/10/2015 14:23 - TIAGOLIMA | ID =  | CI = 13724 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
27/10/2015 14:23 - TIAGOLIMA | ID =  | CI = 13724 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
27/10/2015 14:23 - TIAGOLIMA | ID =  | CI = 13724 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
27/10/2015 14:50 - FRANCISCO | ID =  | CI = 13726 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.60
27/10/2015 14:56 - FRANCISCO | ID =  | CI = 13727 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 75.02
27/10/2015 14:56 - FRANCISCO | ID =  | CI = 13727 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 61.70
28/10/2015 09:51 - FRANCISCO | ID =  | CI = 13733 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.00
28/10/2015 16:48 - KLEBER | ID =  | CI = 13741 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
28/10/2015 16:48 - KLEBER | ID =  | CI = 13741 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
28/10/2015 16:48 - KLEBER | ID =  | CI = 13741 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 82.28
28/10/2015 16:48 - KLEBER | ID =  | CI = 13741 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
28/10/2015 16:48 - KLEBER | ID =  | CI = 13741 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
28/10/2015 16:48 - KLEBER | ID =  | CI = 13741 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
29/10/2015 10:33 - RONALDOGOMES | ID =  | CI = 13746 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 67.40
29/10/2015 10:33 - RONALDOGOMES | ID =  | CI = 13746 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
29/10/2015 10:33 - RONALDOGOMES | ID =  | CI = 13746 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
29/10/2015 13:38 - ROBSONMANFRIM | ID =  | CI = 13751 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 125.00
29/10/2015 13:38 - ROBSONMANFRIM | ID =  | CI = 13751 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.40
29/10/2015 13:38 - ROBSONMANFRIM | ID =  | CI = 13751 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
29/10/2015 13:47 - SIDINEI | ID =  | CI = 13752 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 166.24
