19/03/2018 13:34 - SANDRA | ID =  | CI = 24146 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 255.65
20/03/2018 08:32 - STEFANIAESTEVO | ID =  | CI = 24152 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 283.32
20/03/2018 08:43 - OTAVIOGIRO | ID =  | CI = 24153 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 60.00
20/03/2018 09:11 - OTAVIOGIRO | ID =  | CI = 24154 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 135.02
20/03/2018 09:11 - OTAVIOGIRO | ID =  | CI = 24154 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 150.13
20/03/2018 09:11 - OTAVIOGIRO | ID =  | CI = 24154 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
20/03/2018 09:23 - NORIVAL | ID =  | CI = 24155 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 28.45
21/03/2018 08:39 - ANGELO | ID =  | CI = 24160 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.00
21/03/2018 08:45 - ANGELO | ID =  | CI = 24161 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.00
21/03/2018 08:45 - ANGELO | ID =  | CI = 24161 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 102.00
21/03/2018 08:51 - ANGELO | ID =  | CI = 24162 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
21/03/2018 10:28 - JENS | ID =  | CI = 24164 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.70
21/03/2018 10:28 - JENS | ID =  | CI = 24164 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 53.00
22/03/2018 09:35 - NORIVAL | ID =  | CI = 24175 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 116.00
22/03/2018 14:16 - LUISMOREIRA | ID =  | CI = 24177 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 43.98
23/03/2018 16:51 - NORIVAL | ID =  | CI = 24189 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 120.00
23/03/2018 16:51 - NORIVAL | ID =  | CI = 24189 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.00
26/03/2018 11:05 - OTAVIOGIRO | ID =  | CI = 24193 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 48.00
26/03/2018 11:10 - OTAVIOGIRO | ID =  | CI = 24194 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 33.50
26/03/2018 13:01 - NORIVAL | ID =  | CI = 24196 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 42.00
26/03/2018 13:01 - NORIVAL | ID =  | CI = 24196 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
26/03/2018 15:24 - LUZMARINA | ID =  | CI = 24203 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.10
26/03/2018 16:04 - NORIVAL | ID =  | CI = 24205 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 135.01
26/03/2018 16:04 - NORIVAL | ID =  | CI = 24205 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.37
28/03/2018 08:02 - OTAVIOGIRO | ID =  | CI = 24213 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
28/03/2018 08:02 - OTAVIOGIRO | ID =  | CI = 24213 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 187.00
28/03/2018 08:04 - OTAVIOGIRO | ID =  | CI = 24215 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 15.00
28/03/2018 13:51 - DENISESANTOS | ID =  | CI = 24217 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 43.50
28/03/2018 13:51 - DENISESANTOS | ID =  | CI = 24217 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
28/03/2018 13:51 - DENISESANTOS | ID =  | CI = 24217 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
28/03/2018 13:51 - DENISESANTOS | ID =  | CI = 24217 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
29/03/2018 07:40 - CAMACETI | ID =  | CI = 24219 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 168.00
29/03/2018 08:38 - KLEBER | ID =  | CI = 24221 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
29/03/2018 08:38 - KLEBER | ID =  | CI = 24221 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 8.00
29/03/2018 08:38 - KLEBER | ID =  | CI = 24221 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 434.40
29/03/2018 08:38 - KLEBER | ID =  | CI = 24221 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
29/03/2018 08:38 - KLEBER | ID =  | CI = 24221 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
29/03/2018 08:38 - KLEBER | ID =  | CI = 24221 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
29/03/2018 14:44 - KLEBER | ID =  | CI = 24227 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
29/03/2018 14:44 - KLEBER | ID =  | CI = 24227 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 31.40
29/03/2018 14:44 - KLEBER | ID =  | CI = 24227 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
29/03/2018 14:44 - KLEBER | ID =  | CI = 24227 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
29/03/2018 14:44 - KLEBER | ID =  | CI = 24227 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
29/03/2018 14:44 - KLEBER | ID =  | CI = 24227 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
29/03/2018 15:19 - STEFANIAESTEVO | ID =  | CI = 24228 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 404.97
29/03/2018 16:28 - SANDRA | ID =  | CI = 24230 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 170.00
29/03/2018 16:28 - SANDRA | ID =  | CI = 24230 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 376.78
31/03/2018 11:54 - NORIVAL | ID =  | CI = 24232 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.90
