08/04/2019 10:00 - DOUGLAS | USUARIO = 11530 | CI = 27048 | STATUS = 7 | DATA = 08/04/2019 10:00 | MOTIVO_CANCELAMENTO = 
08/04/2019 10:00 - DOUGLAS | USUARIO = 11530 | CI = 27048 | STATUS = 3 | DATA = 08/04/2019 10:00 | MOTIVO_CANCELAMENTO = 
08/04/2019 10:19 - JENS | USUARIO = 10895 | CI = 27049 | STATUS = 3 | DATA = 08/04/2019 10:19 | MOTIVO_CANCELAMENTO = 
08/04/2019 10:41 - ERIC | USUARIO = 11080 | CI = 27050 | STATUS = 5 | DATA = 08/04/2019 10:41 | MOTIVO_CANCELAMENTO = Alteração de dados
08/04/2019 11:47 - MARCIO | USUARIO = 10850 | CI = 27051 | STATUS = 3 | DATA = 08/04/2019 11:47 | MOTIVO_CANCELAMENTO = 
08/04/2019 13:45 - ANITA | USUARIO = 11002 | CI = 27053 | STATUS = 3 | DATA = 08/04/2019 13:45 | MOTIVO_CANCELAMENTO = 
08/04/2019 13:47 - FERNANDO | USUARIO = 10842 | CI = 27055 | STATUS = 3 | DATA = 08/04/2019 13:47 | MOTIVO_CANCELAMENTO = 
08/04/2019 14:07 - MARTA | USUARIO = 10847 | CI = 27058 | STATUS = 3 | DATA = 08/04/2019 14:07 | MOTIVO_CANCELAMENTO = aprovado.
08/04/2019 14:08 - ROBERTO | USUARIO = 10845 | CI = 27057 | STATUS = 3 | DATA = 08/04/2019 14:08 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:19 - CAMARA | USUARIO = 10841 | CI = 27044 | STATUS = 7 | DATA = 08/04/2019 16:19 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:19 - CAMARA | USUARIO = 10841 | CI = 27044 | STATUS = 3 | DATA = 08/04/2019 16:19 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:19 - CAMARA | USUARIO = 10841 | CI = 27052 | STATUS = 3 | DATA = 08/04/2019 16:19 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:20 - MARCIO | USUARIO = 10850 | CI = 27059 | STATUS = 7 | DATA = 08/04/2019 16:20 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:20 - MARCIO | USUARIO = 10850 | CI = 27059 | STATUS = 3 | DATA = 08/04/2019 16:20 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:22 - JOAOROGANTE | USUARIO = 6966 | CI = 26974 | STATUS = 3 | DATA = 08/04/2019 16:22 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:22 - JOAOROGANTE | USUARIO = 6966 | CI = 26987 | STATUS = 7 | DATA = 08/04/2019 16:22 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:22 - JOAOROGANTE | USUARIO = 6966 | CI = 26987 | STATUS = 3 | DATA = 08/04/2019 16:22 | MOTIVO_CANCELAMENTO = 
08/04/2019 16:22 - JOAOROGANTE | USUARIO = 6966 | CI = 27025 | STATUS = 3 | DATA = 08/04/2019 16:22 | MOTIVO_CANCELAMENTO = 
08/04/2019 17:01 - ZEZE | USUARIO = 10931 | CI = 27032 | STATUS = 7 | DATA = 08/04/2019 17:01 | MOTIVO_CANCELAMENTO = 
08/04/2019 17:01 - ZEZE | USUARIO = 10931 | CI = 27032 | STATUS = 3 | DATA = 08/04/2019 17:01 | MOTIVO_CANCELAMENTO = 
08/04/2019 17:01 - ZEZE | USUARIO = 10931 | CI = 27045 | STATUS = 3 | DATA = 08/04/2019 17:01 | MOTIVO_CANCELAMENTO = 
08/04/2019 17:01 - ZEZE | USUARIO = 10931 | CI = 27046 | STATUS = 3 | DATA = 08/04/2019 17:01 | MOTIVO_CANCELAMENTO = 
09/04/2019 08:57 - JT | USUARIO = 10823 | CI = 27061 | STATUS = 7 | DATA = 09/04/2019 8:57 | MOTIVO_CANCELAMENTO = 
09/04/2019 08:57 - JT | USUARIO = 10823 | CI = 27061 | STATUS = 3 | DATA = 09/04/2019 8:57 | MOTIVO_CANCELAMENTO = 
09/04/2019 13:47 - CAMARA | USUARIO = 10841 | CI = 27060 | STATUS = 3 | DATA = 09/04/2019 13:47 | MOTIVO_CANCELAMENTO = 
09/04/2019 15:34 - MARTA | USUARIO = 10847 | CI = 27063 | STATUS = 3 | DATA = 09/04/2019 15:34 | MOTIVO_CANCELAMENTO = aprovado.
09/04/2019 15:53 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 27062 | STATUS = 7 | DATA = 09/04/2019 15:53 | MOTIVO_CANCELAMENTO = 
09/04/2019 16:05 - THIAGO | USUARIO = 10892 | CI = 27062 | STATUS = 3 | DATA = 09/04/2019 16:05 | MOTIVO_CANCELAMENTO = 
10/04/2019 15:34 - LUIDE | USUARIO = 10836 | CI = 27064 | STATUS = 7 | DATA = 10/04/2019 15:34 | MOTIVO_CANCELAMENTO = 
10/04/2019 15:34 - LUIDE | USUARIO = 10836 | CI = 27065 | STATUS = 7 | DATA = 10/04/2019 15:34 | MOTIVO_CANCELAMENTO = 
10/04/2019 15:34 - LUIDE | USUARIO = 10836 | CI = 27066 | STATUS = 7 | DATA = 10/04/2019 15:34 | MOTIVO_CANCELAMENTO = 
10/04/2019 15:42 - THIAGO | USUARIO = 10892 | CI = 27067 | STATUS = 7 | DATA = 10/04/2019 15:42 | MOTIVO_CANCELAMENTO = 
10/04/2019 15:42 - THIAGO | USUARIO = 10892 | CI = 27067 | STATUS = 3 | DATA = 10/04/2019 15:42 | MOTIVO_CANCELAMENTO = 
10/04/2019 15:43 - THIAGO | USUARIO = 10892 | CI = 27068 | STATUS = 7 | DATA = 10/04/2019 15:43 | MOTIVO_CANCELAMENTO = 
10/04/2019 15:43 - THIAGO | USUARIO = 10892 | CI = 27068 | STATUS = 3 | DATA = 10/04/2019 15:43 | MOTIVO_CANCELAMENTO = 
10/04/2019 17:01 - DOUGLAS | USUARIO = 11530 | CI = 27064 | STATUS = 3 | DATA = 10/04/2019 17:01 | MOTIVO_CANCELAMENTO = 
10/04/2019 17:01 - DOUGLAS | USUARIO = 11530 | CI = 27065 | STATUS = 3 | DATA = 10/04/2019 17:01 | MOTIVO_CANCELAMENTO = 
10/04/2019 17:01 - DOUGLAS | USUARIO = 11530 | CI = 27066 | STATUS = 3 | DATA = 10/04/2019 17:01 | MOTIVO_CANCELAMENTO = 
11/04/2019 08:00 - THIAGO | USUARIO = 10892 | CI = 27070 | STATUS = 7 | DATA = 11/04/2019 8:00 | MOTIVO_CANCELAMENTO = 
11/04/2019 08:00 - THIAGO | USUARIO = 10892 | CI = 27070 | STATUS = 3 | DATA = 11/04/2019 8:00 | MOTIVO_CANCELAMENTO = 
11/04/2019 08:29 - JENS | USUARIO = 10895 | CI = 27071 | STATUS = 3 | DATA = 11/04/2019 8:29 | MOTIVO_CANCELAMENTO = 
11/04/2019 08:29 - JENS | USUARIO = 10895 | CI = 27069 | STATUS = 3 | DATA = 11/04/2019 8:29 | MOTIVO_CANCELAMENTO = 
11/04/2019 08:48 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 27073 | STATUS = 7 | DATA = 11/04/2019 8:48 | MOTIVO_CANCELAMENTO = 
11/04/2019 08:56 - THIAGO | USUARIO = 10892 | CI = 27073 | STATUS = 3 | DATA = 11/04/2019 8:56 | MOTIVO_CANCELAMENTO = 
11/04/2019 10:18 - HEBERTLUCIO | USUARIO = 11635 | CI = 27074 | STATUS = 3 | DATA = 11/04/2019 10:18 | MOTIVO_CANCELAMENTO = 
11/04/2019 13:33 - MARCIO | USUARIO = 10850 | CI = 27077 | STATUS = 3 | DATA = 11/04/2019 13:33 | MOTIVO_CANCELAMENTO = 
11/04/2019 13:57 - ZEZE | USUARIO = 10931 | CI = 27075 | STATUS = 3 | DATA = 11/04/2019 13:57 | MOTIVO_CANCELAMENTO = 
11/04/2019 13:58 - ZEZE | USUARIO = 10931 | CI = 27076 | STATUS = 3 | DATA = 11/04/2019 13:58 | MOTIVO_CANCELAMENTO = 
11/04/2019 13:58 - ZEZE | USUARIO = 10931 | CI = 27078 | STATUS = 3 | DATA = 11/04/2019 13:58 | MOTIVO_CANCELAMENTO = 
11/04/2019 14:01 - ZEZE | USUARIO = 10931 | CI = 27072 | STATUS = 3 | DATA = 11/04/2019 14:01 | MOTIVO_CANCELAMENTO = 
11/04/2019 15:04 - LUZMARINA | USUARIO = 10900 | CI = 27079 | STATUS = 5 | DATA = 11/04/2019 15:04 | MOTIVO_CANCELAMENTO = Cancelar a CI nº 2709, devido não ser nota fiscal eletrônica
11/04/2019 16:55 - TADEUMACHADO | USUARIO = 11594 | CI = 27080 | STATUS = 7 | DATA = 11/04/2019 16:55 | MOTIVO_CANCELAMENTO = 
11/04/2019 17:02 - CAMARA | USUARIO = 10841 | CI = 27080 | STATUS = 3 | DATA = 11/04/2019 17:02 | MOTIVO_CANCELAMENTO = 
12/04/2019 08:37 - JENS | USUARIO = 10895 | CI = 27083 | STATUS = 3 | DATA = 12/04/2019 8:37 | MOTIVO_CANCELAMENTO = 
12/04/2019 08:53 - PARDAL | USUARIO = 10903 | CI = 27084 | STATUS = 3 | DATA = 12/04/2019 8:53 | MOTIVO_CANCELAMENTO = Serviço de configuração do painel elétrico para operação com mais uma esteira na saída do bag..
12/04/2019 09:18 - JOAOROGANTE | USUARIO = 6966 | CI = 27085 | STATUS = 3 | DATA = 12/04/2019 9:18 | MOTIVO_CANCELAMENTO = 
12/04/2019 11:36 - CAMARA | USUARIO = 10841 | CI = 27086 | STATUS = 3 | DATA = 12/04/2019 11:36 | MOTIVO_CANCELAMENTO = 
12/04/2019 15:13 - MARCIO | USUARIO = 10850 | CI = 27087 | STATUS = 3 | DATA = 12/04/2019 15:13 | MOTIVO_CANCELAMENTO = 
13/04/2019 08:58 - JOAOROGANTE | USUARIO = 6966 | CI = 27095 | STATUS = 3 | DATA = 13/04/2019 8:58 | MOTIVO_CANCELAMENTO = 
13/04/2019 09:44 - HEBERTLUCIO | USUARIO = 11635 | CI = 27096 | STATUS = 3 | DATA = 13/04/2019 9:44 | MOTIVO_CANCELAMENTO = 
15/04/2019 07:45 - FABRICIOTOMASETTO | USUARIO = 6954 | CI = 27090 | STATUS = 7 | DATA = 15/04/2019 7:45 | MOTIVO_CANCELAMENTO = 
15/04/2019 07:52 - ALEXANDRE | USUARIO = 10837 | CI = 27097 | STATUS = 7 | DATA = 15/04/2019 7:52 | MOTIVO_CANCELAMENTO = 
15/04/2019 07:52 - ALEXANDRE | USUARIO = 10837 | CI = 27097 | STATUS = 3 | DATA = 15/04/2019 7:52 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:18 - LUIDE | USUARIO = 10836 | CI = 27081 | STATUS = 7 | DATA = 15/04/2019 8:18 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:18 - LUIDE | USUARIO = 10836 | CI = 27081 | STATUS = 3 | DATA = 15/04/2019 8:18 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:18 - LUIDE | USUARIO = 10836 | CI = 27082 | STATUS = 7 | DATA = 15/04/2019 8:18 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:18 - LUIDE | USUARIO = 10836 | CI = 27082 | STATUS = 3 | DATA = 15/04/2019 8:18 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:19 - LUIDE | USUARIO = 10836 | CI = 27089 | STATUS = 7 | DATA = 15/04/2019 8:19 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:19 - LUIDE | USUARIO = 10836 | CI = 27089 | STATUS = 3 | DATA = 15/04/2019 8:19 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:19 - LUIDE | USUARIO = 10836 | CI = 27091 | STATUS = 7 | DATA = 15/04/2019 8:19 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:20 - LUIDE | USUARIO = 10836 | CI = 27092 | STATUS = 7 | DATA = 15/04/2019 8:20 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:24 - LUIDE | USUARIO = 10836 | CI = 27093 | STATUS = 7 | DATA = 15/04/2019 8:24 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:25 - LUIDE | USUARIO = 10836 | CI = 27094 | STATUS = 7 | DATA = 15/04/2019 8:25 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:25 - LUIDE | USUARIO = 10836 | CI = 27094 | STATUS = 3 | DATA = 15/04/2019 8:25 | MOTIVO_CANCELAMENTO = 
15/04/2019 08:33 - HEBERTLUCIO | USUARIO = 11635 | CI = 27099 | STATUS = 3 | DATA = 15/04/2019 8:33 | MOTIVO_CANCELAMENTO = A EMPRESA SOTREQ ESTÁ COM O CONTRATO EM MÃOS MAS NÃO RETORNOU OS MESMOS ASSINADOS AINDA.
