27/05/2016 07:22 - JENS | ID =  | CI = 16035 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 17.60
27/05/2016 14:35 - NORIVAL | ID =  | CI = 16039 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 37.80
27/05/2016 14:35 - NORIVAL | ID =  | CI = 16039 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 21.30
27/05/2016 14:35 - NORIVAL | ID =  | CI = 16039 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 30.60
28/05/2016 08:34 - NORIVAL | ID =  | CI = 16040 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
30/05/2016 09:58 - STEFANIAESTEVO | ID =  | CI = 16049 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.00
30/05/2016 15:17 - LUISMOREIRA | ID =  | CI = 16055 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 54.00
30/05/2016 18:25 - ROSEMEIRESGOTI | ID =  | CI = 16062 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
30/05/2016 18:25 - ROSEMEIRESGOTI | ID =  | CI = 16062 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
30/05/2016 18:25 - ROSEMEIRESGOTI | ID =  | CI = 16062 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 71.69
30/05/2016 18:25 - ROSEMEIRESGOTI | ID =  | CI = 16062 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
30/05/2016 18:25 - ROSEMEIRESGOTI | ID =  | CI = 16062 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
30/05/2016 18:25 - ROSEMEIRESGOTI | ID =  | CI = 16062 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
31/05/2016 07:51 - NORIVAL | ID =  | CI = 16063 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 151.20
