01/09/2016 07:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17212 | STATUS = 5 | DATA = 01/09/2016 7:17 | MOTIVO_CANCELAMENTO = Separar C.I. por falta de cupom fiscal
05/09/2016 13:41 - CHRISTIANO | USUARIO = 11570 | CI = 17307 | STATUS = 3 | DATA = 05/09/2016 13:41 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:52 - DORACI | USUARIO = 10886 | CI = 17309 | STATUS = 7 | DATA = 05/09/2016 13:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:52 - DORACI | USUARIO = 10886 | CI = 17312 | STATUS = 7 | DATA = 05/09/2016 13:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:52 - DORACI | USUARIO = 10886 | CI = 17312 | STATUS = 3 | DATA = 05/09/2016 13:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:34 - ALEXANDRE | USUARIO = 10837 | CI = 17262 | STATUS = 3 | DATA = 05/09/2016 14:34 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:46 - DORACI | USUARIO = 10886 | CI = 17316 | STATUS = 3 | DATA = 05/09/2016 14:46 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:59 - DOUGLAS | USUARIO = 11530 | CI = 17307 | STATUS = 3 | DATA = 05/09/2016 14:59 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:59 - DOUGLAS | USUARIO = 11530 | CI = 17309 | STATUS = 3 | DATA = 05/09/2016 14:59 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:20 - ZEZE | USUARIO = 10931 | CI = 17318 | STATUS = 7 | DATA = 05/09/2016 15:20 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17289 | STATUS = 3 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17293 | STATUS = 7 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17293 | STATUS = 3 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17294 | STATUS = 7 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17294 | STATUS = 3 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:39 - ZEZE | USUARIO = 10931 | CI = 17319 | STATUS = 7 | DATA = 05/09/2016 15:39 | MOTIVO_CANCELAMENTO = 
05/09/2016 16:23 - CARACIOLO | USUARIO = 10840 | CI = 17320 | STATUS = 7 | DATA = 05/09/2016 16:23 | MOTIVO_CANCELAMENTO = OK
05/09/2016 20:34 - DOUGLAS | USUARIO = 11530 | CI = 17319 | STATUS = 3 | DATA = 05/09/2016 20:34 | MOTIVO_CANCELAMENTO = 
05/09/2016 21:34 - JT | USUARIO = 10823 | CI = 17320 | STATUS = 3 | DATA = 05/09/2016 21:34 | MOTIVO_CANCELAMENTO = 
06/09/2016 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 17309 | STATUS = 3 | DATA = 06/09/2016 7:25 | MOTIVO_CANCELAMENTO = 
06/09/2016 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 17318 | STATUS = 3 | DATA = 06/09/2016 7:25 | MOTIVO_CANCELAMENTO = 
06/09/2016 07:26 - CHRISTIANO | USUARIO = 11570 | CI = 17319 | STATUS = 3 | DATA = 06/09/2016 7:26 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:32 - ZEZE | USUARIO = 10931 | CI = 17324 | STATUS = 7 | DATA = 06/09/2016 9:32 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:32 - ZEZE | USUARIO = 10931 | CI = 17324 | STATUS = 3 | DATA = 06/09/2016 9:32 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:37 - LUIDE | USUARIO = 10836 | CI = 17283 | STATUS = 7 | DATA = 06/09/2016 9:37 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:37 - LUIDE | USUARIO = 10836 | CI = 17314 | STATUS = 7 | DATA = 06/09/2016 9:37 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:38 - LUIDE | USUARIO = 10836 | CI = 17315 | STATUS = 7 | DATA = 06/09/2016 9:38 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:38 - LUIDE | USUARIO = 10836 | CI = 17325 | STATUS = 3 | DATA = 06/09/2016 9:38 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:34 - AREIAS | USUARIO = 10997 | CI = 17328 | STATUS = 7 | DATA = 06/09/2016 11:34 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:34 - AREIAS | USUARIO = 10997 | CI = 17331 | STATUS = 7 | DATA = 06/09/2016 11:34 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:35 - MARCIO | USUARIO = 10850 | CI = 17322 | STATUS = 3 | DATA = 06/09/2016 11:35 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:47 - DOUGLAS | USUARIO = 11530 | CI = 17283 | STATUS = 3 | DATA = 06/09/2016 11:47 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:49 - DOUGLAS | USUARIO = 11530 | CI = 17314 | STATUS = 3 | DATA = 06/09/2016 11:49 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:49 - DOUGLAS | USUARIO = 11530 | CI = 17315 | STATUS = 3 | DATA = 06/09/2016 11:49 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:50 - DOUGLAS | USUARIO = 11530 | CI = 17331 | STATUS = 3 | DATA = 06/09/2016 11:50 | MOTIVO_CANCELAMENTO = 
06/09/2016 11:50 - DOUGLAS | USUARIO = 11530 | CI = 17333 | STATUS = 3 | DATA = 06/09/2016 11:50 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:46 - CAMARA | USUARIO = 10841 | CI = 17326 | STATUS = 3 | DATA = 06/09/2016 13:46 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:46 - CAMARA | USUARIO = 10841 | CI = 17334 | STATUS = 3 | DATA = 06/09/2016 13:46 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17270 | STATUS = 7 | DATA = 06/09/2016 13:48 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17270 | STATUS = 3 | DATA = 06/09/2016 13:48 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17273 | STATUS = 7 | DATA = 06/09/2016 13:48 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17273 | STATUS = 3 | DATA = 06/09/2016 13:48 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:49 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17329 | STATUS = 3 | DATA = 06/09/2016 13:49 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17327 | STATUS = 7 | DATA = 06/09/2016 13:51 | MOTIVO_CANCELAMENTO = 
06/09/2016 13:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17327 | STATUS = 3 | DATA = 06/09/2016 13:51 | MOTIVO_CANCELAMENTO = 
06/09/2016 14:17 - ZEZE | USUARIO = 10931 | CI = 17330 | STATUS = 3 | DATA = 06/09/2016 14:17 | MOTIVO_CANCELAMENTO = 
06/09/2016 14:23 - JG | USUARIO = 10849 | CI = 17223 | STATUS = 7 | DATA = 06/09/2016 14:23 | MOTIVO_CANCELAMENTO = ok
06/09/2016 14:23 - JG | USUARIO = 10849 | CI = 17223 | STATUS = 3 | DATA = 06/09/2016 14:23 | MOTIVO_CANCELAMENTO = ok
06/09/2016 14:23 - JG | USUARIO = 10849 | CI = 17224 | STATUS = 7 | DATA = 06/09/2016 14:23 | MOTIVO_CANCELAMENTO = ok
06/09/2016 14:23 - JG | USUARIO = 10849 | CI = 17224 | STATUS = 3 | DATA = 06/09/2016 14:23 | MOTIVO_CANCELAMENTO = ok
06/09/2016 14:23 - JG | USUARIO = 10849 | CI = 17254 | STATUS = 7 | DATA = 06/09/2016 14:23 | MOTIVO_CANCELAMENTO = ok
06/09/2016 14:23 - JG | USUARIO = 10849 | CI = 17254 | STATUS = 3 | DATA = 06/09/2016 14:23 | MOTIVO_CANCELAMENTO = ok
06/09/2016 14:24 - JG | USUARIO = 10849 | CI = 17311 | STATUS = 7 | DATA = 06/09/2016 14:24 | MOTIVO_CANCELAMENTO = ok
06/09/2016 14:24 - JG | USUARIO = 10849 | CI = 17311 | STATUS = 3 | DATA = 06/09/2016 14:24 | MOTIVO_CANCELAMENTO = ok
06/09/2016 15:32 - DORACI | USUARIO = 10886 | CI = 17340 | STATUS = 7 | DATA = 06/09/2016 15:32 | MOTIVO_CANCELAMENTO = 
06/09/2016 15:42 - DOUGLAS | USUARIO = 11530 | CI = 17340 | STATUS = 3 | DATA = 06/09/2016 15:42 | MOTIVO_CANCELAMENTO = 
06/09/2016 17:01 - TADEUMACHADO | USUARIO = 11594 | CI = 17336 | STATUS = 3 | DATA = 06/09/2016 17:01 | MOTIVO_CANCELAMENTO = 
06/09/2016 17:02 - TADEUMACHADO | USUARIO = 11594 | CI = 17338 | STATUS = 3 | DATA = 06/09/2016 17:02 | MOTIVO_CANCELAMENTO = 
06/09/2016 17:02 - TADEUMACHADO | USUARIO = 11594 | CI = 17339 | STATUS = 3 | DATA = 06/09/2016 17:02 | MOTIVO_CANCELAMENTO = 
08/09/2016 07:46 - MARCELOGODOI | USUARIO = 11316 | CI = 17337 | STATUS = 7 | DATA = 08/09/2016 7:46 | MOTIVO_CANCELAMENTO = 
08/09/2016 08:19 - LUIDE | USUARIO = 10836 | CI = 17342 | STATUS = 3 | DATA = 08/09/2016 8:19 | MOTIVO_CANCELAMENTO = 
08/09/2016 08:28 - MARCELOGODOI | USUARIO = 11316 | CI = 17343 | STATUS = 7 | DATA = 08/09/2016 8:28 | MOTIVO_CANCELAMENTO = 
08/09/2016 08:57 - MARCELOGODOI | USUARIO = 11316 | CI = 17345 | STATUS = 7 | DATA = 08/09/2016 8:57 | MOTIVO_CANCELAMENTO = 
08/09/2016 09:00 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 17310 | STATUS = 7 | DATA = 08/09/2016 9:00 | MOTIVO_CANCELAMENTO = OK
08/09/2016 09:00 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 17346 | STATUS = 3 | DATA = 08/09/2016 9:00 | MOTIVO_CANCELAMENTO = OK
08/09/2016 09:00 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 17323 | STATUS = 7 | DATA = 08/09/2016 9:00 | MOTIVO_CANCELAMENTO = OK
08/09/2016 09:13 - JT | USUARIO = 10823 | CI = 17328 | STATUS = 3 | DATA = 08/09/2016 9:13 | MOTIVO_CANCELAMENTO = 
08/09/2016 09:15 - JT | USUARIO = 10823 | CI = 17321 | STATUS = 8 | DATA = 08/09/2016 9:15 | MOTIVO_CANCELAMENTO = Solicitação de cancelamento pelo Bruno, motivo a area ja foi colhida por outra usina
08/09/2016 09:37 - MARCELOGODOI | USUARIO = 11316 | CI = 17348 | STATUS = 7 | DATA = 08/09/2016 9:37 | MOTIVO_CANCELAMENTO = Este processo estava no Tribunal e seríamos condenados a, pelo menos, 110 mil. Conseguimos acordar em 65 mil para finalizar o processo.
08/09/2016 10:16 - LUIDE | USUARIO = 10836 | CI = 17350 | STATUS = 3 | DATA = 08/09/2016 10:16 | MOTIVO_CANCELAMENTO = 
08/09/2016 10:21 - DOUGLAS | USUARIO = 11530 | CI = 17348 | STATUS = 3 | DATA = 08/09/2016 10:21 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
08/09/2016 10:47 - AREIAS | USUARIO = 10997 | CI = 17335 | STATUS = 7 | DATA = 08/09/2016 10:47 | MOTIVO_CANCELAMENTO = 
08/09/2016 10:53 - DOUGLAS | USUARIO = 11530 | CI = 17335 | STATUS = 3 | DATA = 08/09/2016 10:53 | MOTIVO_CANCELAMENTO = 
08/09/2016 11:48 - JG | USUARIO = 10849 | CI = 17310 | STATUS = 3 | DATA = 08/09/2016 11:48 | MOTIVO_CANCELAMENTO = ok
08/09/2016 11:48 - JG | USUARIO = 10849 | CI = 17323 | STATUS = 3 | DATA = 08/09/2016 11:48 | MOTIVO_CANCELAMENTO = ok
