01/02/2018 15:06 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/02/2018 15:06
01/02/2018 15:23 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/02/2018 15:23
01/02/2018 15:33 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/02/2018 15:33
01/02/2018 15:42 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/02/2018 15:42
01/02/2018 15:45 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/02/2018 15:45
01/02/2018 15:47 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2018 15:47
01/02/2018 15:47 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/02/2018 15:47
01/02/2018 15:52 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2018 15:52
01/02/2018 15:57 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/02/2018 15:57
01/02/2018 16:00 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/02/2018 16:00
01/02/2018 16:11 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/02/2018 16:11
01/02/2018 16:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/02/2018 16:12
01/02/2018 16:14 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/02/2018 16:14
01/02/2018 16:15 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2018 16:15
01/02/2018 16:16 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/02/2018 16:16
01/02/2018 16:17 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/02/2018 16:17
01/02/2018 16:24 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/02/2018 16:24
01/02/2018 16:25 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 01/02/2018 16:25
01/02/2018 16:35 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/02/2018 16:35
01/02/2018 16:37 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2018 16:37
01/02/2018 16:38 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2018 16:38
