02/03/2017 09:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 9:05
02/03/2017 09:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 9:08
02/03/2017 09:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 9:11
02/03/2017 09:13 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/03/2017 9:13
02/03/2017 09:20 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/03/2017 9:20
02/03/2017 09:21 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 02/03/2017 9:21
02/03/2017 09:23 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/03/2017 9:23
02/03/2017 09:33 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/03/2017 9:33
02/03/2017 09:37 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/03/2017 9:37
02/03/2017 09:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 9:45
02/03/2017 09:50 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/03/2017 9:50
02/03/2017 09:57 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2017 9:57
02/03/2017 09:57 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2017 9:57
02/03/2017 10:05 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/03/2017 10:05
02/03/2017 10:12 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2017 10:12
02/03/2017 10:19 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2017 10:19
02/03/2017 10:24 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2017 10:24
02/03/2017 10:39 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/03/2017 10:39
02/03/2017 10:39 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2017 10:39
02/03/2017 10:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 10:51
02/03/2017 10:58 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2017 10:58
