02/03/2018 16:46 - HEBERTLUCIO | USUARIO = 11635 | CI = 23968 | STATUS = 3 | DATA = 02/03/2018 16:46 | MOTIVO_CANCELAMENTO = 
02/03/2018 17:24 - JT | USUARIO = 10823 | CI = 23967 | STATUS = 7 | DATA = 02/03/2018 17:24 | MOTIVO_CANCELAMENTO = 
03/03/2018 09:17 - MARCELOGODOI | USUARIO = 11316 | CI = 23972 | STATUS = 7 | DATA = 03/03/2018 9:17 | MOTIVO_CANCELAMENTO = 
03/03/2018 10:00 - HEBERTLUCIO | USUARIO = 11635 | CI = 23973 | STATUS = 3 | DATA = 03/03/2018 10:00 | MOTIVO_CANCELAMENTO = 
04/03/2018 16:11 - DOUGLAS | USUARIO = 11530 | CI = 23963 | STATUS = 3 | DATA = 04/03/2018 16:11 | MOTIVO_CANCELAMENTO = 
04/03/2018 16:11 - DOUGLAS | USUARIO = 11530 | CI = 23964 | STATUS = 3 | DATA = 04/03/2018 16:11 | MOTIVO_CANCELAMENTO = 
04/03/2018 16:11 - DOUGLAS | USUARIO = 11530 | CI = 23969 | STATUS = 3 | DATA = 04/03/2018 16:11 | MOTIVO_CANCELAMENTO = 
04/03/2018 16:11 - DOUGLAS | USUARIO = 11530 | CI = 23972 | STATUS = 3 | DATA = 04/03/2018 16:11 | MOTIVO_CANCELAMENTO = 
04/03/2018 16:57 - ACIR | USUARIO = 10839 | CI = 23969 | STATUS = 3 | DATA = 04/03/2018 16:57 | MOTIVO_CANCELAMENTO = 
04/03/2018 16:58 - ACIR | USUARIO = 10839 | CI = 23964 | STATUS = 3 | DATA = 04/03/2018 16:58 | MOTIVO_CANCELAMENTO = 
04/03/2018 16:59 - ACIR | USUARIO = 10839 | CI = 23963 | STATUS = 3 | DATA = 04/03/2018 16:59 | MOTIVO_CANCELAMENTO = 
05/03/2018 09:39 - GISELERATEIRO | USUARIO = 11143 | CI = 23978 | STATUS = 7 | DATA = 05/03/2018 9:39 | MOTIVO_CANCELAMENTO = 
05/03/2018 09:44 - HEBERTLUCIO | USUARIO = 11635 | CI = 23979 | STATUS = 3 | DATA = 05/03/2018 9:44 | MOTIVO_CANCELAMENTO = 
05/03/2018 10:12 - GISELERATEIRO | USUARIO = 11143 | CI = 23984 | STATUS = 7 | DATA = 05/03/2018 10:12 | MOTIVO_CANCELAMENTO = 
05/03/2018 11:21 - CAMARA | USUARIO = 10841 | CI = 23990 | STATUS = 3 | DATA = 05/03/2018 11:21 | MOTIVO_CANCELAMENTO = 
05/03/2018 11:24 - RODRIGO_POIT | USUARIO = 11086 | CI = 23977 | STATUS = 5 | DATA = 05/03/2018 11:24 | MOTIVO_CANCELAMENTO = NÃO IRÁ MAIS RECORRER.
05/03/2018 12:10 - JT | USUARIO = 10823 | CI = 23986 | STATUS = 7 | DATA = 05/03/2018 12:10 | MOTIVO_CANCELAMENTO = 
05/03/2018 12:10 - JT | USUARIO = 10823 | CI = 23986 | STATUS = 3 | DATA = 05/03/2018 12:10 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:25 - ZEZE | USUARIO = 10931 | CI = 23974 | STATUS = 3 | DATA = 05/03/2018 13:25 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:26 - ZEZE | USUARIO = 10931 | CI = 23976 | STATUS = 3 | DATA = 05/03/2018 13:26 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:26 - ZEZE | USUARIO = 10931 | CI = 23988 | STATUS = 3 | DATA = 05/03/2018 13:26 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:26 - ZEZE | USUARIO = 10931 | CI = 23994 | STATUS = 3 | DATA = 05/03/2018 13:26 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:44 - ACIR | USUARIO = 10839 | CI = 23993 | STATUS = 7 | DATA = 05/03/2018 13:44 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:44 - ACIR | USUARIO = 10839 | CI = 23991 | STATUS = 7 | DATA = 05/03/2018 13:44 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:44 - ACIR | USUARIO = 10839 | CI = 23991 | STATUS = 3 | DATA = 05/03/2018 13:44 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:45 - ACIR | USUARIO = 10839 | CI = 23987 | STATUS = 7 | DATA = 05/03/2018 13:45 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:45 - ACIR | USUARIO = 10839 | CI = 23987 | STATUS = 3 | DATA = 05/03/2018 13:45 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:46 - ACIR | USUARIO = 10839 | CI = 23983 | STATUS = 7 | DATA = 05/03/2018 13:46 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:46 - ACIR | USUARIO = 10839 | CI = 23983 | STATUS = 3 | DATA = 05/03/2018 13:46 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:47 - ACIR | USUARIO = 10839 | CI = 23982 | STATUS = 7 | DATA = 05/03/2018 13:47 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:47 - ACIR | USUARIO = 10839 | CI = 23982 | STATUS = 3 | DATA = 05/03/2018 13:47 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:47 - ACIR | USUARIO = 10839 | CI = 23981 | STATUS = 7 | DATA = 05/03/2018 13:47 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:47 - ACIR | USUARIO = 10839 | CI = 23981 | STATUS = 3 | DATA = 05/03/2018 13:47 | MOTIVO_CANCELAMENTO = 
05/03/2018 13:48 - FERNANDO | USUARIO = 10842 | CI = 23997 | STATUS = 3 | DATA = 05/03/2018 13:48 | MOTIVO_CANCELAMENTO = 
05/03/2018 14:12 - AREIAS | USUARIO = 10997 | CI = 23946 | STATUS = 7 | DATA = 05/03/2018 14:12 | MOTIVO_CANCELAMENTO = 
