06/11/2018 13:28 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/11/2018 13:28
06/11/2018 13:28 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/11/2018 13:28
06/11/2018 13:30 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 06/11/2018 13:30
06/11/2018 13:34 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 06/11/2018 13:34
06/11/2018 13:35 - TAMARAABONIZIO | ID_USUARIO = 461 | DATA_LOGIN = 06/11/2018 13:35
06/11/2018 13:39 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/11/2018 13:39
06/11/2018 14:18 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/11/2018 14:18
06/11/2018 14:20 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/11/2018 14:20
06/11/2018 14:23 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/11/2018 14:23
06/11/2018 14:25 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/11/2018 14:25
06/11/2018 14:29 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/11/2018 14:29
06/11/2018 14:30 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/11/2018 14:30
06/11/2018 14:35 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/11/2018 14:35
06/11/2018 15:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/11/2018 15:15
06/11/2018 15:21 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/11/2018 15:21
06/11/2018 15:26 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 06/11/2018 15:26
06/11/2018 15:45 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/11/2018 15:45
06/11/2018 15:52 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/11/2018 15:52
06/11/2018 15:53 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/11/2018 15:53
06/11/2018 15:54 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 06/11/2018 15:54
06/11/2018 15:54 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/11/2018 15:54
06/11/2018 15:56 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 06/11/2018 15:56
06/11/2018 16:08 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/11/2018 16:08
06/11/2018 16:20 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 16:20
06/11/2018 16:26 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/11/2018 16:26
06/11/2018 16:41 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/11/2018 16:41
06/11/2018 16:52 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/11/2018 16:52
06/11/2018 18:56 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/11/2018 18:56
07/11/2018 07:09 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 07/11/2018 7:09
07/11/2018 07:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 07/11/2018 7:09
07/11/2018 07:12 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 7:12
07/11/2018 07:20 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/11/2018 7:20
07/11/2018 07:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/11/2018 7:21
07/11/2018 07:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/11/2018 7:21
07/11/2018 07:35 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/11/2018 7:35
07/11/2018 07:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/11/2018 7:38
07/11/2018 08:10 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 07/11/2018 8:10
07/11/2018 08:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 8:17
07/11/2018 08:19 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 07/11/2018 8:19
