15/08/2018 16:24 - GENAILDOTORRES | ID =  | CI = 25081 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 49.29
15/08/2018 16:27 - NORIVAL | ID =  | CI = 25082 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 261.35
15/08/2018 16:27 - NORIVAL | ID =  | CI = 25082 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.20
16/08/2018 08:04 - NORIVAL | ID =  | CI = 25084 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 42.90
16/08/2018 09:09 - MATHEUSRODRIGUES | ID =  | CI = 25086 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
16/08/2018 09:09 - MATHEUSRODRIGUES | ID =  | CI = 25086 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 97.62
16/08/2018 10:02 - NORIVAL | ID =  | CI = 25090 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
16/08/2018 15:14 - OTAVIOGIRO | ID =  | CI = 25093 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
16/08/2018 15:14 - OTAVIOGIRO | ID =  | CI = 25093 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 42.65
16/08/2018 15:19 - OTAVIOGIRO | ID =  | CI = 25094 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 33.90
16/08/2018 15:21 - OTAVIOGIRO | ID = 23792 | CI = 25093 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
16/08/2018 15:21 - OTAVIOGIRO | ID = 23793 | CI = 25093 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 42.65
16/08/2018 15:25 - OTAVIOGIRO | ID =  | CI = 25095 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 79.02
16/08/2018 15:25 - OTAVIOGIRO | ID =  | CI = 25095 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.45
16/08/2018 15:36 - OTAVIOGIRO | ID =  | CI = 25096 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 85.06
16/08/2018 15:36 - OTAVIOGIRO | ID =  | CI = 25096 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 73.06
16/08/2018 15:41 - OTAVIOGIRO | ID =  | CI = 25097 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
16/08/2018 15:41 - OTAVIOGIRO | ID =  | CI = 25097 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 73.17
16/08/2018 15:54 - SANDRA | ID =  | CI = 25098 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 266.50
17/08/2018 14:12 - NORIVAL | ID =  | CI = 25104 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 30.00
17/08/2018 15:19 - NORIVAL | ID =  | CI = 25105 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 5.75
18/08/2018 13:49 - JENS | ID =  | CI = 25107 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 30.00
18/08/2018 13:49 - JENS | ID =  | CI = 25107 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 107.40
18/08/2018 13:49 - JENS | ID =  | CI = 25107 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 70.00
18/08/2018 13:49 - JENS | ID =  | CI = 25107 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 63.50
18/08/2018 14:47 - NORIVAL | ID =  | CI = 25108 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
18/08/2018 16:17 - NORIVAL | ID =  | CI = 25109 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 24.80
20/08/2018 15:46 - KLEBER | ID =  | CI = 25112 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
