29/10/2018 11:42 - JENS | ID =  | CI = 25628 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 186.30
29/10/2018 14:50 - GENAILDOTORRES | ID =  | CI = 25633 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 858.38
29/10/2018 14:50 - GENAILDOTORRES | ID =  | CI = 25633 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 567.00
29/10/2018 14:58 - GENAILDOTORRES | ID = 25108 | CI = 25633 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 858.38
29/10/2018 14:58 - GENAILDOTORRES | ID = 25109 | CI = 25633 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 567.00
29/10/2018 14:59 - GENAILDOTORRES | ID = 25108 | CI = 25633 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 858.38
29/10/2018 14:59 - GENAILDOTORRES | ID = 25109 | CI = 25633 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 567.00
29/10/2018 14:59 - OTAVIOGIRO | ID =  | CI = 25634 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
30/10/2018 16:53 - NORIVAL | ID =  | CI = 25642 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
30/10/2018 16:53 - NORIVAL | ID =  | CI = 25642 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
30/10/2018 17:04 - NORIVAL | ID =  | CI = 25643 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.79
31/10/2018 12:05 - MARTA | ID =  | CI = 25646 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.80
31/10/2018 12:05 - MARTA | ID =  | CI = 25646 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
