06/03/2019 03:37 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 3:37
06/03/2019 07:00 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/03/2019 7:00
06/03/2019 07:06 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/03/2019 7:06
06/03/2019 07:10 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/03/2019 7:10
06/03/2019 07:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/03/2019 7:17
06/03/2019 07:22 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/03/2019 7:22
06/03/2019 07:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/03/2019 7:26
06/03/2019 07:30 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 06/03/2019 7:30
06/03/2019 07:30 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/03/2019 7:30
06/03/2019 07:32 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 06/03/2019 7:32
06/03/2019 07:36 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 06/03/2019 7:36
06/03/2019 07:36 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/03/2019 7:36
06/03/2019 07:36 - HIGORGARCIA | ID_USUARIO = 11219 | DATA_LOGIN = 06/03/2019 7:36
06/03/2019 07:46 - GUSTAVOGIRO | ID_USUARIO = 6963 | DATA_LOGIN = 06/03/2019 7:46
06/03/2019 07:57 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/03/2019 7:57
06/03/2019 08:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 8:10
06/03/2019 08:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 8:13
06/03/2019 08:32 - TALITAFURLAN | ID_USUARIO = 11308 | DATA_LOGIN = 06/03/2019 8:32
06/03/2019 08:34 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 06/03/2019 8:34
06/03/2019 08:48 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 8:48
06/03/2019 08:54 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/03/2019 8:54
06/03/2019 08:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 8:57
06/03/2019 09:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 9:01
06/03/2019 09:02 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 9:02
06/03/2019 09:03 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 9:03
06/03/2019 09:04 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 06/03/2019 9:04
06/03/2019 09:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 9:06
06/03/2019 09:13 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 06/03/2019 9:13
06/03/2019 09:14 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 06/03/2019 9:14
06/03/2019 09:16 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/03/2019 9:16
06/03/2019 09:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 9:24
06/03/2019 09:57 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/03/2019 9:57
06/03/2019 10:12 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/03/2019 10:12
06/03/2019 10:17 - CAIOVALENCA | ID_USUARIO = 6951 | DATA_LOGIN = 06/03/2019 10:17
06/03/2019 10:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/03/2019 10:21
06/03/2019 10:23 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/03/2019 10:23
06/03/2019 10:28 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/03/2019 10:28
06/03/2019 10:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 10:28
06/03/2019 10:32 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/03/2019 10:32
06/03/2019 10:32 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/03/2019 10:32
06/03/2019 10:33 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 10:33
06/03/2019 10:37 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/03/2019 10:37
06/03/2019 10:39 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/03/2019 10:39
06/03/2019 10:46 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 06/03/2019 10:46
06/03/2019 10:54 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 06/03/2019 10:54
06/03/2019 10:55 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 06/03/2019 10:55
06/03/2019 10:57 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/03/2019 10:57
06/03/2019 11:06 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/03/2019 11:06
06/03/2019 11:09 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/03/2019 11:09
06/03/2019 11:17 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/03/2019 11:17
06/03/2019 11:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 11:51
