08/12/2017 15:30 - MICHELAAUGUSTO | ID =  | CI = 22980 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 1500.00
08/12/2017 17:35 - NORIVAL | ID =  | CI = 22985 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 34.50
09/12/2017 08:27 - NORIVAL | ID =  | CI = 22986 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
09/12/2017 08:30 - NORIVAL | ID =  | CI = 22987 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.01
11/12/2017 13:30 - KLEBER | ID =  | CI = 22998 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
11/12/2017 13:30 - KLEBER | ID =  | CI = 22998 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
11/12/2017 13:30 - KLEBER | ID =  | CI = 22998 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 90.75
11/12/2017 13:30 - KLEBER | ID =  | CI = 22998 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
11/12/2017 13:30 - KLEBER | ID =  | CI = 22998 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
11/12/2017 13:30 - KLEBER | ID =  | CI = 22998 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
12/12/2017 14:05 - ANGELO | ID =  | CI = 23013 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 21.00
12/12/2017 14:11 - ANGELO | ID =  | CI = 23014 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.50
12/12/2017 14:37 - ANGELO | ID =  | CI = 23016 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
12/12/2017 14:39 - ANGELO | ID =  | CI = 23017 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
12/12/2017 14:48 - ANGELO | ID = 20571 | CI = 23017 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
13/12/2017 14:32 - ANGELO | ID =  | CI = 23035 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
13/12/2017 14:35 - ANGELO | ID =  | CI = 23036 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
13/12/2017 14:37 - ANGELO | ID = 20588 | CI = 23035 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
13/12/2017 14:38 - ANGELO | ID = 20588 | CI = 23035 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
13/12/2017 14:52 - ROGERINHO | ID =  | CI = 23038 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 12.00
13/12/2017 15:11 - ROGERINHO | ID =  | CI = 23039 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 246.11
13/12/2017 15:11 - ROGERINHO | ID =  | CI = 23039 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 42.65
13/12/2017 15:53 - ANGELO | ID =  | CI = 23041 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.00
13/12/2017 16:54 - MARTA | ID =  | CI = 23042 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 107.48
13/12/2017 16:54 - MARTA | ID =  | CI = 23042 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
13/12/2017 16:54 - MARTA | ID =  | CI = 23042 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
14/12/2017 10:04 - ADEIR | ID =  | CI = 23045 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 9.00
15/12/2017 07:20 - ADEIR | ID = 20608 | CI = 23045 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 17.00
15/12/2017 07:20 - ADEIR | ID = 20608 | CI = 23045 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 17.00
15/12/2017 10:59 - MARTA | ID =  | CI = 23059 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.30
15/12/2017 10:59 - MARTA | ID =  | CI = 23059 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
15/12/2017 11:08 - MARTA | ID =  | CI = 23060 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 57.20
15/12/2017 11:08 - MARTA | ID =  | CI = 23060 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
16/12/2017 07:56 - NORIVAL | ID =  | CI = 23067 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 16.40
18/12/2017 09:17 - REGI | ID =  | CI = 23070 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 45.40
18/12/2017 09:17 - REGI | ID =  | CI = 23070 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.92
18/12/2017 09:17 - REGI | ID =  | CI = 23070 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 7.00
18/12/2017 09:47 - REGI | ID =  | CI = 23073 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 38.60
18/12/2017 09:47 - REGI | ID =  | CI = 23073 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.92
18/12/2017 09:47 - REGI | ID =  | CI = 23073 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.70
18/12/2017 09:48 - REGI | ID =  | CI = 23074 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 38.60
18/12/2017 09:48 - REGI | ID =  | CI = 23074 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.92
18/12/2017 09:48 - REGI | ID =  | CI = 23074 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 7.00
18/12/2017 16:14 - KLEBER | ID =  | CI = 23080 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
18/12/2017 16:14 - KLEBER | ID =  | CI = 23080 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
18/12/2017 16:14 - KLEBER | ID =  | CI = 23080 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 80.00
18/12/2017 16:14 - KLEBER | ID =  | CI = 23080 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
18/12/2017 16:14 - KLEBER | ID =  | CI = 23080 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
18/12/2017 16:14 - KLEBER | ID =  | CI = 23080 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
18/12/2017 16:47 - ALINEFERREIRA | ID =  | CI = 23081 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 61.00
18/12/2017 16:47 - ALINEFERREIRA | ID =  | CI = 23081 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 668.10
18/12/2017 16:47 - ALINEFERREIRA | ID =  | CI = 23081 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 1500.00
19/12/2017 08:32 - ROGERINHO | ID =  | CI = 23085 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
19/12/2017 08:32 - ROGERINHO | ID =  | CI = 23085 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 64.28
19/12/2017 08:32 - ROGERINHO | ID =  | CI = 23085 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 50.00
19/12/2017 08:47 - ROGERINHO | ID =  | CI = 23086 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 121.01
19/12/2017 08:47 - ROGERINHO | ID =  | CI = 23086 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 59.90
19/12/2017 09:25 - ROGERINHO | ID =  | CI = 23088 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 445.31
19/12/2017 09:25 - ROGERINHO | ID =  | CI = 23088 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 392.38
19/12/2017 09:25 - ROGERINHO | ID =  | CI = 23088 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 135.00
19/12/2017 14:00 - ROGERINHO | ID =  | CI = 23092 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 247.05
19/12/2017 14:00 - ROGERINHO | ID =  | CI = 23092 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 144.36
19/12/2017 14:00 - ROGERINHO | ID =  | CI = 23092 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 72.35
19/12/2017 14:29 - ANGELO | ID =  | CI = 23093 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
19/12/2017 14:34 - ANGELO | ID =  | CI = 23094 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
19/12/2017 14:45 - ANGELO | ID =  | CI = 23095 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
19/12/2017 14:50 - ANGELO | ID =  | CI = 23096 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
19/12/2017 15:00 - ANGELO | ID =  | CI = 23098 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 71.60
19/12/2017 16:19 - ANGELO | ID =  | CI = 23101 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
19/12/2017 16:21 - ANGELO | ID =  | CI = 23102 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
19/12/2017 16:24 - ANGELO | ID =  | CI = 23103 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
19/12/2017 16:48 - ROGERINHO | ID =  | CI = 23104 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 107.04
