22/02/2018 11:34 - ANGELO | ID = 21552 | CI = 23871 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
22/02/2018 11:53 - ANGELO | ID =  | CI = 23873 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
22/02/2018 11:57 - ANGELO | ID =  | CI = 23874 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
22/02/2018 11:58 - ANGELO | ID =  | CI = 23875 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
22/02/2018 14:48 - JENS | ID =  | CI = 23877 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 143.70
22/02/2018 14:48 - JENS | ID =  | CI = 23877 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.40
22/02/2018 14:48 - JENS | ID =  | CI = 23877 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 24.00
22/02/2018 15:30 - LUZMARINA | ID =  | CI = 23880 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.94
22/02/2018 15:43 - FABRICIOTOMASETTO | ID =  | CI = 23881 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 71.30
22/02/2018 15:43 - FABRICIOTOMASETTO | ID =  | CI = 23881 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 301.50
26/02/2018 07:11 - ALEXZG | ID =  | CI = 23892 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 131.06
26/02/2018 07:11 - ALEXZG | ID =  | CI = 23892 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
26/02/2018 07:11 - ALEXZG | ID =  | CI = 23892 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 69.40
26/02/2018 07:11 - ALEXZG | ID =  | CI = 23892 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 100.00
26/02/2018 07:11 - ALEXZG | ID =  | CI = 23892 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
