04/04/2016 14:53 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/04/2016 14:53
04/04/2016 14:59 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 04/04/2016 14:59
04/04/2016 15:07 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2016 15:07
04/04/2016 15:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/04/2016 15:08
04/04/2016 15:09 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/04/2016 15:09
04/04/2016 15:22 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 04/04/2016 15:22
04/04/2016 15:23 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 04/04/2016 15:23
04/04/2016 15:30 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 04/04/2016 15:30
04/04/2016 15:31 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/04/2016 15:31
04/04/2016 15:36 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/04/2016 15:36
04/04/2016 16:00 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 04/04/2016 16:00
04/04/2016 16:12 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 04/04/2016 16:12
04/04/2016 16:19 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 04/04/2016 16:19
04/04/2016 16:38 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/04/2016 16:38
04/04/2016 16:40 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/04/2016 16:40
04/04/2016 16:46 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 04/04/2016 16:46
04/04/2016 16:47 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2016 16:47
04/04/2016 16:48 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/04/2016 16:48
04/04/2016 17:47 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/04/2016 17:47
04/04/2016 18:03 - MATHEUSUZELOTTO | ID_USUARIO = 11309 | DATA_LOGIN = 04/04/2016 18:03
04/04/2016 18:31 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 04/04/2016 18:31
04/04/2016 21:41 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/04/2016 21:41
05/04/2016 00:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 0:13
05/04/2016 03:42 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 3:42
05/04/2016 04:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 4:56
05/04/2016 05:04 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 5:04
05/04/2016 05:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 5:12
05/04/2016 05:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 5:16
05/04/2016 07:06 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/04/2016 7:06
